"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-01","2025","01","01","","-11.8","","-19.0","","-15.4","","33.4","","0.0","","","","","","0.4","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-02","2025","01","02","","-14.3","","-28.4","","-21.3","","39.3","","0.0","","","","","","0.8","","19","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-03","2025","01","03","","-17.5","","-29.3","","-23.4","","41.4","","0.0","","","","","","0.0","","21","","9","","32",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-04","2025","01","04","","-15.1","","-19.3","","-17.2","","35.2","","0.0","","","","","","0.0","","20","","11","","33",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-05","2025","01","05","","-13.1","","-18.5","","-15.8","","33.8","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-06","2025","01","06","","-8.6","","-17.3","","-13.0","","31.0","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-07","2025","01","07","","-6.8","","-20.5","","-13.7","","31.7","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-08","2025","01","08","","4.6","","-11.0","","-3.2","","21.2","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-09","2025","01","09","","-4.1","","-17.5","","-10.8","","28.8","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-10","2025","01","10","","4.6","","-7.5","","-1.4","","19.4","","0.0","","","","","","1.2","","21","","29","","35",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-11","2025","01","11","","4.3","","-1.3","","1.5","","16.5","","0.0","","","","","","0.1","","21","","28","","50",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-12","2025","01","12","","1.8","","-6.0","","-2.1","","20.1","","0.0","","","","","","0.9","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-13","2025","01","13","","2.1","","-8.6","","-3.2","","21.2","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-14","2025","01","14","","4.2","","-12.8","","-4.3","","22.3","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-15","2025","01","15","","3.8","","-7.4","","-1.8","","19.8","","0.0","","","","","","0.0","","21","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-16","2025","01","16","","9.4","","-3.9","","2.7","","15.3","","0.0","","","","","","0.0","","21","","34","","85",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-17","2025","01","17","","-3.9","","-9.8","","-6.8","","24.8","","0.0","","","","","","0.7","","20","","30","","62",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-18","2025","01","18","","-9.7","","-25.8","","-17.8","","35.8","","0.0","","","","","","0.0","","22","","1","","47",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-19","2025","01","19","","-19.3","","-30.2","","-24.7","","42.7","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-20","2025","01","20","","-16.3","","-32.2","","-24.3","","42.3","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-21","2025","01","21","","1.2","","-17.8","","-8.3","","26.3","","0.0","","","","","","0.0","","22","","29","","60",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-22","2025","01","22","","-0.5","","-13.8","","-7.2","","25.2","","0.0","","","","","","0.0","","22","","31","","53",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-23","2025","01","23","","1.8","","-14.4","","-6.3","","24.3","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-24","2025","01","24","","-0.2","","-11.7","","-5.9","","23.9","","0.0","","","","","","0.0","","23","","33","","54",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-25","2025","01","25","","-1.2","","-11.8","","-6.5","","24.5","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-26","2025","01","26","","4.2","","-14.6","","-5.2","","23.2","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-27","2025","01","27","","5.2","","-12.2","","-3.5","","21.5","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-28","2025","01","28","","3.0","","-9.6","","-3.3","","21.3","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-29","2025","01","29","","0.6","","-10.9","","-5.2","","23.2","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-30","2025","01","30","","-2.3","","-14.6","","-8.4","","26.4","","0.0","","","","","","0.0","","22","","9","","39",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-01-31","2025","01","31","","-4.4","","-10.2","","-7.3","","25.3","","0.0","","","","","","0.0","","22","","12","","37",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-01","2025","02","01","","-8.6","","-23.0","","-15.8","","33.8","","0.0","","","","","","0.0","","22","","34","","48",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-02","2025","02","02","","-21.2","","-26.1","","-23.6","","41.6","","0.0","","","","","","0.1","","22","","30","","37",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-03","2025","02","03","","-23.1","","-29.2","","-26.2","","44.2","","0.0","","","","","","0.1","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-04","2025","02","04","","-20.4","","-23.7","","-22.0","","40.0","","0.0","","","","","","2.0","","23","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-05","2025","02","05","","-20.0","","-22.3","","-21.1","","39.1","","0.0","","","","","","3.6","","26","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-06","2025","02","06","","-9.5","","-26.9","","-18.2","","36.2","","0.0","","","","","","0.0","","30","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-07","2025","02","07","","-10.5","","-23.9","","-17.2","","35.2","","0.0","","","","","","0.0","","30","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-08","2025","02","08","","-11.2","","-25.2","","-18.2","","36.2","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-09","2025","02","09","","-12.6","","-23.8","","-18.2","","36.2","","0.0","","","","","","0.0","","29","","1","","52",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-10","2025","02","10","","-17.4","","-34.6","","-26.0","","44.0","","0.0","","","","","","0.0","","28","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-11","2025","02","11","","-14.1","","-28.9","","-21.5","","39.5","","0.0","","","","","","0.1","","28","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-12","2025","02","12","","-16.7","","-24.6","","-20.7","","38.7","","0.0","","","","","","0.1","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-13","2025","02","13","","-12.5","","-18.7","","-15.6","","33.6","","0.0","","","","","","0.1","","28","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-14","2025","02","14","","-16.3","","-18.4","","-17.4","","35.4","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-15","2025","02","15","","-16.6","","-30.0","","-23.3","","41.3","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-16","2025","02","16","","-20.0","","-34.0","","-27.0","","45.0","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-17","2025","02","17","","-24.3","","-30.0","","-27.2","","45.2","","0.0","","","","","","0.0","","29","","12","","39",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-18","2025","02","18","","-23.5","","-30.4","","-26.9","","44.9","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-19","2025","02","19","","-18.3","","-29.2","","-23.8","","41.8","","0.0","","","","","","0.0","","29","","12","","32",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-20","2025","02","20","","-6.1","","-23.4","","-14.7","","32.7","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-21","2025","02","21","","1.9","","-15.3","","-6.7","","24.7","","0.0","","","","","","0.0","","29","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-22","2025","02","22","","7.8","","-9.0","","-0.6","","18.6","","0.0","","","","","","0.0","","29","","18","","40",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-23","2025","02","23","","9.6","","-1.8","","3.9","","14.1","","0.0","","","","","","0.0","","27","","19","","41",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-24","2025","02","24","","9.3","","-8.0","","0.7","","17.3","","0.0","","","","","","0.0","","23","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-25","2025","02","25","","7.9","","-6.8","","0.5","","17.5","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-26","2025","02","26","","9.6","","-8.5","","0.6","","17.4","","0.0","","","","","","0.0","","22","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-27","2025","02","27","","12.6","","-1.3","","5.7","","12.3","","0.0","","","","","","0.0","","21","","23","","48",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-02-28","2025","02","28","","8.8","","-5.8","","1.5","","16.5","","0.0","","","","","","0.0","","16","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-03-01","2025","03","01","","8.4","","-4.9","","1.7","","16.3","","0.0","","","","","","0.0","","15","","","","",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-03-02","2025","03","02","","7.3","","-5.4","","1.0","","17.0","","0.0","","","","","","0.0","","12","","1","","33",""
"-112.68","51.45","DRUMHELLER EAST","30221LG","2025-03-03","2025","03","03","","2.8","","-4.0","","-0.6","","18.6","","0.0","","","","","","0.0","","10","","","","",""
