"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-01","2025","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-02","2025","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-03","2025","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-04","2025","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-05","2025","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-06","2025","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-07","2025","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-08","2025","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-09","2025","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-10","2025","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-11","2025","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-12","2025","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-13","2025","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-14","2025","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-15","2025","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-16","2025","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-17","2025","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-18","2025","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-19","2025","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-20","2025","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-21","2025","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-22","2025","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-23","2025","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-24","2025","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-25","2025","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-26","2025","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-27","2025","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-28","2025","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-29","2025","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-30","2025","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-01-31","2025","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-02-01","2025","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-02-02","2025","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-02-03","2025","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-02-04","2025","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-113.29","54.72","ATHABASCA 1","3060L20","2025-02-05","2025","02","05","","","","","","","","","","","","","","","","","","","","","","",""
