"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-01","2025","01","01","¿","7.0","","4.5","","5.8","","12.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-02","2025","01","02","¿","6.5","","4.5","","5.5","","12.5","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-03","2025","01","03","¿","8.0","","4.0","","6.0","","12.0","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-04","2025","01","04","¿","8.0","","5.5","","6.8","","11.2","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-05","2025","01","05","¿","8.0","","5.0","","6.5","","11.5","","0.0","","7.2","","0.0","","7.2","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-06","2025","01","06","¿","7.5","","4.5","","6.0","","12.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-07","2025","01","07","¿","9.0","","3.5","","6.3","","11.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-08","2025","01","08","¿","8.5","","5.0","","6.8","","11.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-09","2025","01","09","¿","8.5","","5.5","","7.0","","11.0","","0.0","","7.4","","0.0","","7.4","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-10","2025","01","10","¿","9.0","","5.5","","7.3","","10.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-11","2025","01","11","¿","8.0","","5.5","","6.8","","11.2","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-12","2025","01","12","¿","11.0","","5.0","","8.0","","10.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-13","2025","01","13","¿","7.0","","5.0","","6.0","","12.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-14","2025","01","14","¿","7.5","","5.0","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-15","2025","01","15","¿","8.0","","4.0","","6.0","","12.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-16","2025","01","16","¿","8.5","","4.5","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-17","2025","01","17","¿","8.0","","5.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-18","2025","01","18","¿","7.0","","3.5","","5.3","","12.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-19","2025","01","19","¿","6.5","","3.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-20","2025","01","20","¿","7.0","","2.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-21","2025","01","21","¿","7.5","","2.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-22","2025","01","22","¿","7.5","","3.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-23","2025","01","23","¿","8.0","","2.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-24","2025","01","24","¿","7.0","","3.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-123.81","49.21","ENTRANCE ISLAND","102BFHH","2025-01-25","2025","01","25","¿","8.0","","4.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
