"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-01","2025","01","01","","4.2","","1.2","","2.7","","15.3","","0.0","","","","","","1.2","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-02","2025","01","02","","2.2","","0.0","","1.1","","16.9","","0.0","","","","","","11.6","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-03","2025","01","03","","3.4","","0.0","","1.7","","16.3","","0.0","","","","","","8.8","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-04","2025","01","04","","4.5","","2.2","","3.4","","14.6","","0.0","","","","","","7.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-05","2025","01","05","","6.5","","2.4","","4.5","","13.5","","0.0","","","","","","0.9","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-06","2025","01","06","","5.0","","1.1","","3.0","","15.0","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-07","2025","01","07","","4.4","","1.0","","2.7","","15.3","","0.0","","","","","","1.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-08","2025","01","08","","7.1","","3.7","","5.4","","12.6","","0.0","","","","","","0.2","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-09","2025","01","09","","7.7","","3.7","","5.7","","12.3","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-10","2025","01","10","","8.6","","3.5","","6.1","","11.9","","0.0","","","","","","10.3","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-11","2025","01","11","","4.9","","-0.4","","2.2","","15.8","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-12","2025","01","12","","2.0","","0.1","","1.1","","16.9","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-13","2025","01","13","","2.7","","-0.2","","1.2","","16.8","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-14","2025","01","14","","4.6","","1.0","","2.8","","15.2","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-15","2025","01","15","","2.3","","0.9","","1.6","","16.4","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-16","2025","01","16","","6.2","","-0.5","","2.9","","15.1","","0.0","","","","","","0.7","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-17","2025","01","17","","3.1","","-2.2","","0.5","","17.5","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-18","2025","01","18","","-0.3","","-1.8","","-1.0","","19.0","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-19","2025","01","19","","1.2","","-2.4","","-0.6","","18.6","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-20","2025","01","20","","-0.4","","-2.4","","-1.4","","19.4","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-21","2025","01","21","","-0.2","","-1.8","","-1.0","","19.0","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-22","2025","01","22","","1.3","","-1.6","","-0.1","","18.1","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-23","2025","01","23","","0.4","","-1.2","","-0.4","","18.4","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-24","2025","01","24","","0.7","","-1.7","","-0.5","","18.5","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-25","2025","01","25","","2.8","","-3.4","","-0.3","","18.3","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-26","2025","01","26","","3.0","","-3.6","","-0.3","","18.3","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-27","2025","01","27","","4.7","","-4.8","","0.0","","18.0","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-28","2025","01","28","","5.4","","-5.5","","-0.1","","18.1","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-29","2025","01","29","","-0.2","","-4.5","","-2.3","","20.3","","0.0","","","","","","0.0","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-30","2025","01","30","","1.9","","-1.3","","0.3","","17.7","","0.0","","","","","","6.1","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-01-31","2025","01","31","","3.2","","-0.6","","1.3","","16.7","","0.0","","","","","","12.5","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-02-01","2025","02","01","","3.7","","-3.4","","0.1","","17.9","","0.0","","","","","","1.7","","0","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-02-02","2025","02","02","","1.6","","-3.6","","-1.0","","19.0","","0.0","","","","","","12.5","","10","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-02-03","2025","02","03","","-2.0","","-6.9","","-4.5","","22.5","","0.0","","","","","","4.6","","12","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-02-04","2025","02","04","","0.7","","-8.6","","-3.9","","21.9","","0.0","","","","","","0.3","","16","","","","",""
"-124.93","49.32","PORT ALBERNI (AUT)","1036B06","2025-02-05","2025","02","05","","0.9","","-8.9","","-4.0","","22.0","","0.0","","","","","","0.0","","12","","","","",""
