"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-01","2025","01","01","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-02","2025","01","02","¿","","","","","","","","","","","2.2","","0.0","","2.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-03","2025","01","03","¿","","","","","","","","","","","6.4","","0.0","","6.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-04","2025","01","04","¿","","","","","","","","","","","24.8","","0.0","","24.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-05","2025","01","05","¿","","","","","","","","","","","0.4","","0.0","","0.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-06","2025","01","06","¿","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-07","2025","01","07","¿","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-08","2025","01","08","¿","","","","","","","","","","","0.2","","0.0","","0.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-09","2025","01","09","¿","","","","","","","","","","","10.6","","0.0","","10.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-10","2025","01","10","¿","","","","","","","","","","","0.4","","0.0","","0.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-11","2025","01","11","¿","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-12","2025","01","12","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-13","2025","01","13","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-14","2025","01","14","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-15","2025","01","15","¿","","","","","","","","","","","0.6","","0.0","","0.6","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-16","2025","01","16","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-17","2025","01","17","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-18","2025","01","18","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-19","2025","01","19","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-20","2025","01","20","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-21","2025","01","21","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-22","2025","01","22","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-23","2025","01","23","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-24","2025","01","24","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-25","2025","01","25","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-26","2025","01","26","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-27","2025","01","27","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-28","2025","01","28","¿","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-29","2025","01","29","¿","","","","","","","","","","","2.2","","0.0","","2.2","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-30","2025","01","30","¿","","","","","","","","","","","29.4","","0.0","","29.4","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-01-31","2025","01","31","¿","","","","","","","","","","","7.8","","0.0","T","7.8","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-01","2025","02","01","¿","","","","","","","","","","","1.0","","13.0","","14.0","","0","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-02","2025","02","02","¿","","","","","","","","","","","0.0","","3.0","","3.0","","13","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-03","2025","02","03","¿","","","","","","","","","","","0.0","","6.0","","6.0","","12","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-04","2025","02","04","¿","","","","","","","","","","","0.0","","0.0","","0.0","","17","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-05","2025","02","05","¿","","","","","","","","","","","0.0","","0.0","","0.0","","15","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-06","2025","02","06","¿","","","","","","","","","","","0.0","","0.0","","0.0","","13","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-07","2025","02","07","¿","","","","","","","","","","","0.0","","0.0","","0.0","","12","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-08","2025","02","08","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-09","2025","02","09","¿","","","","","","","","","","","0.0","","0.0","","0.0","","9","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-10","2025","02","10","¿","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-11","2025","02","11","¿","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-12","2025","02","12","¿","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
"-123.40","49.36","BOWEN ISLAND SUNSET PARK","104091B","2025-02-13","2025","02","13","¿","","","","","","","","","","","0.0","","0.0","","0.0","","8","","","","",""
