"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-01","2025","01","01","","5.9","","4.6","","5.3","","12.7","","0.0","","","","","","0.0","","","","36","","66",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-02","2025","01","02","","5.5","","2.7","","4.1","","13.9","","0.0","","","","","","6.2","","","","1","","69",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-03","2025","01","03","","6.0","","4.0","","5.0","","13.0","","0.0","","","","","","2.0","","","","2","","89",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-04","2025","01","04","","6.2","","4.6","","5.4","","12.6","","0.0","","","","","","2.8","","","","35","","54",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-05","2025","01","05","","7.8","","5.6","","6.7","","11.3","","0.0","","","","","","0.6","","","","1","","47",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-06","2025","01","06","","8.9","","5.4","","7.1","","10.9","","0.0","","","","","","0.0","","","","1","","58",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-07","2025","01","07","","6.7","","4.3","","5.5","","12.5","","0.0","","","","","","0.4","","","","2","","62",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-08","2025","01","08","","7.8","","5.7","","6.7","","11.3","","0.0","","","","","","0.0","","","","2","","41",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-09","2025","01","09","","8.4","","6.0","","7.2","","10.8","","0.0","","","","","","0.2","","","","1","","57",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-10","2025","01","10","","7.8","","5.5","","6.6","","11.4","","0.0","","","","","","8.4","","","","1","","48",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-11","2025","01","11","","6.4","","4.7","","5.5","","12.5","","0.0","","","","","","0.2","","","","35","","39",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-12","2025","01","12","","9.7","","4.0","","6.9","","11.1","","0.0","","","","","","0.4","","","","2","","40",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-13","2025","01","13","","5.1","","2.9","","4.0","","14.0","","0.0","","","","","","0.0","","","","22","","38",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-14","2025","01","14","","7.1","","3.5","","5.3","","12.7","","0.0","","","","","","0.0","","","","35","","32",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-15","2025","01","15","","9.4","","4.1","","6.8","","11.2","","0.0","","","","","","0.0","","","","36","","36",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-16","2025","01","16","","9.6","","4.6","","7.1","","10.9","","0.0","","","","","","0.2","","","","","","",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-17","2025","01","17","","7.8","","3.1","","5.5","","12.5","","0.0","","","","","","0.0","","","","36","","37",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-18","2025","01","18","","6.3","","2.4","","4.4","","13.6","","0.0","","","","","","0.0","","","","36","","52",""
"-123.30","49.49","HOWE SOUND - PAM ROCKS","10459NN","2025-01-19","2025","01","19","","9.1","","2.3","","5.7","","12.3","","0.0","","","","","","0.0","","","","1","","50",""
