"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-01","2025","01","01","","5.7","","3.0","","4.4","","13.6","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-02","2025","01","02","","5.0","","2.9","","4.0","","14.0","","0.0","","","","","","","M","","","","","",""
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-03","2025","01","03","","5.9","","2.8","","4.4","","13.6","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-04","2025","01","04","","7.2","","5.0","","6.1","","11.9","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-05","2025","01","05","","8.0","","5.1","","6.6","","11.4","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-06","2025","01","06","","6.8","","2.2","","4.5","","13.5","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-07","2025","01","07","","7.1","","1.3","","4.2","","13.8","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-08","2025","01","08","","8.0","","4.6","","6.3","","11.7","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-09","2025","01","09","","9.1","","3.1","","6.1","","11.9","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-10","2025","01","10","","9.6","","5.0","","7.3","","10.7","","0.0","","","","","","","M","","","27","","48",""
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-11","2025","01","11","","6.8","","4.1","","5.5","","12.5","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-12","2025","01","12","","6.8","","3.0","","4.9","","13.1","","0.0","","","","","","","M","","","","","",""
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-13","2025","01","13","","5.3","","1.8","","3.6","","14.4","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-14","2025","01","14","","7.0","","2.2","","4.6","","13.4","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-15","2025","01","15","","7.8","","2.4","","5.1","","12.9","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-16","2025","01","16","","7.6","","3.0","","5.3","","12.7","","0.0","","","","","","","M","","","26","","52",""
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-17","2025","01","17","","6.1","","1.4","","3.8","","14.2","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-18","2025","01","18","","5.2","","0.4","","2.8","","15.2","","0.0","","","","","","","M","","","","M","","M"
"-123.11","49.29","VANCOUVER HARBOUR","110Q44V","2025-01-19","2025","01","19","","5.7","","-0.2","","2.8","","15.2","","0.0","","","","","","","M","","","","M","","M"
