"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.51","49.47","PRINCETON A","1126510","2025-01-01","2025","01","01","¿","-3.5","","-5.5","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","","13","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-02","2025","01","02","¿","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","2.0","","1.0","","13","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-03","2025","01","03","¿","-4.5","","-6.5","","-5.5","","23.5","","0.0","","0.0","","8.0","","6.2","","14","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-04","2025","01","04","¿","-1.5","","-9.0","","-5.3","","23.3","","0.0","","0.0","","1.0","","0.4","","23","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-05","2025","01","05","¿","2.5","","-3.5","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","","24","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-06","2025","01","06","¿","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-07","2025","01","07","¿","-2.0","","-4.5","","-3.3","","21.3","","0.0","","0.0","","2.0","","1.6","","21","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-08","2025","01","08","¿","-0.5","","-6.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-09","2025","01","09","¿","-0.5","","-8.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-10","2025","01","10","¿","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-11","2025","01","11","¿","6.0","","-3.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-12","2025","01","12","¿","0.5","","-4.5","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","","20","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-13","2025","01","13","¿","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-14","2025","01","14","¿","0.0","","-12.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-15","2025","01","15","¿","-0.5","","-9.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-16","2025","01","16","¿","5.0","","-5.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-17","2025","01","17","¿","-1.5","","-6.5","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-18","2025","01","18","¿","-3.0","","-11.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-19","2025","01","19","¿","-1.0","","-8.5","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-20","2025","01","20","¿","-1.0","","-19.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-21","2025","01","21","¿","-0.5","","-12.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-22","2025","01","22","¿","-4.5","","-17.5","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-23","2025","01","23","¿","-2.5","","-10.5","","-6.5","","24.5","","0.0","","0.0","","1.0","","1.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-24","2025","01","24","¿","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-25","2025","01","25","¿","-1.5","","-13.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-26","2025","01","26","¿","-2.0","","-17.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON A","1126510","2025-01-27","2025","01","27","¿","-0.5","","-17.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
