"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-01","2025","01","01","","-3.4","","-6.1","","-4.7","","22.7","","0.0","","","","","","0.0","","11","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-02","2025","01","02","","-5.1","","-10.0","","-7.5","","25.5","","0.0","","","","","","0.9","","11","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-03","2025","01","03","","-4.1","","-6.9","","-5.5","","23.5","","0.0","","","","","","7.2","","12","","","M","","M"
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-04","2025","01","04","","-1.9","","-11.7","","-6.8","","24.8","","0.0","","","","","","0.0","","20","","","M","","M"
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-05","2025","01","05","","1.7","","-3.8","","-1.1","","19.1","","0.0","","","","","","0.3","","19","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-06","2025","01","06","","1.4","","-5.8","","-2.2","","20.2","","0.0","","","","","","0.0","","17","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-07","2025","01","07","","","M","","M","","M","","M","","M","","","","","","M","17","","","M","","M"
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-08","2025","01","08","","-0.2","","-9.6","","-4.9","","22.9","","0.0","","","","","","1.3","","18","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-09","2025","01","09","","-0.5","","-7.5","","-4.0","","22.0","","0.0","","","","","","0.0","","18","","","","",""
"-120.51","49.47","PRINCETON CS","112FN0M","2025-01-10","2025","01","10","","2.1","","-4.8","","-1.3","","19.3","","0.0","","","","","","0.0","","17","","","","",""
