"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-01","2025","01","01","","3.2","","-1.7","","0.8","","17.2","","0.0","","","","","","0.3","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-02","2025","01","02","","1.1","","-1.3","","-0.1","","18.1","","0.0","","","","","","0.4","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-03","2025","01","03","","1.8","","-1.5","","0.1","","17.9","","0.0","","","","","","2.5","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-04","2025","01","04","","1.8","","-0.5","","0.7","","17.3","","0.0","","","","","","3.0","","3","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-05","2025","01","05","","2.6","","0.1","","1.4","","16.6","","0.0","","","","","","0.3","","3","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-06","2025","01","06","","5.0","","-0.2","","2.4","","15.6","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-07","2025","01","07","","1.1","","-1.1","","0.0","","18.0","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-08","2025","01","08","","1.8","","-1.4","","0.2","","17.8","","0.0","","","","","","1.4","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-09","2025","01","09","","1.1","","-0.8","","0.1","","17.9","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-10","2025","01","10","","0.8","","-1.1","","-0.2","","18.2","","0.0","","","","","","0.5","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-11","2025","01","11","","4.1","","-0.9","","1.6","","16.4","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-12","2025","01","12","","4.9","","-2.4","","1.3","","16.7","","0.0","","","","","","0.1","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-13","2025","01","13","","3.3","","-2.3","","0.5","","17.5","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-14","2025","01","14","","1.0","","-1.2","","-0.1","","18.1","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-15","2025","01","15","","5.0","","-2.1","","1.4","","16.6","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-16","2025","01","16","","6.8","","-4.0","","1.4","","16.6","","0.0","","","","","","0.0","","","","15","","38",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-17","2025","01","17","","0.7","","-4.6","","-1.9","","19.9","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-18","2025","01","18","","0.0","","-4.6","","-2.3","","20.3","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-19","2025","01","19","","0.5","","-6.1","","-2.8","","20.8","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-20","2025","01","20","","-4.4","","-8.9","","-6.6","","24.6","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-21","2025","01","21","","-0.5","","-8.4","","-4.4","","22.4","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-22","2025","01","22","","0.0","","-6.4","","-3.2","","21.2","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-23","2025","01","23","","-2.8","","-7.9","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-24","2025","01","24","","1.1","","-5.3","","-2.1","","20.1","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-25","2025","01","25","","-0.7","","-8.3","","-4.5","","22.5","","0.0","","","","","","0.0","","","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-26","2025","01","26","","-0.4","","-7.8","","-4.1","","22.1","","0.0","","","","","","0.0","","0","","","","",""
"-116.50","49.08","CRESTON CAMPBELL SCIENTIFIC","114B1F0","2025-01-27","2025","01","27","","-0.4","","-7.7","","-4.0","","22.0","","0.0","","","","","","0.0","","0","","","","",""
