"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-01","2025","01","01","¿","-2.0","","-5.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-02","2025","01","02","¿","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","2.6","","2.6","","6","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-03","2025","01","03","¿","-2.0","","-5.5","","-3.8","","21.8","","0.0","","0.0","","1.0","","1.0","","8","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-04","2025","01","04","¿","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","2.2","","2.2","","9","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-05","2025","01","05","¿","0.5","","-1.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-06","2025","01","06","¿","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.6","","0.0","","0.6","","10","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-07","2025","01","07","¿","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","0.6","","0.6","","9","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-08","2025","01","08","¿","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-09","2025","01","09","¿","1.0","","-4.0","","-1.5","","19.5","","0.0","","0.0","","0.8","","0.8","","9","","","","",""
"-120.17","50.63","KAMLOOPS PRATT ROAD","116C8P0","2025-01-10","2025","01","10","¿","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
