"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.34","51.44","YOHO PARK","11790J1","2025-01-01","2025","01","01","","-6.8","","-13.9","","-10.4","","28.4","","0.0","","","","","","","M","57","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-02","2025","01","02","","-12.5","","-16.0","","-14.3","","32.3","","0.0","","","","","","","M","56","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-03","2025","01","03","","-7.8","","-15.9","","-11.8","","29.8","","0.0","","","","","","","M","54","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-04","2025","01","04","","-5.7","","-13.4","","-9.6","","27.6","","0.0","","","","","","","M","54","","25","","33",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-05","2025","01","05","","-3.0","","-9.8","","-6.4","","24.4","","0.0","","","","","","","M","52","","25","","34",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-06","2025","01","06","","-7.4","","-16.6","","-12.0","","30.0","","0.0","","","","","","","M","52","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-07","2025","01","07","","-7.5","","-17.2","","-12.3","","30.3","","0.0","","","","","","","M","51","","25","","60",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-08","2025","01","08","","-6.5","","-9.9","","-8.2","","26.2","","0.0","","","","","","","M","53","","26","","53",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-09","2025","01","09","","-8.3","","-10.1","","-9.2","","27.2","","0.0","","","","","","","M","54","","26","","42",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-10","2025","01","10","","-6.0","","-9.0","","-7.5","","25.5","","0.0","","","","","","","M","55","","25","","49",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-11","2025","01","11","","-2.5","","-6.6","","-4.5","","22.5","","0.0","","","","","","","M","62","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-12","2025","01","12","","-1.9","","-7.9","","-4.9","","22.9","","0.0","","","","","","","M","60","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-13","2025","01","13","","-7.1","","-10.2","","-8.7","","26.7","","0.0","","","","","","","M","58","","25","","43",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-14","2025","01","14","","-6.5","","-9.8","","-8.2","","26.2","","0.0","","","","","","","M","57","","26","","53",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-15","2025","01","15","","-4.4","","-6.5","","-5.5","","23.5","","0.0","","","","","","","M","57","","24","","51",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-16","2025","01","16","","-2.2","","-8.0","","-5.1","","23.1","","0.0","","","","","","","M","59","","24","","61",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-17","2025","01","17","","-7.2","","-16.6","","-11.9","","29.9","","0.0","","","","","","","M","60","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-18","2025","01","18","","-13.5","","-24.3","","-18.9","","36.9","","0.0","","","","","","","M","59","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-19","2025","01","19","","-10.1","","-24.1","","-17.1","","35.1","","0.0","","","","","","","M","58","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-20","2025","01","20","","-13.0","","-27.8","","-20.4","","38.4","","0.0","","","","","","","M","58","","26","","57",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-21","2025","01","21","","-10.9","","-15.9","","-13.4","","31.4","","0.0","","","","","","","M","59","","26","","54",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-22","2025","01","22","","-4.4","","-14.8","","-9.6","","27.6","","0.0","","","","","","","M","59","","25","","31",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-23","2025","01","23","","-9.6","","-13.2","","-11.4","","29.4","","0.0","","","","","","","M","59","","26","","57",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-24","2025","01","24","","-4.3","","-14.7","","-9.5","","27.5","","0.0","","","","","","","M","63","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-25","2025","01","25","","-9.2","","-18.4","","-13.8","","31.8","","0.0","","","","","","","M","62","","","","",""
"-116.34","51.44","YOHO PARK","11790J1","2025-01-26","2025","01","26","","-7.4","","-18.9","","-13.2","","31.2","","0.0","","","","","","","M","61","","26","","47",""
