"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-01","2025","01","01","¿","-15.5","","-19.0","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-02","2025","01","02","¿","-18.5","","-24.5","","-21.5","","39.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-03","2025","01","03","¿","-21.5","","-27.5","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-04","2025","01","04","¿","-24.0","","-35.5","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-05","2025","01","05","¿","-20.5","","-34.5","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-06","2025","01","06","¿","-16.5","","-27.5","","-22.0","","40.0","","0.0","","0.0","","0.4","","0.4","","29","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-07","2025","01","07","¿","-10.5","","-24.5","","-17.5","","35.5","","0.0","","0.0","","0.6","","0.6","","29","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-08","2025","01","08","¿","0.0","","-22.0","","-11.0","","29.0","","0.0","","0.0","","0.2","","0.2","","29","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-09","2025","01","09","¿","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-10","2025","01","10","¿","-9.0","","-19.5","","-14.3","","32.3","","0.0","","0.0","","5.6","","5.6","","27","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-11","2025","01","11","¿","-8.0","","-13.5","","-10.8","","28.8","","0.0","","0.0","","0.8","","0.8","","31","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-12","2025","01","12","¿","-9.5","","-23.5","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-13","2025","01","13","¿","-20.5","","-27.0","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-14","2025","01","14","¿","-1.0","","-31.5","","-16.3","","34.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-15","2025","01","15","¿","2.0","","-19.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-101.20","49.93","ELKHORN 2 EAST","5010QFQ","2025-01-16","2025","01","16","¿","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","2.0","","2.0","","28","","","","",""
