"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-100.99","49.28","MELITA","501A7AR","2025-01-01","2025","01","01","","-12.5","","-21.8","","-17.2","","35.2","","0.0","","","","","","0.0","","11","","32","","37",""
"-100.99","49.28","MELITA","501A7AR","2025-01-02","2025","01","02","","-18.2","","-24.1","","-21.2","","39.2","","0.0","","","","","","0.0","","11","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-03","2025","01","03","","-22.2","","-31.1","","-26.7","","44.7","","0.0","","","","","","0.0","","11","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-04","2025","01","04","","-24.8","","-33.3","","-29.0","","47.0","","0.0","","","","","","0.0","","11","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-05","2025","01","05","","-23.0","","-33.8","","-28.4","","46.4","","0.0","","","","","","0.0","","11","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-06","2025","01","06","","-16.2","","-27.0","","-21.6","","39.6","","0.0","","","","","","0.6","","11","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-07","2025","01","07","","-14.3","","-20.5","","-17.4","","35.4","","0.0","","","","","","0.0","","13","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-08","2025","01","08","","0.3","","-16.6","","-8.2","","26.2","","0.0","","","","","","0.2","","12","","18","","41",""
"-100.99","49.28","MELITA","501A7AR","2025-01-09","2025","01","09","","0.8","","-7.2","","-3.2","","21.2","","0.0","","","","","","0.0","","12","","34","","57",""
"-100.99","49.28","MELITA","501A7AR","2025-01-10","2025","01","10","","-7.2","","-19.6","","-13.4","","31.4","","0.0","","","","","","1.2","","12","","34","","41",""
"-100.99","49.28","MELITA","501A7AR","2025-01-11","2025","01","11","","-5.4","","-18.2","","-11.8","","29.8","","0.0","","","","","","1.5","","12","","36","","51",""
"-100.99","49.28","MELITA","501A7AR","2025-01-12","2025","01","12","","-18.2","","-26.8","","-22.5","","40.5","","0.0","","","","","","0.0","","18","","34","","42",""
"-100.99","49.28","MELITA","501A7AR","2025-01-13","2025","01","13","","-23.1","","-30.1","","-26.6","","44.6","","0.0","","","","","","0.0","","18","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-14","2025","01","14","","-15.2","","-31.6","","-23.4","","41.4","","0.0","","","","","","0.0","","18","","19","","35",""
"-100.99","49.28","MELITA","501A7AR","2025-01-15","2025","01","15","","0.7","","-15.2","","-7.3","","25.3","","0.0","","","","","","0.1","","18","","30","","43",""
"-100.99","49.28","MELITA","501A7AR","2025-01-16","2025","01","16","","3.0","","-10.5","","-3.7","","21.7","","0.0","","","","","","0.0","","18","","30","","55",""
"-100.99","49.28","MELITA","501A7AR","2025-01-17","2025","01","17","","0.6","","-19.4","","-9.4","","27.4","","0.0","","","","","","0.0","","20","","35","","83",""
"-100.99","49.28","MELITA","501A7AR","2025-01-18","2025","01","18","","-19.3","","-29.5","","-24.4","","42.4","","0.0","","","","","","0.0","","19","","32","","47",""
"-100.99","49.28","MELITA","501A7AR","2025-01-19","2025","01","19","","-23.8","","-30.7","","-27.2","","45.2","","0.0","","","","","","0.0","","19","","34","","42",""
"-100.99","49.28","MELITA","501A7AR","2025-01-20","2025","01","20","","-27.2","","-34.1","","-30.7","","48.7","","0.0","","","","","","0.0","","19","","34","","40",""
"-100.99","49.28","MELITA","501A7AR","2025-01-21","2025","01","21","","-4.2","","-32.2","","-18.2","","36.2","","0.0","","","","","","0.4","","19","","18","","44",""
"-100.99","49.28","MELITA","501A7AR","2025-01-22","2025","01","22","","-4.3","","-17.5","","-10.9","","28.9","","0.0","","","","","","0.0","","19","","1","","49",""
"-100.99","49.28","MELITA","501A7AR","2025-01-23","2025","01","23","","-7.6","","-18.0","","-12.8","","30.8","","0.0","","","","","","0.1","","19","","18","","32",""
"-100.99","49.28","MELITA","501A7AR","2025-01-24","2025","01","24","","-1.4","","-8.6","","-5.0","","23.0","","0.0","","","","","","0.1","","20","","31","","51",""
"-100.99","49.28","MELITA","501A7AR","2025-01-25","2025","01","25","","-8.0","","-15.7","","-11.9","","29.9","","0.0","","","","","","0.0","","19","","32","","56",""
"-100.99","49.28","MELITA","501A7AR","2025-01-26","2025","01","26","","-3.9","","-9.2","","-6.5","","24.5","","0.0","","","","","","0.0","","19","","27","","47",""
"-100.99","49.28","MELITA","501A7AR","2025-01-27","2025","01","27","","0.4","","-4.9","","-2.3","","20.3","","0.0","","","","","","0.0","","19","","27","","46",""
"-100.99","49.28","MELITA","501A7AR","2025-01-28","2025","01","28","","2.7","","-5.3","","-1.3","","19.3","","0.0","","","","","","0.0","","19","","31","","51",""
"-100.99","49.28","MELITA","501A7AR","2025-01-29","2025","01","29","","0.7","","-11.0","","-5.2","","23.2","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-01-30","2025","01","30","","-1.5","","-12.9","","-7.2","","25.2","","0.0","","","","","","0.0","","19","","5","","36",""
"-100.99","49.28","MELITA","501A7AR","2025-01-31","2025","01","31","","-10.5","","-20.0","","-15.2","","33.2","","0.0","","","","","","0.0","","19","","5","","46",""
"-100.99","49.28","MELITA","501A7AR","2025-02-01","2025","02","01","","-4.9","","-15.4","","-10.1","","28.1","","0.0","","","","","","0.8","","19","","29","","43",""
"-100.99","49.28","MELITA","501A7AR","2025-02-02","2025","02","02","","-9.1","","-21.3","","-15.2","","33.2","","0.0","","","","","","0.0","","19","","28","","45",""
"-100.99","49.28","MELITA","501A7AR","2025-02-03","2025","02","03","","-20.3","","-27.4","","-23.9","","41.9","","0.0","","","","","","0.0","","19","","31","","38",""
"-100.99","49.28","MELITA","501A7AR","2025-02-04","2025","02","04","","-18.0","","-28.7","","-23.4","","41.4","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-05","2025","02","05","","-14.5","","-18.2","","-16.3","","34.3","","0.0","","","","","","2.8","","19","","29","","43",""
"-100.99","49.28","MELITA","501A7AR","2025-02-06","2025","02","06","","-14.2","","-20.2","","-17.2","","35.2","","0.0","","","","","","0.0","","21","","29","","47",""
"-100.99","49.28","MELITA","501A7AR","2025-02-07","2025","02","07","","-10.4","","-20.3","","-15.4","","33.4","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-08","2025","02","08","","-13.5","","-25.5","","-19.5","","37.5","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-09","2025","02","09","","-14.5","","-22.9","","-18.7","","36.7","","0.0","","","","","","0.0","","19","","30","","31",""
"-100.99","49.28","MELITA","501A7AR","2025-02-10","2025","02","10","","-22.3","","-29.1","","-25.7","","43.7","","0.0","","","","","","0.0","","19","","30","","33",""
"-100.99","49.28","MELITA","501A7AR","2025-02-11","2025","02","11","","-18.6","","-31.8","","-25.2","","43.2","","0.0","","","","","","0.0","","19","","26","","32",""
"-100.99","49.28","MELITA","501A7AR","2025-02-12","2025","02","12","","-21.2","","-31.2","","-26.2","","44.2","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-13","2025","02","13","","-18.2","","-31.0","","-24.6","","42.6","","0.0","","","","","","0.0","","19","","18","","35",""
"-100.99","49.28","MELITA","501A7AR","2025-02-14","2025","02","14","","-18.7","","-30.1","","-24.4","","42.4","","0.0","","","","","","0.0","","19","","5","","34",""
"-100.99","49.28","MELITA","501A7AR","2025-02-15","2025","02","15","","-17.6","","-24.2","","-20.9","","38.9","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-16","2025","02","16","","-22.2","","-33.6","","-27.9","","45.9","","0.0","","","","","","0.0","","19","","33","","39",""
"-100.99","49.28","MELITA","501A7AR","2025-02-17","2025","02","17","","-25.1","","-37.3","","-31.2","","49.2","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-18","2025","02","18","","-21.5","","-36.7","","-29.1","","47.1","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-19","2025","02","19","","-20.0","","-33.5","","-26.8","","44.8","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-20","2025","02","20","","-15.4","","-29.9","","-22.7","","40.7","","0.0","","","","","","0.0","","19","","17","","47",""
"-100.99","49.28","MELITA","501A7AR","2025-02-21","2025","02","21","","-4.9","","-19.2","","-12.0","","30.0","","0.0","","","","","","0.0","","19","","19","","32",""
"-100.99","49.28","MELITA","501A7AR","2025-02-22","2025","02","22","","-4.4","","-13.8","","-9.1","","27.1","","0.0","","","","","","0.0","","19","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-23","2025","02","23","","4.8","","-16.9","","-6.1","","24.1","","0.0","","","","","","0.0","","19","","26","","45",""
"-100.99","49.28","MELITA","501A7AR","2025-02-24","2025","02","24","","3.3","","-4.2","","-0.4","","18.4","","0.0","","","","","","0.0","","18","","28","","41",""
"-100.99","49.28","MELITA","501A7AR","2025-02-25","2025","02","25","","3.2","","-6.9","","-1.9","","19.9","","0.0","","","","","","0.0","","17","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-02-26","2025","02","26","","3.0","","-7.4","","-2.2","","20.2","","0.0","","","","","","0.0","","15","","26","","38",""
"-100.99","49.28","MELITA","501A7AR","2025-02-27","2025","02","27","","5.3","","-5.5","","-0.1","","18.1","","0.0","","","","","","0.0","","12","","27","","44",""
"-100.99","49.28","MELITA","501A7AR","2025-02-28","2025","02","28","","3.3","","-11.7","","-4.2","","22.2","","0.0","","","","","","0.0","","5","","34","","83",""
"-100.99","49.28","MELITA","501A7AR","2025-03-01","2025","03","01","","-4.8","","-15.4","","-10.1","","28.1","","0.0","","","","","","0.0","","5","","18","","33",""
"-100.99","49.28","MELITA","501A7AR","2025-03-02","2025","03","02","","2.4","","-7.2","","-2.4","","20.4","","0.0","","","","","","0.0","","6","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-03","2025","03","03","","3.0","","-6.6","","-1.8","","19.8","","0.0","","","","","","0.0","","6","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-04","2025","03","04","","-0.3","","-9.1","","-4.7","","22.7","","0.0","","","","","","0.3","","6","","35","","51",""
"-100.99","49.28","MELITA","501A7AR","2025-03-05","2025","03","05","","1.4","","-9.9","","-4.3","","22.3","","0.0","","","","","","0.0","","6","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-06","2025","03","06","","0.9","","-10.1","","-4.6","","22.6","","0.0","","","","","","0.0","","6","","33","","35",""
"-100.99","49.28","MELITA","501A7AR","2025-03-07","2025","03","07","","4.0","","-6.2","","-1.1","","19.1","","0.0","","","","","","0.0","","6","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-08","2025","03","08","","9.0","","-1.7","","3.7","","14.3","","0.0","","","","","","0.0","","7","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-09","2025","03","09","","8.6","","-1.3","","3.6","","14.4","","0.0","","","","","","0.0","","5","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-10","2025","03","10","","3.0","","-12.3","","-4.7","","22.7","","0.0","","","","","","0.0","","7","","1","","46",""
"-100.99","49.28","MELITA","501A7AR","2025-03-11","2025","03","11","","-3.3","","-13.0","","-8.1","","26.1","","0.0","","","","","","1.1","","7","","17","","31",""
"-100.99","49.28","MELITA","501A7AR","2025-03-12","2025","03","12","","2.8","","-4.9","","-1.0","","19.0","","0.0","","","","","","0.0","","7","","","","",""
"-100.99","49.28","MELITA","501A7AR","2025-03-13","2025","03","13","","3.1","","-2.5","","0.3","","17.7","","0.0","","","","","","0.3","","7","","7","","49",""
"-100.99","49.28","MELITA","501A7AR","2025-03-14","2025","03","14","","-2.0","","-8.8","","-5.4","","23.4","","0.0","","","","","","0.0","","7","","33","","51",""
"-100.99","49.28","MELITA","501A7AR","2025-03-15","2025","03","15","","-5.5","","-12.4","","-9.0","","27.0","","0.0","","","","","","0.0","","7","","32","","52",""
