"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-01","2025","01","01","","-11.0","","-14.4","","-12.7","","30.7","","0.0","","","","","","","M","","","31","","33",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-02","2025","01","02","","-13.4","","-22.5","","-18.0","","36.0","","0.0","","","","","","","M","","","","M","","M"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-03","2025","01","03","","-19.6","","-26.3","","-23.0","","41.0","","0.0","","","","","","","M","","","","","",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-04","2025","01","04","","-22.3","","-29.4","","-25.9","","43.9","","0.0","","","","","","","M","","","","M","","M"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-05","2025","01","05","","-19.7","","-29.1","","-24.4","","42.4","","0.0","","","","","","","M","","","","M","","M"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-06","2025","01","06","","-14.8","","-26.7","","-20.8","","38.8","","0.0","","","","","","","M","","","","M","","M"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-07","2025","01","07","","-14.8","","-18.4","","-16.6","","34.6","","0.0","","","","","","","M","","","","","",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-08","2025","01","08","","-7.2","","-17.9","","-12.6","","30.6","","0.0","","","","","","","M","","","16","","49",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-09","2025","01","09","","0.0","","-9.1","","-4.6","","22.6","","0.0","","","","","","","M","","","31","","44",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-10","2025","01","10","","-9.0","","-17.4","","-13.2","","31.2","","0.0","","","","","","","M","","","35","","40",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-11","2025","01","11","","-10.1","","-14.8","","-12.5","","30.5","","0.0","","","","","","","M","","","36","","39",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-12","2025","01","12","","-12.9","","-26.2","","-19.6","","37.6","","0.0","","","","","","","M","","","34","","48",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-13","2025","01","13","","-20.9","","-26.7","","-23.8","","41.8","","0.0","","","","","","","M","","","","M","","M"
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-14","2025","01","14","","-18.4","","-28.7","","-23.6","","41.6","","0.0","","","","","","","M","","","18","","41",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-15","2025","01","15","","2.6","","-18.6","","-8.0","","26.0","","0.0","","","","","","","M","","","33","","52",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-16","2025","01","16","","0.6","","-7.0","","-3.2","","21.2","","0.0","","","","","","","M","","","18","","63",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-17","2025","01","17","","1.7","","-21.4","","-9.9","","27.9","","0.0","","","","","","","M","","","36","","86",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-18","2025","01","18","","-20.6","","-28.8","","-24.7","","42.7","","0.0","","","","","","","M","","","34","","41",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-19","2025","01","19","","-24.8","","-29.9","","-27.4","","45.4","","0.0","","","","","","","M","","","35","","35",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-20","2025","01","20","","-27.7","","-33.3","","-30.5","","48.5","","0.0","","","","","","","M","","","34","","32",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-21","2025","01","21","","-13.2","","-30.0","","-21.6","","39.6","","0.0","","","","","","","M","","","18","","60",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-22","2025","01","22","","-13.3","","-25.2","","-19.3","","37.3","","0.0","","","","","","","M","","","36","","50",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-23","2025","01","23","","-12.7","","-26.4","","-19.6","","37.6","","0.0","","","","","","","M","","","18","","36",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-24","2025","01","24","","-1.8","","-12.7","","-7.3","","25.3","","0.0","","","","","","","M","","","17","","52",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-25","2025","01","25","","-3.7","","-14.0","","-8.9","","26.9","","0.0","","","","","","","M","","","35","","63",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-26","2025","01","26","","-3.8","","-11.7","","-7.8","","25.8","","0.0","","","","","","","M","","","24","","54",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-27","2025","01","27","","-0.4","","-9.8","","-5.1","","23.1","","0.0","","","","","","","M","","","34","","45",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-28","2025","01","28","","3.3","","-15.3","","-6.0","","24.0","","0.0","","","","","","","M","","","33","","63",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-29","2025","01","29","","-4.4","","-20.1","","-12.3","","30.3","","0.0","","","","","","","M","","","20","","35",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-30","2025","01","30","","-2.7","","-14.6","","-8.7","","26.7","","0.0","","","","","","","M","","","2","","46",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-01-31","2025","01","31","","-14.6","","-25.9","","-20.3","","38.3","","0.0","","","","","","","M","","","1","","45",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-02-01","2025","02","01","","-5.7","","-20.4","","-13.1","","31.1","","0.0","","","","","","","M","","","13","","53",""
"-97.03","50.06","WINNIPEG ST ANDREWS","50225DS","2025-02-02","2025","02","02","","-4.9","","-21.0","","-13.0","","31.0","","0.0","","","","","","","M","","","30","","48",""
