"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-01","2025","01","01","","-11.8","","-16.7","","-14.2","","32.2","","0.0","","","","","","0.0","","","","","","",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-02","2025","01","02","","-14.5","","-21.0","","-17.7","","35.7","","0.0","","","","","","0.4","","","","","","",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-03","2025","01","03","","-19.1","","-25.1","","-22.1","","40.1","","0.0","","","","","","0.2","","","","30","","31",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-04","2025","01","04","","-23.9","","-28.7","","-26.3","","44.3","","0.0","","","","","","0.0","","","","","","",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-05","2025","01","05","","-19.9","","-29.1","","-24.5","","42.5","","0.0","","","","","","0.0","","","","","","",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-06","2025","01","06","","-14.1","","-27.9","","-21.0","","39.0","","0.0","","","","","","0.0","","","","","","",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-07","2025","01","07","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-08","2025","01","08","","-9.2","","-21.8","","-15.5","","33.5","","0.0","","","","","","0.0","","","","16","","39",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-09","2025","01","09","","0.9","","-10.4","","-4.7","","22.7","","0.0","","","","","","1.7","","","","35","","35",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-10","2025","01","10","","-10.3","","-13.5","","-11.9","","29.9","","0.0","","","","","","0.2","","","","35","","37",""
"-98.03","49.50","CARMAN U OF M CS","502I001","2025-01-11","2025","01","11","","-9.6","","-14.5","","-12.1","","30.1","","0.0","","","","","","3.4","","","","34","","45",""
