"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-01","2025","01","01","","-12.3","","-15.7","","-14.0","","32.0","","0.0","","","","","","0.8","","1","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-02","2025","01","02","","-14.3","","-21.7","","-18.0","","36.0","","0.0","","","","","","0.2","","2","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-03","2025","01","03","","-20.4","","-27.7","","-24.0","","42.0","","0.0","","","","","","0.0","","2","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-04","2025","01","04","","-20.6","","-30.4","","-25.5","","43.5","","0.0","","","","","","0.2","","2","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-05","2025","01","05","","-17.2","","-30.9","","-24.1","","42.1","","0.0","","","","","","0.2","","1","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-06","2025","01","06","","-14.5","","-23.3","","-18.9","","36.9","","0.0","","","","","","0.0","","1","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-07","2025","01","07","","-16.9","","-19.9","","-18.4","","36.4","","0.0","","","","","","0.0","","1","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-08","2025","01","08","","-9.2","","-19.3","","-14.3","","32.3","","0.0","","","","","","0.0","","2","","17","","40",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-09","2025","01","09","","-0.3","","-11.1","","-5.7","","23.7","","0.0","","","","","","0.0","","0","","33","","45",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-10","2025","01","10","","-11.0","","-19.0","","-15.0","","33.0","","0.0","","","","","","0.0","","2","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-11","2025","01","11","","-11.9","","-16.9","","-14.4","","32.4","","0.0","","","","","","2.5","","2","","34","","39",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-12","2025","01","12","","-16.9","","-25.6","","-21.3","","39.3","","0.0","","","","","","0.2","","5","","34","","36",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-13","2025","01","13","","-19.4","","-28.6","","-24.0","","42.0","","0.0","","","","","","0.5","","5","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-14","2025","01","14","","-15.3","","-30.5","","-22.9","","40.9","","0.0","","","","","","0.2","","4","","17","","32",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-15","2025","01","15","","3.7","","-15.3","","-5.8","","23.8","","0.0","","","","","","0.0","","5","","34","","56",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-16","2025","01","16","","","M","","M","","M","","M","","M","","","","","","M","4","","","M","","M"
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-17","2025","01","17","","-2.7","","-21.2","","-12.0","","30.0","","0.0","","","","","","1.2","","4","","34","","69",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-18","2025","01","18","","-21.2","","-29.0","","-25.1","","43.1","","0.0","","","","","","0.0","","","","33","","34",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-19","2025","01","19","","-25.1","","-32.0","","-28.6","","46.6","","0.0","","","","","","0.0","","","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-20","2025","01","20","","-25.8","","-34.6","","-30.2","","48.2","","0.0","","","","","","0.2","","","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-21","2025","01","21","","-15.7","","-29.8","","-22.8","","40.8","","0.0","","","","","","1.6","","","","18","","41",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-22","2025","01","22","","-15.7","","-24.1","","-19.9","","37.9","","0.0","","","","","","0.0","","2","","34","","38",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-23","2025","01","23","","-12.8","","-24.5","","-18.7","","36.7","","0.0","","","","","","0.0","","2","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-24","2025","01","24","","-1.7","","-13.6","","-7.6","","25.6","","0.0","","","","","","0.9","","1","","17","","35",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-25","2025","01","25","","-3.3","","-15.7","","-9.5","","27.5","","0.0","","","","","","0.0","","","","34","","50",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-26","2025","01","26","","-0.4","","-12.1","","-6.2","","24.2","","0.0","","","","","","0.0","","4","","25","","40",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-27","2025","01","27","","-0.2","","-11.6","","-5.9","","23.9","","0.0","","","","","","0.4","","4","","34","","38",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-28","2025","01","28","","0.8","","-15.3","","-7.2","","25.2","","0.0","","","","","","1.1","","4","","32","","50",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-29","2025","01","29","","-3.8","","-19.8","","-11.8","","29.8","","0.0","","","","","","0.0","","5","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-30","2025","01","30","","-5.0","","-23.0","","-14.0","","32.0","","0.0","","","","","","0.0","","5","","33","","32",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-01-31","2025","01","31","","-18.6","","-29.3","","-24.0","","42.0","","0.0","","","","","","0.3","","5","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-02-01","2025","02","01","","-7.7","","-21.3","","-14.5","","32.5","","0.0","","","","","","1.4","","5","","10","","41",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-02-02","2025","02","02","","-6.5","","-22.4","","-14.4","","32.4","","0.0","","","","","","1.7","","7","","29","","47",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-02-03","2025","02","03","","-18.0","","-24.3","","-21.2","","39.2","","0.0","","","","","","0.2","","6","","32","","34",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-02-04","2025","02","04","","-18.6","","-28.4","","-23.5","","41.5","","0.0","","","","","","0.0","","6","","","","",""
"-97.55","51.08","FISHER BRANCH (AUT)","50309J6","2025-02-05","2025","02","05","","-13.1","","-21.8","","-17.5","","35.5","","0.0","","","","","","5.5","","6","","14","","33",""
