"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-96.06","50.18","PINAWA","503B1ER","2025-01-01","2025","01","01","","-11.1","","-16.6","","-13.8","","31.8","","0.0","","","","","","0.0","","13","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-02","2025","01","02","","-14.3","","-19.0","","-16.6","","34.6","","0.0","","","","","","0.2","","12","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-03","2025","01","03","","-19.0","","-25.3","","-22.1","","40.1","","0.0","","","","","","0.0","","14","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-04","2025","01","04","","-21.8","","-28.1","","-24.9","","42.9","","0.0","","","","","","0.0","","14","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-05","2025","01","05","","-18.1","","-29.4","","-23.7","","41.7","","0.0","","","","","","0.0","","14","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-06","2025","01","06","","-15.0","","-30.8","","-22.9","","40.9","","0.0","","","","","","0.1","","14","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-07","2025","01","07","","-16.0","","-21.6","","-18.8","","36.8","","0.0","","","","","","0.0","","14","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-08","2025","01","08","","-9.5","","-18.4","","-14.0","","32.0","","0.0","","","","","","0.0","","14","","15","","37",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-09","2025","01","09","","-1.2","","-11.0","","-6.1","","24.1","","0.0","","","","","","1.6","","14","","32","","36",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-10","2025","01","10","","-10.9","","-19.6","","-15.3","","33.3","","0.0","","","","","","0.0","","13","","34","","41",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-11","2025","01","11","","-9.6","","-16.8","","-13.2","","31.2","","0.0","","","","","","1.3","","13","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-12","2025","01","12","","-12.7","","-27.4","","-20.1","","38.1","","0.0","","","","","","0.3","","16","","31","","33",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-13","2025","01","13","","-20.7","","-29.3","","-25.0","","43.0","","0.0","","","","","","0.0","","15","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-14","2025","01","14","","-15.1","","-30.8","","-22.9","","40.9","","0.0","","","","","","0.0","","15","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-15","2025","01","15","","1.6","","-20.9","","-9.7","","27.7","","0.0","","","","","","0.5","","16","","31","","62",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-16","2025","01","16","","-0.8","","-3.4","","-2.1","","20.1","","0.0","","","","","","0.4","","12","","33","","51",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-17","2025","01","17","","0.8","","-20.1","","-9.6","","27.6","","0.0","","","","","","0.0","","12","","32","","61",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-18","2025","01","18","","-20.1","","-31.2","","-25.6","","43.6","","0.0","","","","","","0.0","","12","","32","","37",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-19","2025","01","19","","-26.5","","-33.6","","-30.0","","48.0","","0.0","","","","","","0.0","","12","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-20","2025","01","20","","-28.4","","-35.2","","-31.8","","49.8","","0.0","","","","","","0.0","","12","","","","",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-21","2025","01","21","","-15.4","","-31.7","","-23.6","","41.6","","0.0","","","","","","2.6","","12","","16","","33",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-22","2025","01","22","","-15.5","","-23.0","","-19.2","","37.2","","0.0","","","","","","0.0","","15","","35","","34",""
"-96.06","50.18","PINAWA","503B1ER","2025-01-23","2025","01","23","","-14.2","","-28.3","","-21.2","","39.2","","0.0","","","","","","0.0","","17","","","","",""
