"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-01","2025","01","01","","-13.7","","-19.2","","-16.5","","34.5","","0.0","","","","","","0.1","","30","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-02","2025","01","02","","-17.3","","-29.5","","-23.4","","41.4","","0.0","","","","","","0.0","","30","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-03","2025","01","03","","-22.0","","-34.7","","-28.3","","46.3","","0.0","","","","","","0.0","","28","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-04","2025","01","04","","-26.4","","-38.7","","-32.5","","50.5","","0.0","","","","","","0.0","","28","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-05","2025","01","05","","-17.6","","-31.4","","-24.5","","42.5","","0.0","","","","","","0.0","","28","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-06","2025","01","06","","-15.7","","-31.9","","-23.8","","41.8","","0.0","","","","","","0.7","","30","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-07","2025","01","07","","-13.1","","-32.3","","-22.7","","40.7","","0.0","","","","","","0.0","","30","","24","","34",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-08","2025","01","08","","2.0","","-13.3","","-5.7","","23.7","","0.0","","","","","","0.0","","27","","25","","38",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-09","2025","01","09","","1.7","","-12.2","","-5.3","","23.3","","0.0","","","","","","0.4","","27","","35","","37",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-10","2025","01","10","","-11.6","","-16.8","","-14.2","","32.2","","0.0","","","","","","0.3","","28","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-11","2025","01","11","","-11.7","","-24.6","","-18.1","","36.1","","0.0","","","","","","2.7","","29","","3","","37",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-12","2025","01","12","","-18.3","","-25.2","","-21.7","","39.7","","0.0","","","","","","0.0","","34","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-13","2025","01","13","","-23.7","","-35.0","","-29.4","","47.4","","0.0","","","","","","0.0","","32","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-14","2025","01","14","","-6.5","","-29.2","","-17.9","","35.9","","0.0","","","","","","0.0","","33","","22","","42",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-15","2025","01","15","","4.5","","-6.5","","-1.0","","19.0","","0.0","","","","","","0.0","","30","","29","","58",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-16","2025","01","16","","-2.1","","-8.3","","-5.2","","23.2","","0.0","","","","","","3.2","","29","","3","","39",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-17","2025","01","17","","-3.6","","-23.9","","-13.7","","31.7","","0.0","","","","","","0.3","","39","","1","","66",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-18","2025","01","18","","-21.7","","-28.6","","-25.1","","43.1","","0.0","","","","","","0.0","","38","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-19","2025","01","19","","-24.1","","-33.6","","-28.9","","46.9","","0.0","","","","","","0.0","","38","","32","","33",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-20","2025","01","20","","-25.7","","-37.5","","-31.6","","49.6","","0.0","","","","","","0.0","","38","","22","","40",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-21","2025","01","21","","-5.8","","-25.8","","-15.8","","33.8","","0.0","","","","","","1.0","","38","","22","","43",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-22","2025","01","22","","-13.3","","-19.7","","-16.5","","34.5","","0.0","","","","","","0.0","","41","","4","","40",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-23","2025","01","23","","-5.6","","-17.0","","-11.3","","29.3","","0.0","","","","","","0.0","","41","","21","","39",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-24","2025","01","24","","-1.1","","-10.5","","-5.8","","23.8","","0.0","","","","","","0.1","","37","","34","","53",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-25","2025","01","25","","-6.5","","-19.2","","-12.9","","30.9","","0.0","","","","","","0.0","","37","","23","","37",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-26","2025","01","26","","-1.7","","-9.1","","-5.4","","23.4","","0.0","","","","","","0.0","","37","","22","","48",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-27","2025","01","27","","-0.5","","-6.4","","-3.5","","21.5","","0.0","","","","","","0.0","","36","","23","","39",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-28","2025","01","28","","4.7","","-9.5","","-2.4","","20.4","","0.0","","","","","","1.2","","36","","32","","63",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-29","2025","01","29","","-2.9","","-12.4","","-7.6","","25.6","","0.0","","","","","","0.0","","38","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-30","2025","01","30","","-3.0","","-24.1","","-13.5","","31.5","","0.0","","","","","","0.0","","37","","3","","40",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-01-31","2025","01","31","","-20.6","","-32.6","","-26.6","","44.6","","0.0","","","","","","0.0","","35","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-01","2025","02","01","","-13.4","","-20.6","","-17.0","","35.0","","0.0","","","","","","2.3","","36","","6","","40",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-02","2025","02","02","","-13.2","","-24.0","","-18.6","","36.6","","0.0","","","","","","0.9","","38","","27","","39",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-03","2025","02","03","","-16.8","","-27.4","","-22.1","","40.1","","0.0","","","","","","0.0","","42","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-04","2025","02","04","","-20.9","","-29.9","","-25.4","","43.4","","0.0","","","","","","0.0","","42","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-05","2025","02","05","","-15.6","","-20.9","","-18.2","","36.2","","0.0","","","","","","9.4","","43","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-06","2025","02","06","","-11.1","","-17.2","","-14.1","","32.1","","0.0","","","","","","1.2","","51","","26","","36",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-07","2025","02","07","","-12.8","","-25.0","","-18.9","","36.9","","0.0","","","","","","0.0","","47","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-08","2025","02","08","","-15.8","","-25.7","","-20.7","","38.7","","0.0","","","","","","0.0","","47","","22","","41",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-09","2025","02","09","","-13.8","","-19.8","","-16.8","","34.8","","0.0","","","","","","0.0","","46","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-10","2025","02","10","","-18.4","","-28.4","","-23.4","","41.4","","0.0","","","","","","0.0","","46","","21","","41",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-11","2025","02","11","","-22.0","","-33.8","","-27.9","","45.9","","0.0","","","","","","0.0","","45","","24","","33",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-12","2025","02","12","","-23.2","","-34.7","","-28.9","","46.9","","0.0","","","","","","0.0","","45","","21","","32",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-13","2025","02","13","","-20.5","","-34.4","","-27.5","","45.5","","0.0","","","","","","0.0","","45","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-14","2025","02","14","","-20.6","","-34.6","","-27.6","","45.6","","0.0","","","","","","0.0","","45","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-15","2025","02","15","","-20.1","","-30.1","","-25.1","","43.1","","0.0","","","","","","0.0","","45","","21","","33",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-16","2025","02","16","","-23.2","","-35.4","","-29.3","","47.3","","0.0","","","","","","0.0","","44","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-17","2025","02","17","","-23.4","","-38.4","","-30.9","","48.9","","0.0","","","","","","0.0","","44","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-18","2025","02","18","","-22.4","","-34.7","","-28.6","","46.6","","0.0","","","","","","0.0","","44","","20","","32",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-19","2025","02","19","","-20.5","","-31.2","","-25.9","","43.9","","0.0","","","","","","0.0","","44","","22","","33",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-20","2025","02","20","","-10.6","","-33.3","","-22.0","","40.0","","0.0","","","","","","0.0","","44","","23","","34",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-21","2025","02","21","","-3.1","","-17.2","","-10.2","","28.2","","0.0","","","","","","0.0","","45","","22","","40",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-22","2025","02","22","","-3.7","","-14.6","","-9.1","","27.1","","0.0","","","","","","0.0","","44","","","","",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-23","2025","02","23","","4.6","","-15.3","","-5.3","","23.3","","0.0","","","","","","0.0","","44","","26","","47",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-24","2025","02","24","","3.9","","-3.2","","0.4","","17.6","","0.0","","","","","","0.0","","43","","28","","41",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-25","2025","02","25","","1.2","","-8.8","","-3.8","","21.8","","0.0","","","","","","0.0","","42","","22","","36",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-26","2025","02","26","","5.8","","-8.4","","-1.3","","19.3","","0.0","","","","","","2.0","","42","","29","","47",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-27","2025","02","27","","3.4","","-9.8","","-3.2","","21.2","","0.0","","","","","","0.0","","40","","30","","47",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-02-28","2025","02","28","","-9.7","","-23.4","","-16.6","","34.6","","0.0","","","","","","0.0","","40","","3","","49",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-03-01","2025","03","01","","-4.0","","-25.5","","-14.7","","32.7","","0.0","","","","","","0.0","","40","","24","","33",""
"-101.23","52.11","SWAN RIVER RCS","504K80K","2025-03-02","2025","03","02","","1.0","","-4.8","","-1.9","","19.9","","0.0","","","","","","0.0","","40","","24","","42",""
