"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-01","2025","01","01","","-16.7","","-23.7","","-20.2","","38.2","","0.0","","","","","","0.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-02","2025","01","02","","-20.2","","-32.7","","-26.4","","44.4","","0.0","","","","","","0.0","","38","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-03","2025","01","03","","-30.5","","-34.5","","-32.5","","50.5","","0.0","","","","","","0.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-04","2025","01","04","","-25.3","","-34.8","","-30.0","","48.0","","0.0","","","","","","0.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-05","2025","01","05","","-21.6","","-29.0","","-25.3","","43.3","","0.0","","","","","","0.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-06","2025","01","06","","-22.5","","-36.6","","-29.6","","47.6","","0.0","","","","","","0.0","","39","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-07","2025","01","07","","-19.6","","-32.5","","-26.0","","44.0","","0.0","","","","","","0.0","","39","","16","","33",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-08","2025","01","08","","-8.6","","-19.6","","-14.1","","32.1","","0.0","","","","","","3.3","","39","","30","","34",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-09","2025","01","09","","-11.5","","-27.2","","-19.3","","37.3","","0.0","","","","","","0.1","","43","","30","","40",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-10","2025","01","10","","-27.2","","-34.0","","-30.6","","48.6","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-11","2025","01","11","","-22.5","","-33.3","","-27.9","","45.9","","0.0","","","","","","0.0","","40","","31","","37",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","M","41","","","M","","M"
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-13","2025","01","13","","-22.2","","-28.9","","-25.5","","43.5","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-14","2025","01","14","","-11.1","","-29.8","","-20.5","","38.5","","0.0","","","","","","0.7","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-15","2025","01","15","","-7.7","","-12.8","","-10.2","","28.2","","0.0","","","","","","2.4","","40","","33","","41",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-16","2025","01","16","","-8.9","","-19.5","","-14.2","","32.2","","0.0","","","","","","0.6","","43","","30","","44",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-17","2025","01","17","","-19.5","","-34.5","","-27.0","","45.0","","0.0","","","","","","0.0","","42","","30","","41",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-18","2025","01","18","","-29.4","","-34.8","","-32.1","","50.1","","0.0","","","","","","0.0","","37","","29","","37",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-19","2025","01","19","","-32.0","","-36.2","","-34.1","","52.1","","0.0","","","","","","0.0","","37","","19","","37",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-20","2025","01","20","","-27.7","","-35.2","","-31.4","","49.4","","0.0","","","","","","0.0","","37","","22","","33",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-21","2025","01","21","","-24.9","","-35.4","","-30.1","","48.1","","0.0","","","","","","0.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-22","2025","01","22","","","M","","M","","M","","M","","M","","","","","","M","37","","","M","","M"
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-23","2025","01","23","","-11.5","","-18.9","","-15.2","","33.2","","0.0","","","","","","1.0","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-24","2025","01","24","","-7.7","","-23.3","","-15.5","","33.5","","0.0","","","","","","0.4","","38","","1","","45",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-25","2025","01","25","","-14.0","","-24.8","","-19.4","","37.4","","0.0","","","","","","1.1","","37","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-26","2025","01","26","","-1.3","","-15.1","","-8.2","","26.2","","0.0","","","","","","3.1","","39","","34","","41",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-27","2025","01","27","","-14.5","","-28.8","","-21.7","","39.7","","0.0","","","","","","0.0","","42","","30","","44",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-28","2025","01","28","","-24.3","","-30.8","","-27.5","","45.5","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-29","2025","01","29","","-26.2","","-35.8","","-31.0","","49.0","","0.0","","","","","","0.0","","40","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-30","2025","01","30","","-25.6","","-32.3","","-28.9","","46.9","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-01-31","2025","01","31","","-26.0","","-30.7","","-28.3","","46.3","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-01","2025","02","01","","-25.3","","-32.9","","-29.1","","47.1","","0.0","","","","","","0.3","","42","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-02","2025","02","02","","-25.5","","-32.4","","-29.0","","47.0","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-03","2025","02","03","","-24.0","","-31.7","","-27.8","","45.8","","0.0","","","","","","0.0","","42","","31","","31",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-04","2025","02","04","","-15.1","","-29.2","","-22.2","","40.2","","0.0","","","","","","0.5","","42","","24","","53",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-05","2025","02","05","","-11.9","","-15.1","","-13.5","","31.5","","0.0","","","","","","0.1","","41","","23","","47",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-06","2025","02","06","","-13.0","","-24.9","","-19.0","","37.0","","0.0","","","","","","0.0","","41","","2","","32",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-07","2025","02","07","","-17.2","","-23.9","","-20.5","","38.5","","0.0","","","","","","0.0","","41","","28","","38",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-08","2025","02","08","","-18.0","","-20.8","","-19.4","","37.4","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-09","2025","02","09","","-20.7","","-28.4","","-24.6","","42.6","","0.0","","","","","","0.0","","41","","31","","32",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-10","2025","02","10","","-25.7","","-28.4","","-27.0","","45.0","","0.0","","","","","","0.0","","40","","26","","32",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-11","2025","02","11","","-27.1","","-31.8","","-29.5","","47.5","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-12","2025","02","12","","-26.5","","-36.0","","-31.2","","49.2","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-13","2025","02","13","","-28.6","","-39.8","","-34.2","","52.2","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-14","2025","02","14","","-24.4","","-35.3","","-29.8","","47.8","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-15","2025","02","15","","-26.2","","-34.4","","-30.3","","48.3","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-16","2025","02","16","","-25.7","","-35.7","","-30.7","","48.7","","0.0","","","","","","0.0","","42","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-17","2025","02","17","","-21.7","","-35.9","","-28.8","","46.8","","0.0","","","","","","0.0","","41","","9","","40",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-18","2025","02","18","","-15.6","","-23.5","","-19.5","","37.5","","0.0","","","","","","0.0","","41","","19","","40",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-19","2025","02","19","","-12.4","","-18.1","","-15.2","","33.2","","0.0","","","","","","0.0","","41","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-20","2025","02","20","","-11.3","","-24.9","","-18.1","","36.1","","0.0","","","","","","0.0","","40","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-21","2025","02","21","","-14.4","","-24.1","","-19.3","","37.3","","0.0","","","","","","0.0","","41","","11","","38",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-22","2025","02","22","","-18.9","","-27.2","","-23.0","","41.0","","0.0","","","","","","0.0","","40","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-23","2025","02","23","","-10.0","","-21.4","","-15.7","","33.7","","0.0","","","","","","1.1","","40","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-24","2025","02","24","","-16.5","","-27.4","","-21.9","","39.9","","0.0","","","","","","0.0","","43","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-25","2025","02","25","","-20.6","","-27.7","","-24.2","","42.2","","0.0","","","","","","0.0","","43","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-26","2025","02","26","","-18.1","","-29.6","","-23.9","","41.9","","0.0","","","","","","0.0","","43","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-27","2025","02","27","","-21.1","","-34.8","","-28.0","","46.0","","0.0","","","","","","0.0","","43","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-02-28","2025","02","28","","-18.5","","-31.9","","-25.2","","43.2","","0.0","","","","","","0.0","","43","","26","","31",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-03-01","2025","03","01","","-12.8","","-28.4","","-20.6","","38.6","","0.0","","","","","","0.0","","42","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-03-02","2025","03","02","","-9.3","","-24.2","","-16.8","","34.8","","0.0","","","","","","3.0","","42","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-03-03","2025","03","03","","-9.9","","-19.4","","-14.6","","32.6","","0.0","","","","","","1.1","","45","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-03-04","2025","03","04","","-8.5","","-25.0","","-16.8","","34.8","","0.0","","","","","","0.0","","45","","","","",""
"-98.50","58.72","TADOULE LAKE CS","5062840","2025-03-05","2025","03","05","","-15.4","","-21.7","","-18.6","","36.6","","0.0","","","","","","1.2","","47","","","","",""
