"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-01","2025","01","01","","-26.0","","-35.8","","-30.9","","48.9","","0.0","","","","","","0.0","","","","","M","","M"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-02","2025","01","02","","-25.5","","-29.6","","-27.6","","45.6","","0.0","","","","","","0.0","","","","","M","","M"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-03","2025","01","03","","-29.6","","-37.0","","-33.3","","51.3","","0.0","","","","","","0.0","","","","19","","32",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-04","2025","01","04","","-30.4","","-36.4","","-33.4","","51.4","","0.0","","","","","","0.0","","","","","M","33",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-05","2025","01","05","","-27.9","","-41.3","","-34.6","","52.6","","0.0","","","","","","0.0","","","","","M","","M"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-06","2025","01","06","","-22.4","","-28.0","","-25.2","","43.2","","0.0","","","","","","0.3","","","","","M","","M"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-07","2025","01","07","","-20.3","","-24.8","","-22.6","","40.6","","0.0","","","","","","1.3","","","","12","","32",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-08","2025","01","08","","-20.8","","-27.7","","-24.3","","42.3","","0.0","","","","","","0.1","","","","26","","32",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-09","2025","01","09","","-19.1","","-26.9","","-23.0","","41.0","","0.0","","","","","","0.0","","","","9","","45",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-10","2025","01","10","","-14.8","","-19.6","","-17.2","","35.2","","0.0","","","","","","0.0","","","","","M","37",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-11","2025","01","11","","-14.6","","-21.0","","-17.8","","35.8","","0.0","","","","","","0.0","","","","17","","32",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-12","2025","01","12","","-13.9","","-22.7","","-18.3","","36.3","","0.0","","","","","","0.0","","","","","M","","M"
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-13","2025","01","13","","-10.2","","-18.6","","-14.4","","32.4","","0.0","","","","","","0.0","","","","","M","32",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-14","2025","01","14","","-4.0","","-16.1","","-10.1","","28.1","","0.0","","","","","","0.0","","","","28","","35",""
"-126.13","67.02","COLVILLE LAKE A","2200827","2025-01-15","2025","01","15","","-4.7","","-18.7","","-11.7","","29.7","","0.0","","","","","","0.0","","","","27","","33",""
