"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-01","2025","01","01","","-36.0","","-43.5","","-39.7","","57.7","","0.0","","","","","","","","19","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-02","2025","01","02","","-34.5","","-44.2","","-39.4","","57.4","","0.0","","","","","","","","19","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-03","2025","01","03","","-28.2","","-41.5","","-34.9","","52.9","","0.0","","","","","","","","19","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-04","2025","01","04","","-27.9","","-36.2","","-32.1","","50.1","","0.0","","","","","","","","20","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-05","2025","01","05","","-18.9","","-34.9","","-26.9","","44.9","","0.0","","","","","","","","20","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-06","2025","01","06","","-13.4","","-19.3","","-16.4","","34.4","","0.0","","","","","","","","19","","","M","57",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-07","2025","01","07","","-10.5","","-21.3","","-15.9","","33.9","","0.0","","","","","","","","18","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-08","2025","01","08","","2.2","","-19.7","","-8.8","","26.8","","0.0","","","","","","","M","18","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-09","2025","01","09","","-12.4","","-21.7","","-17.1","","35.1","","0.0","","","","","","","","18","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-10","2025","01","10","","-12.0","","-19.6","","-15.8","","33.8","","0.0","","","","","","","","21","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-11","2025","01","11","","4.1","","-24.6","","-10.2","","28.2","","0.0","","","","","","","M","19","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","M","21","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-13","2025","01","13","","7.1","","-10.5","","-1.7","","19.7","","0.0","","","","","","","M","21","","","M","46",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-14","2025","01","14","","8.7","","-3.5","","2.6","","15.4","","0.0","","","","","","","M","21","","","M","33",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-15","2025","01","15","","5.6","","-5.4","","0.1","","17.9","","0.0","","","","","","","M","17","","","M","32",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-16","2025","01","16","","-4.0","","-10.5","","-7.2","","25.2","","0.0","","","","","","","","17","","","M","33",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-17","2025","01","17","","-10.4","","-32.3","","-21.4","","39.4","","0.0","","","","","","","","17","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-18","2025","01","18","","-13.3","","-33.2","","-23.2","","41.2","","0.0","","","","","","","","17","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-19","2025","01","19","","-9.9","","-30.2","","-20.0","","38.0","","0.0","","","","","","","","16","","","M","48",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-20","2025","01","20","","-3.4","","-13.6","","-8.5","","26.5","","0.0","","","","","","","","17","","","M","57",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-21","2025","01","21","","-8.0","","-20.8","","-14.4","","32.4","","0.0","","","","","","","","17","","","","",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-22","2025","01","22","","","M","","M","","M","","M","","M","","","","","","M","16","","","M","","M"
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-23","2025","01","23","","0.3","","-20.4","","-10.1","","28.1","","0.0","","","","","","","","16","","","","",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-24","2025","01","24","","-0.3","","-23.4","","-11.8","","29.8","","0.0","","","","","","","","16","","","","",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-25","2025","01","25","","4.2","","-15.8","","-5.8","","23.8","","0.0","","","","","","","M","16","","","M","43",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-26","2025","01","26","","6.6","","-4.5","","1.0","","17.0","","0.0","","","","","","","M","17","","","M","48",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-27","2025","01","27","","10.2","","0.4","","5.3","","12.7","","0.0","","","","","","0.0","","16","","","M","52",""
"-124.47","61.26","DEADMEN VALLEY","22010H0","2025-01-28","2025","01","28","","5.1","","-13.6","","-4.3","","22.3","","0.0","","","","","","","M","13","","","M","35",""
