"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-01","2025","01","01","","-20.8","","-39.6","","-30.2","","48.2","","0.0","","","","","","0.0","","35","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-02","2025","01","02","","-21.4","","-40.2","","-30.8","","48.8","","0.0","","","","","","0.0","","34","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-03","2025","01","03","","-28.7","","-41.6","","-35.2","","53.2","","0.0","","","","","","0.0","","35","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-04","2025","01","04","","-25.6","","-36.0","","-30.8","","48.8","","0.0","","","","","","0.0","","35","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-05","2025","01","05","","-21.8","","-31.0","","-26.4","","44.4","","0.0","","","","","","0.0","","34","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-06","2025","01","06","","-1.3","","-25.0","","-13.2","","31.2","","0.0","","","","","","0.0","","34","","23","","43",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-07","2025","01","07","","2.7","","-6.1","","-1.7","","19.7","","0.0","","","","","","0.0","","35","","22","","44",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-08","2025","01","08","","1.8","","-22.5","","-10.3","","28.3","","0.0","","","","","","0.0","","35","","27","","46",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-09","2025","01","09","","-2.3","","-22.6","","-12.4","","30.4","","0.0","","","","","","0.4","","34","","14","","37",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-10","2025","01","10","","-4.1","","-14.8","","-9.5","","27.5","","0.0","","","","","","0.0","","34","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-11","2025","01","11","","-8.4","","-22.7","","-15.5","","33.5","","0.0","","","","","","0.0","","34","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-12","2025","01","12","","3.2","","-8.6","","-2.7","","20.7","","0.0","","","","","","0.0","","34","","24","","41",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-13","2025","01","13","","4.7","","-4.4","","0.2","","17.8","","0.0","","","","","","0.0","","34","","24","","53",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-14","2025","01","14","","7.0","","-1.0","","3.0","","15.0","","0.0","","","","","","0.0","","34","","25","","49",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-15","2025","01","15","","","M","","M","","M","","M","","M","","","","","","M","34","","","M","","M"
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-16","2025","01","16","","-7.4","","-14.9","","-11.1","","29.1","","0.0","","","","","","1.1","","34","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-17","2025","01","17","","-14.9","","-33.4","","-24.1","","42.1","","0.0","","","","","","1.8","","37","","1","","33",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-18","2025","01","18","","-21.1","","-36.4","","-28.7","","46.7","","0.0","","","","","","0.0","","36","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-19","2025","01","19","","-14.8","","-36.7","","-25.8","","43.8","","0.0","","","","","","0.0","","36","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-20","2025","01","20","","1.9","","-14.8","","-6.4","","24.4","","0.0","","","","","","0.0","","36","","24","","55",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-21","2025","01","21","","-0.3","","-9.1","","-4.7","","22.7","","0.0","","","","","","3.5","","35","","34","","50",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-22","2025","01","22","","-0.7","","-12.4","","-6.6","","24.6","","0.0","","","","","","0.0","","39","","24","","49",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-23","2025","01","23","","1.6","","-3.6","","-1.0","","19.0","","0.0","","","","","","0.0","","39","","22","","46",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-24","2025","01","24","","-1.4","","-10.3","","-5.9","","23.9","","0.0","","","","","","0.0","","39","","","","",""
"-121.24","60.44","SAMBAA K'E","220CQHR","2025-01-25","2025","01","25","","3.0","","-4.4","","-0.7","","18.7","","0.0","","","","","","0.0","","39","","25","","34",""
