"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-01","2025","01","01","","","M","","M","","M","","M","","M","","","","","","","","","22","","44",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-02","2025","01","02","","","M","","M","","M","","M","","M","","","","","","","","","23","","44",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-03","2025","01","03","","","M","","M","","M","","M","","M","","","","","","","","","31","","70",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-04","2025","01","04","","","M","","M","","M","","M","","M","","","","","","","","","31","","85",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-05","2025","01","05","","","M","","M","","M","","M","","M","","","","","","","","","10","","33",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-06","2025","01","06","","","M","","M","","M","","M","","M","","","","","","","","","14","","55",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-07","2025","01","07","","","M","","M","","M","","M","","M","","","","","","","","","31","","68",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-08","2025","01","08","","","M","","M","","M","","M","","M","","","","","","","","","32","","46",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-09","2025","01","09","","","M","","M","","M","","M","","M","","","","","","","","","10","","42",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-10","2025","01","10","","","M","","M","","M","","M","","M","","","","","","","","","11","","33",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-11","2025","01","11","","","M","","M","","M","","M","","M","","","","","","","","","24","","42",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","","","","13","","33",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-13","2025","01","13","","","M","","M","","M","","M","","M","","","","","","","","","22","","76",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-14","2025","01","14","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-15","2025","01","15","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-16","2025","01","16","","","M","","M","","M","","M","","M","","","","","","","","","32","","80",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-17","2025","01","17","","","M","","M","","M","","M","","M","","","","","","","","","17","","63",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-18","2025","01","18","","","M","","M","","M","","M","","M","","","","","","","","","18","","59",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-19","2025","01","19","","","M","","M","","M","","M","","M","","","","","","","","","19","","63",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-20","2025","01","20","","","M","","M","","M","","M","","M","","","","","","","","","22","","72",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-21","2025","01","21","","-1.8","","-6.1","","-4.0","","22.0","","0.0","","","","","","","","","","29","","70",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-22","2025","01","22","","-1.5","","-12.8","","-7.1","","25.1","","0.0","","","","","","","","","","22","","70",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-23","2025","01","23","","-5.3","","-12.9","","-9.1","","27.1","","0.0","","","","","","","","","","30","","52",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-24","2025","01","24","","","","","","","","","","","","","","","","","","","","","M","","M"
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-25","2025","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-26","2025","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-27","2025","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-28","2025","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-29","2025","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-30","2025","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-01-31","2025","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-01","2025","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-02","2025","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-03","2025","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-04","2025","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-05","2025","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-133.94","68.91","STORM HILLS","220LQJJ","2025-02-06","2025","02","06","","","","","","","","","","","","","","","","","","","","","","",""
