"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-01","2025","01","01","","-30.0","","-42.3","","-36.2","","54.2","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-02","2025","01","02","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-03","2025","01","03","","-25.4","","-34.1","","-29.7","","47.7","","0.0","","","","","","0.4","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-04","2025","01","04","","-24.6","","-33.4","","-29.0","","47.0","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-05","2025","01","05","","-21.8","","-34.5","","-28.2","","46.2","","0.0","","","","","","0.2","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-06","2025","01","06","","-20.1","","-28.3","","-24.2","","42.2","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-07","2025","01","07","","1.3","","-20.1","","-9.4","","27.4","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-08","2025","01","08","","3.8","","-22.9","","-9.5","","27.5","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-09","2025","01","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-10","2025","01","10","","-14.5","","-17.0","","-15.7","","33.7","","0.0","","","","","","0.0","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-11","2025","01","11","","-14.2","","-21.2","","-17.7","","35.7","","0.0","","","","","","0.2","","","","","","",""
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-122.85","61.13","LINDBERG LANDING","220N003","2025-01-13","2025","01","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
