"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.25","65.76","LUPIN CS","230N002","2025-01-01","2025","01","01","","-30.0","","-36.3","","-33.1","","51.1","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-02","2025","01","02","","-32.7","","-36.4","","-34.6","","52.6","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-03","2025","01","03","","-28.9","","-36.2","","-32.6","","50.6","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-04","2025","01","04","","-29.1","","-36.2","","-32.6","","50.6","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-05","2025","01","05","","-32.6","","-38.7","","-35.7","","53.7","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-06","2025","01","06","","-31.0","","-39.0","","-35.0","","53.0","","0.0","","","","","","0.2","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-07","2025","01","07","","-18.8","","-31.8","","-25.3","","43.3","","0.0","","","","","","0.7","","54","","13","","44",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-08","2025","01","08","","-18.2","","-26.9","","-22.5","","40.5","","0.0","","","","","","0.2","","67","","35","","55",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-09","2025","01","09","","-26.9","","-36.3","","-31.6","","49.6","","0.0","","","","","","0.2","","54","","36","","42",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-10","2025","01","10","","-31.3","","-36.2","","-33.7","","51.7","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-11","2025","01","11","","-19.6","","-32.5","","-26.1","","44.1","","0.0","","","","","","0.0","","54","","19","","41",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-12","2025","01","12","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-13","2025","01","13","","-16.4","","-19.6","","-18.0","","36.0","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-14","2025","01","14","","-9.3","","-17.9","","-13.6","","31.6","","0.0","","","","","","2.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-15","2025","01","15","","-8.6","","-14.9","","-11.7","","29.7","","0.0","","","","","","0.0","","55","","29","","56",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-16","2025","01","16","","-14.9","","-30.6","","-22.7","","40.7","","0.0","","","","","","0.0","","54","","35","","55",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-17","2025","01","17","","-26.2","","-30.3","","-28.3","","46.3","","0.0","","","","","","0.0","","54","","33","","69",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-18","2025","01","18","","-26.2","","-31.0","","-28.6","","46.6","","0.0","","","","","","0.0","","54","","32","","46",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-19","2025","01","19","","-29.4","","-34.6","","-32.0","","50.0","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-20","2025","01","20","","-22.8","","-29.5","","-26.2","","44.2","","0.0","","","","","","0.0","","54","","20","","31",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-21","2025","01","21","","-10.3","","-23.3","","-16.8","","34.8","","0.0","","","","","","0.0","","54","","31","","63",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-22","2025","01","22","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-23","2025","01","23","","-11.5","","-17.2","","-14.3","","32.3","","0.0","","","","","","0.2","","54","","35","","71",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-24","2025","01","24","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-25","2025","01","25","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-26","2025","01","26","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-27","2025","01","27","","","M","-30.3","","","M","","M","","M","","","","","0.2","","61","","31","","34",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-28","2025","01","28","","","M","","M","","M","","M","","M","","","","","","M","60","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-01-29","2025","01","29","","-30.9","","-36.4","","-33.6","","51.6","","0.0","","","","","","0.0","","60","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-30","2025","01","30","","-26.3","","-33.8","","-30.0","","48.0","","0.0","","","","","","0.0","","60","","27","","33",""
"-111.25","65.76","LUPIN CS","230N002","2025-01-31","2025","01","31","","-26.5","","-31.8","","-29.2","","47.2","","0.0","","","","","","0.0","","61","","28","","62",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-01","2025","02","01","","-26.5","","-31.4","","-28.9","","46.9","","0.0","","","","","","0.0","","54","","28","","58",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-02","2025","02","02","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-02-03","2025","02","03","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-02-04","2025","02","04","","-8.7","","-27.7","","-18.2","","36.2","","0.0","","","","","","0.2","","54","","26","","73",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-05","2025","02","05","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-02-06","2025","02","06","","-20.8","","-27.5","","-24.1","","42.1","","0.0","","","","","","0.0","","54","","31","","70",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-07","2025","02","07","","-20.9","","-29.9","","-25.4","","43.4","","0.0","","","","","","0.0","","54","","31","","58",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-08","2025","02","08","","-26.3","","-29.9","","-28.1","","46.1","","0.0","","","","","","0.2","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-09","2025","02","09","","-26.4","","-32.8","","-29.6","","47.6","","0.0","","","","","","0.2","","56","","28","","50",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-10","2025","02","10","","-21.7","","-26.6","","-24.1","","42.1","","0.0","","","","","","0.0","","54","","31","","55",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-11","2025","02","11","","-23.1","","-28.8","","-26.0","","44.0","","0.0","","","","","","0.0","","54","","33","","44",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-12","2025","02","12","","-25.8","","-31.9","","-28.9","","46.9","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-13","2025","02","13","","-31.6","","-37.6","","-34.6","","52.6","","0.0","","","","","","0.2","","56","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-14","2025","02","14","","-23.0","","-34.5","","-28.7","","46.7","","0.0","","","","","","0.0","","54","","30","","62",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-15","2025","02","15","","-24.1","","-27.9","","-26.0","","44.0","","0.0","","","","","","0.0","","54","","32","","36",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-16","2025","02","16","","-22.9","","-28.9","","-25.9","","43.9","","0.0","","","","","","0.0","","54","","17","","35",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-17","2025","02","17","","-24.6","","-30.1","","-27.4","","45.4","","0.0","","","","","","0.0","","54","","22","","31",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-18","2025","02","18","","-22.0","","-29.5","","-25.8","","43.8","","0.0","","","","","","0.0","","54","","18","","40",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-19","2025","02","19","","-19.9","","-25.2","","-22.5","","40.5","","0.0","","","","","","0.0","","54","","18","","55",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-20","2025","02","20","","-18.9","","-22.1","","-20.5","","38.5","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-21","2025","02","21","","-21.6","","-27.2","","-24.4","","42.4","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-22","2025","02","22","","-26.1","","-29.3","","-27.7","","45.7","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-23","2025","02","23","","-24.2","","-33.5","","-28.9","","46.9","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-24","2025","02","24","","-27.3","","-33.9","","-30.6","","48.6","","0.0","","","","","","0.0","","54","","31","","32",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-25","2025","02","25","","-26.4","","-33.0","","-29.7","","47.7","","0.0","","","","","","0.0","","54","","27","","31",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-26","2025","02","26","","-24.4","","-32.8","","-28.6","","46.6","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-27","2025","02","27","","-29.3","","-35.6","","-32.4","","50.4","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-02-28","2025","02","28","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-03-01","2025","03","01","","-15.6","","-26.9","","-21.2","","39.2","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-02","2025","03","02","","-15.4","","-20.9","","-18.1","","36.1","","0.0","","","","","","","M","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-03","2025","03","03","","-15.6","","-24.9","","-20.2","","38.2","","0.0","","","","","","","M","55","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-03-04","2025","03","04","","","M","","M","","M","","M","","M","","","","","","M","55","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-03-05","2025","03","05","","-19.7","","-25.5","","-22.6","","40.6","","0.0","","","","","","0.0","","54","","30","","33",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-06","2025","03","06","","-21.8","","-27.1","","-24.4","","42.4","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-07","2025","03","07","","-23.9","","-29.6","","-26.8","","44.8","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-08","2025","03","08","","-25.5","","-30.6","","-28.1","","46.1","","0.0","","","","","","0.1","","54","","34","","34",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-09","2025","03","09","","-27.8","","-32.5","","-30.1","","48.1","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-10","2025","03","10","","-27.3","","-33.0","","-30.1","","48.1","","0.0","","","","","","0.0","","54","","29","","45",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-11","2025","03","11","","-20.9","","-30.6","","-25.8","","43.8","","0.0","","","","","","0.0","","54","","34","","37",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-12","2025","03","12","","-19.3","","-23.5","","-21.4","","39.4","","0.0","","","","","","0.0","","54","","32","","36",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-13","2025","03","13","","","M","","M","","M","","M","","M","","","","","","M","55","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-03-14","2025","03","14","","-20.3","","-29.5","","-24.9","","42.9","","0.0","","","","","","0.0","","55","","35","","38",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-15","2025","03","15","","-24.4","","-31.2","","-27.8","","45.8","","0.0","","","","","","0.0","","56","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-16","2025","03","16","","-23.8","","-32.9","","-28.4","","46.4","","0.0","","","","","","0.0","","55","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-17","2025","03","17","","-23.8","","-32.9","","-28.4","","46.4","","0.0","","","","","","0.0","","55","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-18","2025","03","18","","-27.8","","-32.9","","-30.3","","48.3","","0.0","","","","","","0.0","","56","","28","","39",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-19","2025","03","19","","-23.0","","-31.2","","-27.1","","45.1","","0.0","","","","","","0.0","","54","","30","","50",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-20","2025","03","20","","-19.5","","-26.6","","-23.1","","41.1","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-21","2025","03","21","","-20.1","","-28.5","","-24.3","","42.3","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-22","2025","03","22","","-14.1","","-20.8","","-17.4","","35.4","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-23","2025","03","23","","-16.1","","-20.8","","-18.5","","36.5","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-24","2025","03","24","","-19.9","","-27.7","","-23.8","","41.8","","0.0","","","","","","0.0","","57","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-25","2025","03","25","","-20.5","","-30.2","","-25.4","","43.4","","0.0","","","","","","0.0","","57","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-26","2025","03","26","","-23.7","","-32.4","","-28.0","","46.0","","0.0","","","","","","0.0","","56","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-27","2025","03","27","","-24.7","","-33.4","","-29.1","","47.1","","0.0","","","","","","0.0","","56","","28","","40",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-28","2025","03","28","","-20.1","","-28.7","","-24.4","","42.4","","0.0","","","","","","0.0","","54","","31","","41",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-29","2025","03","29","","-23.6","","-28.9","","-26.2","","44.2","","0.0","","","","","","0.0","","54","","29","","33",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-30","2025","03","30","","-21.3","","-32.8","","-27.1","","45.1","","0.0","","","","","","0.0","","53","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-03-31","2025","03","31","","-23.8","","-33.2","","-28.5","","46.5","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-01","2025","04","01","","","M","","M","","M","","M","","M","","","","","","M","54","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-02","2025","04","02","","-16.1","","-27.8","","-22.0","","40.0","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-03","2025","04","03","","-13.5","","-19.9","","-16.7","","34.7","","0.0","","","","","","0.0","","54","","22","","33",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-04","2025","04","04","","-12.6","","-17.2","","-14.9","","32.9","","0.0","","","","","","","M","54","","20","","31",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-05","2025","04","05","","-16.2","","-24.2","","-20.2","","38.2","","0.0","","","","","","0.0","","54","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-06","2025","04","06","","-12.0","","-25.2","","-18.6","","36.6","","0.0","","","","","","0.0","","55","","15","","65",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-07","2025","04","07","","","M","","M","","M","","M","","M","","","","","","M","57","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-08","2025","04","08","","","M","","M","","M","","M","","M","","","","","","M","59","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-09","2025","04","09","","","M","","M","","M","","M","","M","","","","","","M","59","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-10","2025","04","10","","-4.0","","","M","","M","","M","","M","","","","","0.0","","59","","","","",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-11","2025","04","11","","","M","","M","","M","","M","","M","","","","","","M","59","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-12","2025","04","12","","","M","","M","","M","","M","","M","","","","","","M","59","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-13","2025","04","13","","","M","","M","","M","","M","","M","","","","","","M","60","","","M","","M"
"-111.25","65.76","LUPIN CS","230N002","2025-04-14","2025","04","14","","-16.8","","-23.3","","-20.0","","38.0","","0.0","","","","","","0.2","","62","","12","","37",""
"-111.25","65.76","LUPIN CS","230N002","2025-04-15","2025","04","15","","-11.7","","-20.4","","-16.1","","34.1","","0.0","","","","","","0.7","","72","","12","","46",""
