"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-01","2025","01","01","¿","-1.5","","-4.5","","-3.0","","21.0","","0.0","","0.0","","0.2","","0.6","","20","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-02","2025","01","02","¿","-7.0","","-9.5","","-8.3","","26.3","","0.0","","0.0","","2.0","","0.6","","20","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-03","2025","01","03","¿","-15.5","","-17.5","","-16.5","","34.5","","0.0","","0.0","","2.0","","2.0","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-04","2025","01","04","¿","-17.0","","-19.0","","-18.0","","36.0","","0.0","","0.0","","2.0","","1.4","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-05","2025","01","05","¿","-13.0","","-19.5","","-16.3","","34.3","","0.0","","0.0","","1.0","","0.4","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-06","2025","01","06","¿","-14.0","","-19.0","","-16.5","","34.5","","0.0","","0.0","","1.0","","0.4","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-07","2025","01","07","¿","-18.0","","-21.5","","-19.8","","37.8","","0.0","","0.0","","0.2","","0.2","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-08","2025","01","08","¿","-19.0","","-29.5","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-09","2025","01","09","¿","-8.0","","-31.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-10","2025","01","10","¿","-5.0","","-30.5","","-17.8","","35.8","","0.0","","0.0","","4.0","","2.8","","21","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-11","2025","01","11","¿","-10.0","","-12.0","","-11.0","","29.0","","0.0","","0.0","","1.0","","0.2","","25","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-12","2025","01","12","¿","-9.0","","-17.0","","-13.0","","31.0","","0.0","","0.0","","4.0","","3.6","","25","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-13","2025","01","13","¿","-5.0","","-15.0","","-10.0","","28.0","","0.0","","0.0","","4.0","","3.6","","29","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-14","2025","01","14","¿","-13.5","","-18.0","","-15.8","","33.8","","0.0","","0.0","","1.0","","0.8","","32","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-15","2025","01","15","¿","-6.0","","-18.0","","-12.0","","30.0","","0.0","","0.0","","2.6","","2.8","","30","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-16","2025","01","16","¿","-5.5","","-15.5","","-10.5","","28.5","","0.0","","0.0","","1.6","","0.8","","33","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-17","2025","01","17","¿","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","2.0","","4.6","","33","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-18","2025","01","18","¿","-17.0","","-18.0","","-17.5","","35.5","","0.0","","0.0","","0.2","","0.2","","34","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-19","2025","01","19","¿","-22.5","","-33.0","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-20","2025","01","20","¿","-24.5","","-40.0","","-32.3","","50.3","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-82.12","49.38","BONNER LAKE","6070QK6","2025-01-21","2025","01","21","¿","-17.0","","-38.0","","-27.5","","45.5","","0.0","","0.0","","0.0","T","0.0","","33","","","","",""
