"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-01","2025","01","01","¿","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","3.2","","3.2","","0","T","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-02","2025","01","02","¿","0.5","","-3.0","","-1.3","","19.3","","0.0","","0.0","","0.6","","0.6","","3","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-03","2025","01","03","¿","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-04","2025","01","04","¿","-7.5","","-13.0","","-10.3","","28.3","","0.0","","0.0","","4.4","","4.4","","5","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-05","2025","01","05","¿","-10.5","","-14.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-06","2025","01","06","¿","-10.0","","-19.0","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","9","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-07","2025","01","07","¿","-6.5","","-12.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-08","2025","01","08","¿","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","0.4","","0.4","","8","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-09","2025","01","09","¿","-6.0","","-15.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-10","2025","01","10","¿","-4.0","","-13.5","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-11","2025","01","11","¿","-2.5","","-8.5","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-12","2025","01","12","¿","-2.5","","-10.0","","-6.3","","24.3","","0.0","","0.0","","3.4","","3.4","","6","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-13","2025","01","13","¿","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","2.0","","2.0","","10","","","","",""
"-76.25","45.03","DRUMMOND CENTRE","6102J13","2025-01-14","2025","01","14","¿","-3.5","","-7.5","","-5.5","","23.5","","0.0","","0.0","","1.0","","1.0","","9","","","","",""
