"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-01","2025","01","01","¿","1.5","","-0.5","","0.5","","17.5","","0.0","","0.0","","1.2","","5.2","","14","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-02","2025","01","02","¿","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","0.2","","0.6","","15","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-03","2025","01","03","¿","-8.0","","-11.0","","-9.5","","27.5","","0.0","","0.0","","0.6","","0.6","","15","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-04","2025","01","04","¿","-8.5","","-14.5","","-11.5","","29.5","","0.0","","0.0","","1.4","","1.2","","15","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-05","2025","01","05","¿","-11.0","","-15.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-06","2025","01","06","¿","-8.5","","-18.0","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-07","2025","01","07","¿","-6.5","","-12.0","","-9.3","","27.3","","0.0","","0.0","","0.2","","0.2","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-08","2025","01","08","¿","-10.5","","-17.5","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-09","2025","01","09","¿","-7.0","","-16.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-10","2025","01","10","¿","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","3.2","","3.4","","17","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-11","2025","01","11","¿","-3.5","","-8.5","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","","20","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-12","2025","01","12","¿","-3.5","","-7.5","","-5.5","","23.5","","0.0","","0.0","","5.0","","5.0","","18","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-13","2025","01","13","¿","-1.0","","-5.5","","-3.3","","21.3","","0.0","","0.0","","0.6","","0.4","","23","","","","",""
"-77.25","45.88","PETAWAWA HOFFMAN","610FC98","2025-01-14","2025","01","14","¿","-4.0","","-8.5","","-6.3","","24.3","","0.0","","0.0","","1.6","","1.2","","22","","","","",""
