"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-01","2025","01","01","¿","3.0","","-2.0","","0.5","","17.5","","0.0","","0.6","","0.0","T","0.6","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-02","2025","01","02","¿","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-03","2025","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-04","2025","01","04","¿","-2.5","","-7.5","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","","1","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-05","2025","01","05","¿","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-06","2025","01","06","¿","-7.5","","-9.5","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-07","2025","01","07","¿","-4.5","","-10.0","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-08","2025","01","08","¿","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-09","2025","01","09","¿","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-10","2025","01","10","¿","-2.0","","-13.0","","-7.5","","25.5","","0.0","","0.0","","7.0","","7.2","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-11","2025","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-12","2025","01","12","¿","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","2.0","","1.4","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-13","2025","01","13","¿","-0.5","","-2.5","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-14","2025","01","14","¿","-5.5","","-8.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-15","2025","01","15","¿","-3.5","","-13.0","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.4","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-16","2025","01","16","¿","-1.0","","-7.5","","-4.3","","22.3","","0.0","","0.0","","4.6","","4.0","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-17","2025","01","17","¿","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","T","0.0","","0.0","T","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-18","2025","01","18","¿","2.5","","-2.0","","0.3","","17.7","","0.0","","2.0","","1.0","","3.0","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-19","2025","01","19","¿","-6.0","","-9.0","","-7.5","","25.5","","0.0","","0.0","","1.0","","0.6","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-20","2025","01","20","¿","-9.5","","-14.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-21","2025","01","21","¿","-11.0","","-15.5","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-22","2025","01","22","¿","-7.5","","-18.0","","-12.8","","30.8","","0.0","","0.0","","0.6","","0.4","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-23","2025","01","23","¿","-4.0","","-11.5","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.2","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-24","2025","01","24","¿","-4.5","","-9.5","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.2","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-25","2025","01","25","¿","0.5","","-10.0","","-4.8","","22.8","","0.0","","0.0","","1.6","","0.8","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-26","2025","01","26","¿","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-27","2025","01","27","¿","1.5","","-6.0","","-2.3","","20.3","","0.0","","0.0","","2.4","","1.6","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-28","2025","01","28","¿","2.0","","-12.0","","-5.0","","23.0","","0.0","","0.0","","7.0","","5.8","","11","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2025-01-29","2025","01","29","¿","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
