"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-01","2025","01","01","","0.7","","-3.0","","-1.2","","19.2","","0.0","","","","","","7.0","","5","","31","","36",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-02","2025","01","02","","-1.3","","-6.6","","-4.0","","22.0","","0.0","","","","","","0.0","","8","","31","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-03","2025","01","03","","-5.8","","-13.9","","-9.8","","27.8","","0.0","","","","","","0.0","","7","","30","","33",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-04","2025","01","04","","-6.0","","-15.4","","-10.7","","28.7","","0.0","","","","","","0.2","","7","","30","","32",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-05","2025","01","05","","-7.4","","-13.2","","-10.3","","28.3","","0.0","","","","","","0.1","","8","","30","","33",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-06","2025","01","06","","-9.8","","-18.0","","-13.9","","31.9","","0.0","","","","","","0.0","","7","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-07","2025","01","07","","-7.5","","-14.1","","-10.8","","28.8","","0.0","","","","","","0.0","","7","","33","","43",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-08","2025","01","08","","-9.1","","-19.4","","-14.2","","32.2","","0.0","","","","","","0.0","","6","","32","","35",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-09","2025","01","09","","-5.9","","-15.6","","-10.7","","28.7","","0.0","","","","","","0.0","","6","","31","","39",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-10","2025","01","10","","-2.7","","-20.2","","-11.5","","29.5","","0.0","","","","","","2.5","","6","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-11","2025","01","11","","-2.9","","-8.5","","-5.7","","23.7","","0.0","","","","","","1.7","","10","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-12","2025","01","12","","0.0","","-4.6","","-2.3","","20.3","","0.0","","","","","","2.6","","10","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-13","2025","01","13","","-0.6","","-5.8","","-3.2","","21.2","","0.0","","","","","","3.5","","14","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-14","2025","01","14","","-5.7","","-14.9","","-10.3","","28.3","","0.0","","","","","","0.8","","17","","1","","36",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-15","2025","01","15","","-5.3","","-15.3","","-10.3","","28.3","","0.0","","","","","","0.0","","18","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-16","2025","01","16","","-4.9","","-10.0","","-7.4","","25.4","","0.0","","","","","","0.0","","16","","","","",""
"-77.88","45.07","BANCROFT AUTO","616I001","2025-01-17","2025","01","17","","-1.0","","-7.3","","-4.1","","22.1","","0.0","","","","","","0.2","","16","","19","","31",""
