"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-01","2025","01","01","","5.9","","-0.6","","2.7","","15.3","","0.0","","","","","","","","","","24","","35",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-02","2025","01","02","","0.0","","-4.8","","-2.4","","20.4","","0.0","","","","","","","","","","26","","68",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-03","2025","01","03","","-4.4","","-10.7","","-7.5","","25.5","","0.0","","","","","","","","","","27","","56",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-04","2025","01","04","","-10.5","","-13.7","","-12.1","","30.1","","0.0","","","","","","","","","","26","","48",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-05","2025","01","05","","-11.5","","-18.3","","-14.9","","32.9","","0.0","","","","","","","","","","32","","37",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-06","2025","01","06","","-11.5","","-17.2","","-14.3","","32.3","","0.0","","","","","","","","","","28","","35",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-07","2025","01","07","","-8.4","","-11.7","","-10.1","","28.1","","0.0","","","","","","","","","","30","","50",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-08","2025","01","08","","-10.7","","-14.9","","-12.8","","30.8","","0.0","","","","","","","","","","27","","54",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-09","2025","01","09","","-8.1","","-13.0","","-10.6","","28.6","","0.0","","","","","","","","","","27","","55",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-10","2025","01","10","","-8.7","","-14.5","","-11.6","","29.6","","0.0","","","","","","","","","","29","","41",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-11","2025","01","11","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-12","2025","01","12","","-2.5","","-14.0","","-8.2","","26.2","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-13","2025","01","13","","-2.2","","-10.1","","-6.1","","24.1","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-14","2025","01","14","","-2.5","","-7.7","","-5.1","","23.1","","0.0","","","","","","","","","","26","","56",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-15","2025","01","15","","-7.7","","-17.5","","-12.6","","30.6","","0.0","","","","","","","","","","29","","38",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-16","2025","01","16","","-3.5","","-19.8","","-11.6","","29.6","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-17","2025","01","17","","-2.1","","-11.9","","-7.0","","25.0","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-18","2025","01","18","","3.1","","-3.7","","-0.3","","18.3","","0.0","","","","","","","","","","19","","43",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-19","2025","01","19","","1.4","","-12.9","","-5.8","","23.8","","0.0","","","","","","","","","","28","","43",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-20","2025","01","20","","-12.9","","-23.6","","-18.3","","36.3","","0.0","","","","","","","","","","26","","41",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-21","2025","01","21","","-11.5","","-25.6","","-18.5","","36.5","","0.0","","","","","","","","","","27","","43",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-22","2025","01","22","","-11.2","","-27.7","","-19.4","","37.4","","0.0","","","","","","","","","","26","","33",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-23","2025","01","23","","-7.5","","-16.3","","-11.9","","29.9","","0.0","","","","","","","","","","20","","33",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-24","2025","01","24","","-7.7","","-21.9","","-14.8","","32.8","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-25","2025","01","25","","-6.5","","-23.7","","-15.1","","33.1","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-26","2025","01","26","","-1.8","","-10.7","","-6.3","","24.3","","0.0","","","","","","","","","","27","","80",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-27","2025","01","27","","1.5","","-7.4","","-2.9","","20.9","","0.0","","","","","","","","","","25","","78",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-28","2025","01","28","","-1.3","","-18.8","","-10.0","","28.0","","0.0","","","","","","","","","","23","","52",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-29","2025","01","29","","-5.7","","-15.8","","-10.7","","28.7","","0.0","","","","","","","","","","28","","50",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-30","2025","01","30","","-13.1","","-19.9","","-16.5","","34.5","","0.0","","","","","","","","","","25","","48",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-01-31","2025","01","31","","-0.9","","-13.1","","-7.0","","25.0","","0.0","","","","","","","","","","","","",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-01","2025","02","01","","-9.0","","-24.7","","-16.8","","34.8","","0.0","","","","","","","","","","29","","37",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-02","2025","02","02","","-7.3","","-28.8","","-18.1","","36.1","","0.0","","","","","","","","","","18","","31",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-03","2025","02","03","","0.4","","-7.6","","-3.6","","21.6","","0.0","","","","","","","","","","28","","44",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-04","2025","02","04","","-2.7","","-13.0","","-7.8","","25.8","","0.0","","","","","","","","","","30","","50",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-05","2025","02","05","","-12.9","","-26.3","","-19.6","","37.6","","0.0","","","","","","","","","","30","","35",""
"-72.17","45.27","LAC MEMPHREMAGOG","702CFGG","2025-02-06","2025","02","06","","-0.3","","-25.9","","-13.1","","31.1","","0.0","","","","","","","","","","27","","41",""
