"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-01","2025","01","01","","1.7","","0.3","","1.0","","17.0","","0.0","","","","","","6.0","","","","27","","44",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-02","2025","01","02","","0.6","","-3.9","","-1.6","","19.6","","0.0","","","","","","","M","","","26","","57",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-03","2025","01","03","","-3.7","","-10.0","","-6.8","","24.8","","0.0","","","","","","","M","","","28","","53",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-04","2025","01","04","","-9.4","","-12.5","","-11.0","","29.0","","0.0","","","","","","","M","","","24","","41",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-05","2025","01","05","","-9.8","","-13.7","","-11.7","","29.7","","0.0","","","","","","","M","","","33","","32",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-06","2025","01","06","","-9.5","","-15.5","","-12.5","","30.5","","0.0","","","","","","","M","0","","","","",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-07","2025","01","07","","-6.3","","-11.8","","-9.1","","27.1","","0.0","","","","","","","M","2","","28","","46",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-08","2025","01","08","","-11.2","","-14.4","","-12.8","","30.8","","0.0","","","","","","","M","3","","29","","49",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-09","2025","01","09","","-6.1","","-12.2","","-9.1","","27.1","","0.0","","","","","","","M","10","","26","","46",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-10","2025","01","10","","-6.2","","-11.6","","-8.9","","26.9","","0.0","","","","","","","M","9","","25","","38",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-11","2025","01","11","","-5.4","","-8.0","","-6.7","","24.7","","0.0","","","","","","","M","9","","","","",""
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2025-01-12","2025","01","12","","-3.9","","-10.5","","-7.2","","25.2","","0.0","","","","","","","M","9","","","","",""
