"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-01","2025","01","01","","1.8","","-0.2","","0.8","","17.2","","0.0","","","","","","9.6","","","","26","","46",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-02","2025","01","02","","0.0","","-2.8","","-1.4","","19.4","","0.0","","","","","","0.9","","","","24","","54",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-03","2025","01","03","","-2.5","","-9.8","","-6.2","","24.2","","0.0","","","","","","0.0","","","","27","","48",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-04","2025","01","04","","-8.7","","-12.0","","-10.4","","28.4","","0.0","","","","","","0.6","","","","29","","42",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-05","2025","01","05","","-9.1","","-13.0","","-11.1","","29.1","","0.0","","","","","","0.2","","","","29","","34",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-06","2025","01","06","","-9.6","","-15.1","","-12.3","","30.3","","0.0","","","","","","0.3","","","","31","","32",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-07","2025","01","07","","-6.7","","-11.3","","-9.0","","27.0","","0.0","","","","","","4.2","","","","29","","42",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-08","2025","01","08","","-10.7","","-14.5","","-12.6","","30.6","","0.0","","","","","","4.0","","","","26","","42",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-09","2025","01","09","","-6.3","","-12.8","","-9.5","","27.5","","0.0","","","","","","1.1","","","","26","","43",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-10","2025","01","10","","-5.8","","-11.4","","-8.6","","26.6","","0.0","","","","","","0.0","","","","24","","38",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-11","2025","01","11","","-5.1","","-7.8","","-6.5","","24.5","","0.0","","","","","","2.0","","","","","","",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-12","2025","01","12","","-3.5","","-11.4","","-7.4","","25.4","","0.0","","","","","","0.2","","","","","","",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-13","2025","01","13","","0.2","","-5.8","","-2.8","","20.8","","0.0","","","","","","2.1","","","","24","","47",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-14","2025","01","14","","-2.6","","-8.5","","-5.6","","23.6","","0.0","","","","","","0.7","","","","24","","43",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-15","2025","01","15","","-6.1","","-16.5","","-11.3","","29.3","","0.0","","","","","","0.0","","","","","","",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-16","2025","01","16","","-2.5","","-10.0","","-6.2","","24.2","","0.0","","","","","","0.2","","","","","","",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-17","2025","01","17","","1.5","","-9.4","","-3.9","","21.9","","0.0","","","","","","0.0","","","","","","",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-18","2025","01","18","","5.6","","-3.9","","0.9","","17.1","","0.0","","","","","","3.0","","","","23","","46",""
"-74.29","45.12","ST-ANICET 1","702FQLF","2025-01-19","2025","01","19","","-3.9","","-12.5","","-8.2","","26.2","","0.0","","","","","","0.0","","","","31","","32",""
