"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-01","2025","01","01","","3.2","","-1.7","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-02","2025","01","02","","-3.2","","-5.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-03","2025","01","03","","-6.9","","-9.3","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-04","2025","01","04","","-12.9","","-15.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-05","2025","01","05","","-14.3","","-20.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-06","2025","01","06","","-11.3","","-21.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-07","2025","01","07","","-8.2","","-14.1","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-08","2025","01","08","","-13.2","","-15.6","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-09","2025","01","09","","-8.5","","-14.6","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-10","2025","01","10","","-8.5","","-17.6","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-11","2025","01","11","","-6.1","","-19.3","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-12","2025","01","12","","-6.0","","-15.3","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-13","2025","01","13","","-2.5","","-14.7","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-14","2025","01","14","","-5.5","","-7.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-15","2025","01","15","","-9.4","","-12.1","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-16","2025","01","16","","-6.3","","-21.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-17","2025","01","17","","-0.4","","-11.1","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-18","2025","01","18","","2.9","","-6.6","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-19","2025","01","19","","-8.4","","-12.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-20","2025","01","20","","-14.5","","-20.7","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-21","2025","01","21","","-11.3","","-27.2","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-22","2025","01","22","","-10.9","","-28.2","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-23","2025","01","23","","-8.0","","-20.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-24","2025","01","24","","-9.9","","-21.7","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-25","2025","01","25","","-5.9","","-26.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-26","2025","01","26","","-1.5","","-13.3","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-27","2025","01","27","","0.2","","-12.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-28","2025","01","28","","-13.1","","-18.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-29","2025","01","29","","-8.9","","-23.8","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-30","2025","01","30","","-6.3","","-29.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-01-31","2025","01","31","","-4.4","","-16.4","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-01","2025","02","01","","-16.8","","-24.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-02","2025","02","02","","-5.8","","-30.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-03","2025","02","03","","-0.5","","-10.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-04","2025","02","04","","-7.5","","-11.0","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-05","2025","02","05","","-12.7","","-22.3","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-06","2025","02","06","","-2.1","","-26.1","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-07","2025","02","07","","-4.8","","-7.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-08","2025","02","08","","-4.7","","-13.4","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-09","2025","02","09","","-0.5","","-14.5","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-10","2025","02","10","","-7.9","","-20.6","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-11","2025","02","11","","-5.0","","-23.9","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-12","2025","02","12","","-6.4","","-28.2","","","","","","","","","M","","M","","M","","M","","","",""
"-71.73","45.67","ST CAMILLE WOLFE","702FR30","2025-02-13","2025","02","13","","-0.4","","-19.0","","","","","","","","","M","","M","","M","","M","","","",""
