"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.35","45.29","L'ACADIE","702LED4","2025-01-01","2025","01","01","","2.4","","0.3","","1.3","","16.7","","0.0","","","","","","5.9","","","","24","","40",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-02","2025","01","02","","0.4","","-3.6","","-1.6","","19.6","","0.0","","","","","","0.6","","2","","29","","58",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-03","2025","01","03","","-3.6","","-10.0","","-6.8","","24.8","","0.0","","","","","","0.1","","","","26","","44",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-04","2025","01","04","","-9.7","","-12.7","","-11.2","","29.2","","0.0","","","","","","1.5","","","","28","","38",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-05","2025","01","05","","-9.9","","-16.2","","-13.1","","31.1","","0.0","","","","","","1.5","","3","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-06","2025","01","06","","-9.8","","-18.3","","-14.0","","32.0","","0.0","","","","","","0.5","","3","","28","","34",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-07","2025","01","07","","-6.8","","-11.2","","-9.0","","27.0","","0.0","","","","","","1.9","","10","","26","","42",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-08","2025","01","08","","-11.2","","-14.3","","-12.7","","30.7","","0.0","","","","","","1.7","","10","","29","","44",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-09","2025","01","09","","-6.4","","-12.2","","-9.3","","27.3","","0.0","","","","","","0.7","","12","","27","","47",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-10","2025","01","10","","-6.8","","-10.5","","-8.6","","26.6","","0.0","","","","","","0.4","","7","","27","","36",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-11","2025","01","11","","-5.3","","-8.1","","-6.7","","24.7","","0.0","","","","","","2.4","","6","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-12","2025","01","12","","-4.5","","-11.6","","-8.1","","26.1","","0.0","","","","","","0.7","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-13","2025","01","13","","-0.8","","-6.8","","-3.8","","21.8","","0.0","","","","","","1.9","","8","","26","","39",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-14","2025","01","14","","-2.0","","-7.1","","-4.5","","22.5","","0.0","","","","","","0.6","","12","","26","","40",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-15","2025","01","15","","-6.9","","-17.0","","-11.9","","29.9","","0.0","","","","","","0.1","","12","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-16","2025","01","16","","-3.8","","-17.2","","-10.5","","28.5","","0.0","","","","","","0.7","","11","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-17","2025","01","17","","-0.6","","-9.7","","-5.2","","23.2","","0.0","","","","","","0.6","","10","","17","","35",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-18","2025","01","18","","2.8","","-0.7","","1.1","","16.9","","0.0","","","","","","1.4","","13","","17","","60",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-19","2025","01","19","","-0.1","","-11.7","","-5.9","","23.9","","0.0","","","","","","0.0","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-20","2025","01","20","","-11.6","","-19.8","","-15.7","","33.7","","0.0","","","","","","0.6","","8","","24","","33",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-21","2025","01","21","","-10.5","","-18.2","","-14.4","","32.4","","0.0","","","","","","0.7","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-22","2025","01","22","","-9.2","","-19.6","","-14.4","","32.4","","0.0","","","","","","0.8","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-23","2025","01","23","","-6.0","","-10.9","","-8.5","","26.5","","0.0","","","","","","0.2","","8","","17","","35",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-24","2025","01","24","","-7.4","","-18.9","","-13.2","","31.2","","0.0","","","","","","0.3","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-25","2025","01","25","","-3.6","","-18.8","","-11.2","","29.2","","0.0","","","","","","1.4","","8","","","","",""
"-73.35","45.29","L'ACADIE","702LED4","2025-01-26","2025","01","26","","0.4","","-10.6","","-5.1","","23.1","","0.0","","","","","","1.2","","8","","29","","46",""
