"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-01","2025","01","01","","5.5","","-1.5","","2.0","","16.0","","0.0","","","","","","28.1","","","","3","","55",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-02","2025","01","02","","0.9","","-4.2","","-1.7","","19.7","","0.0","","","","","","3.3","","1","","26","","39",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-03","2025","01","03","","-4.2","","-10.0","","-7.1","","25.1","","0.0","","","","","","0.0","","0","","25","","46",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-04","2025","01","04","","-10.0","","-13.1","","-11.5","","29.5","","0.0","","","","","","0.0","","","","23","","35",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-05","2025","01","05","","-8.9","","-15.4","","-12.1","","30.1","","0.0","","","","","","0.0","","0","","36","","31",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-06","2025","01","06","","-6.2","","-16.8","","-11.5","","29.5","","0.0","","","","","","0.0","","0","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-07","2025","01","07","","-0.8","","-8.6","","-4.7","","22.7","","0.0","","","","","","0.0","","1","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-08","2025","01","08","","-4.4","","-9.3","","-6.9","","24.9","","0.0","","","","","","0.0","","1","","27","","38",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-09","2025","01","09","","2.0","","-5.7","","-1.9","","19.9","","0.0","","","","","","0.0","","1","","36","","36",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-10","2025","01","10","","-1.0","","-10.1","","-5.6","","23.6","","0.0","","","","","","0.0","","0","","36","","36",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-11","2025","01","11","","-3.8","","-9.9","","-6.9","","24.9","","0.0","","","","","","0.2","","0","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-12","2025","01","12","","-4.1","","-10.0","","-7.1","","25.1","","0.0","","","","","","0.0","","0","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-13","2025","01","13","","-2.5","","-8.1","","-5.3","","23.3","","0.0","","","","","","0.6","","1","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-14","2025","01","14","","-3.6","","-8.0","","-5.8","","23.8","","0.0","","","","","","2.0","","2","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-15","2025","01","15","","-3.6","","-13.7","","-8.6","","26.6","","0.0","","","","","","0.0","","3","","2","","32",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-16","2025","01","16","","-6.5","","-14.7","","-10.6","","28.6","","0.0","","","","","","0.0","","3","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-17","2025","01","17","","-2.9","","-11.7","","-7.3","","25.3","","0.0","","","","","","0.0","","3","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-18","2025","01","18","","1.5","","-3.7","","-1.1","","19.1","","0.0","","","","","","9.2","","4","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-19","2025","01","19","","0.6","","-10.6","","-5.0","","23.0","","0.0","","","","","","0.5","","9","","7","","37",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-20","2025","01","20","","-10.3","","-24.7","","-17.5","","35.5","","0.0","","","","","","0.9","","12","","36","","33",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-21","2025","01","21","","-13.0","","-25.3","","-19.1","","37.1","","0.0","","","","","","0.0","","10","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-22","2025","01","22","","-11.5","","-24.7","","-18.1","","36.1","","0.0","","","","","","0.0","","10","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-23","2025","01","23","","-9.4","","-18.1","","-13.7","","31.7","","0.0","","","","","","0.4","","9","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-24","2025","01","24","","-6.7","","-19.7","","-13.2","","31.2","","0.0","","","","","","0.0","","10","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-25","2025","01","25","","-8.7","","-20.6","","-14.6","","32.6","","0.0","","","","","","0.1","","10","","27","","32",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-26","2025","01","26","","-0.6","","-17.4","","-9.0","","27.0","","0.0","","","","","","4.0","","13","","27","","36",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-27","2025","01","27","","0.2","","-17.1","","-8.4","","26.4","","0.0","","","","","","16.5","","16","","21","","52",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-28","2025","01","28","","-2.9","","-22.7","","-12.8","","30.8","","0.0","","","","","","0.0","","32","","25","","38",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-29","2025","01","29","","-11.7","","-23.1","","-17.4","","35.4","","0.0","","","","","","0.4","","29","","8","","42",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-30","2025","01","30","","-14.3","","-26.5","","-20.4","","38.4","","0.0","","","","","","0.6","","29","","23","","37",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-01-31","2025","01","31","","-5.7","","-14.8","","-10.3","","28.3","","0.0","","","","","","1.4","","30","","7","","33",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-02-01","2025","02","01","","-10.2","","-18.8","","-14.5","","32.5","","0.0","","","","","","0.0","","31","","2","","34",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-02-02","2025","02","02","","-9.4","","-25.7","","-17.6","","35.6","","0.0","","","","","","0.1","","30","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-02-03","2025","02","03","","-3.1","","-10.3","","-6.7","","24.7","","0.0","","","","","","6.7","","31","","","","",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-02-04","2025","02","04","","-4.5","","-16.6","","-10.5","","28.5","","0.0","","","","","","0.0","","36","","25","","41",""
"-70.78","47.08","CAP-TOURMENTE","7041JG6","2025-02-05","2025","02","05","","-12.3","","-22.9","","-17.6","","35.6","","0.0","","","","","","0.0","","34","","23","","36",""
