"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-01","2025","01","01","","1.6","","0.1","","0.8","","17.2","","0.0","","","","","","","M","","","5","","63",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-02","2025","01","02","","2.3","","-2.8","","-0.3","","18.3","","0.0","","","","","","","M","","","27","","63",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-03","2025","01","03","","-2.5","","-10.8","","-6.7","","24.7","","0.0","","","","","","","","","","27","","76",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-04","2025","01","04","","-9.5","","-13.1","","-11.3","","29.3","","0.0","","","","","","","","","","30","","63",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-05","2025","01","05","","-10.9","","-14.0","","-12.5","","30.5","","0.0","","","","","","","","","","30","","101",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-06","2025","01","06","","-6.9","","-13.3","","-10.1","","28.1","","0.0","","","","","","","","","","29","","101",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-07","2025","01","07","","-2.3","","-8.1","","-5.2","","23.2","","0.0","","","","","","","","","","30","","90",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-08","2025","01","08","","-2.1","","-8.3","","-5.2","","23.2","","0.0","","","","","","","","","","30","","104",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-09","2025","01","09","","-0.1","","-3.4","","-1.8","","19.8","","0.0","","","","","","","","","","30","","82",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-10","2025","01","10","","-2.8","","-5.5","","-4.1","","22.1","","0.0","","","","","","","","","","31","","82",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-11","2025","01","11","","-2.6","","-6.7","","-4.7","","22.7","","0.0","","","","","","","","","","20","","32",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-12","2025","01","12","","-3.4","","-6.7","","-5.1","","23.1","","0.0","","","","","","","","","","30","","40",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-13","2025","01","13","","-5.5","","-7.3","","-6.4","","24.4","","0.0","","","","","","","","","","33","","35",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-14","2025","01","14","","-4.4","","-7.0","","-5.7","","23.7","","0.0","","","","","","","","","","31","","51",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-15","2025","01","15","","-5.5","","-8.4","","-6.9","","24.9","","0.0","","","","","","","","","","30","","60",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-16","2025","01","16","","-5.3","","-8.1","","-6.7","","24.7","","0.0","","","","","","","","","","29","","39",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-17","2025","01","17","","-2.1","","-5.6","","-3.9","","21.9","","0.0","","","","","","","","","","19","","51",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-18","2025","01","18","","1.1","","-2.3","","-0.6","","18.6","","0.0","","","","","","","M","","","18","","52",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-19","2025","01","19","","-0.5","","-13.3","","-6.9","","24.9","","0.0","","","","","","","","","","30","","75",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-20","2025","01","20","","-12.3","","-20.2","","-16.3","","34.3","","0.0","","","","","","","","","","30","","79",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-21","2025","01","21","","-12.7","","-20.6","","-16.6","","34.6","","0.0","","","","","","","","","","28","","55",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-22","2025","01","22","","-9.6","","-15.4","","-12.5","","30.5","","0.0","","","","","","","","","","22","","50",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-23","2025","01","23","","-7.1","","-11.6","","-9.3","","27.3","","0.0","","","","","","","","","","19","","47",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-24","2025","01","24","","-7.8","","-13.8","","-10.8","","28.8","","0.0","","","","","","","","","","29","","65",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-25","2025","01","25","","-7.2","","-14.0","","-10.6","","28.6","","0.0","","","","","","","","","","21","","48",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-26","2025","01","26","","-1.7","","-9.9","","-5.8","","23.8","","0.0","","","","","","","","","","29","","72",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-27","2025","01","27","","-0.2","","-9.5","","-4.8","","22.8","","0.0","","","","","","","","","","21","","104",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-28","2025","01","28","","-3.7","","-16.1","","-9.9","","27.9","","0.0","","","","","","","","","","29","","79",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-29","2025","01","29","","-11.2","","-16.0","","-13.6","","31.6","","0.0","","","","","","","","","","32","","51",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-30","2025","01","30","","-11.3","","-20.0","","-15.7","","33.7","","0.0","","","","","","","","","","28","","73",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-01-31","2025","01","31","","-7.8","","-12.7","","-10.2","","28.2","","0.0","","","","","","","","","","30","","51",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-01","2025","02","01","","-12.3","","-19.6","","-15.9","","33.9","","0.0","","","","","","","","","","30","","75",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-02","2025","02","02","","-8.2","","-16.4","","-12.3","","30.3","","0.0","","","","","","","","","","28","","48",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-03","2025","02","03","","-0.9","","-9.3","","-5.1","","23.1","","0.0","","","","","","","","","","22","","56",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-04","2025","02","04","","-3.0","","-15.6","","-9.3","","27.3","","0.0","","","","","","","","","","29","","80",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-05","2025","02","05","","-8.8","","-17.7","","-13.2","","31.2","","0.0","","","","","","","","","","32","","65",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-06","2025","02","06","","-5.5","","-11.6","","-8.5","","26.5","","0.0","","","","","","","","","","20","","56",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-07","2025","02","07","","-3.1","","-6.1","","-4.6","","22.6","","0.0","","","","","","","","","","28","","71",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-08","2025","02","08","","-5.8","","-9.9","","-7.8","","25.8","","0.0","","","","","","","","","","31","","68",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-09","2025","02","09","","-8.3","","-11.7","","-10.0","","28.0","","0.0","","","","","","","","","","32","","39",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-10","2025","02","10","","-9.8","","-13.8","","-11.8","","29.8","","0.0","","","","","","","","","","31","","53",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-11","2025","02","11","","-5.5","","-11.6","","-8.5","","26.5","","0.0","","","","","","","","","","20","","66",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-12","2025","02","12","","-10.2","","-15.4","","-12.8","","30.8","","0.0","","","","","","","","","","31","","42",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-13","2025","02","13","","-7.3","","-13.7","","-10.5","","28.5","","0.0","","","","","","","","","","27","","48",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-14","2025","02","14","","-7.4","","-13.6","","-10.5","","28.5","","0.0","","","","","","","","","","28","","88",""
"-69.56","48.07","ILE ROUGE","7043BP9","2025-02-15","2025","02","15","","-8.8","","-16.5","","-12.6","","30.6","","0.0","","","","","","","","","","28","","72",""
