"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-01","2025","01","01","","2.6","","-1.1","","0.7","","17.3","","0.0","","","","","","","","","","10","","44",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-02","2025","01","02","","2.1","","-4.6","","-1.3","","19.3","","0.0","","","","","","","","","","28","","85",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-03","2025","01","03","","-4.3","","-11.0","","-7.7","","25.7","","0.0","","","","","","","","","","28","","95",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-04","2025","01","04","","-10.5","","-14.0","","-12.3","","30.3","","0.0","","","","","","","","","","29","","73",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-05","2025","01","05","","-12.9","","-15.7","","-14.3","","32.3","","0.0","","","","","","","","","","29","","83",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-06","2025","01","06","","-8.1","","-15.9","","-12.0","","30.0","","0.0","","","","","","","","","","29","","87",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-07","2025","01","07","","-3.3","","-9.3","","-6.3","","24.3","","0.0","","","","","","","","","","28","","75",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-08","2025","01","08","","-3.2","","-10.1","","-6.6","","24.6","","0.0","","","","","","","","","","28","","87",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-09","2025","01","09","","-0.4","","-4.2","","-2.3","","20.3","","0.0","","","","","","","","","","28","","66",""
"-70.11","48.26","POINTE CLAVEAU","704607C","2025-01-10","2025","01","10","","-3.7","","-6.2","","-4.9","","22.9","","0.0","","","","","","","","","","28","","66",""
