"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-01","2025","01","01","","4.0","","-0.5","","","","","","","","14.4","","0.0","","14.4","","0","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-02","2025","01","02","","4.0","","0.4","","","","","","","","7.2","","0.0","T","7.2","","0","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-03","2025","01","03","","0.5","","-2.0","","","","","","","","0.2","","19.2","","19.4","","0","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-04","2025","01","04","","-4.0","","-6.0","","","","","","","","0.0","","3.0","","3.0","","20","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-05","2025","01","05","","0.0","","-7.5","","","","","","","","0.0","","0.0","T","0.0","T","20","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-06","2025","01","06","","2.0","","-4.0","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-07","2025","01","07","","5.0","","0.0","","","","","","","","1.8","","0.0","","1.8","","1","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-08","2025","01","08","","5.0","","1.0","","","","","","","","0.0","T","0.0","","0.0","T","0","T","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-09","2025","01","09","","5.0","","-1.0","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2025-01-10","2025","01","10","","2.0","","-2.0","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
