"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-01","2025","01","01","","0.2","","-3.4","","-1.6","","19.6","","0.0","","","","","","3.4","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-02","2025","01","02","","0.0","","-2.2","","-1.1","","19.1","","0.0","","","","","","4.1","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-03","2025","01","03","","-1.6","","-15.0","","-8.3","","26.3","","0.0","","","","","","8.5","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-04","2025","01","04","","-15.0","","-24.2","","-19.6","","37.6","","0.0","","","","","","1.3","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-05","2025","01","05","","-17.3","","-28.4","","-22.9","","40.9","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-06","2025","01","06","","-8.2","","-20.3","","-14.3","","32.3","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-07","2025","01","07","","-5.3","","-9.5","","-7.4","","25.4","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-08","2025","01","08","","-4.0","","-8.1","","-6.1","","24.1","","0.0","","","","","","0.6","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-09","2025","01","09","","-4.7","","-9.3","","-7.0","","25.0","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-10","2025","01","10","","-2.2","","-19.1","","-10.7","","28.7","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-11","2025","01","11","","-10.8","","-20.3","","-15.6","","33.6","","0.0","","","","","","0.0","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-12","2025","01","12","","-10.8","","-22.4","","-16.6","","34.6","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-13","2025","01","13","","-12.3","","-19.7","","-16.0","","34.0","","0.0","","","","","","0.0","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-14","2025","01","14","","-11.0","","-22.7","","-16.9","","34.9","","0.0","","","","","","0.0","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-15","2025","01","15","","-12.0","","-27.3","","-19.7","","37.7","","0.0","","","","","","0.1","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-16","2025","01","16","","-13.4","","-21.2","","-17.3","","35.3","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-17","2025","01","17","","-9.5","","-13.4","","-11.5","","29.5","","0.0","","","","","","0.9","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-18","2025","01","18","","-3.9","","-18.4","","-11.2","","29.2","","0.0","","","","","","10.3","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-19","2025","01","19","","-18.4","","-32.9","","-25.7","","43.7","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-20","2025","01","20","","-25.0","","-38.9","","-32.0","","50.0","","0.0","","","","","","0.0","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-21","2025","01","21","","-28.1","","-38.9","","-33.5","","51.5","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-22","2025","01","22","","-21.1","","-39.5","","-30.3","","48.3","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-23","2025","01","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-24","2025","01","24","","-17.8","","-26.6","","-22.2","","40.2","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-25","2025","01","25","","-15.7","","-23.0","","-19.4","","37.4","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-26","2025","01","26","","-12.5","","-23.0","","-17.8","","35.8","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-27","2025","01","27","","-7.5","","-22.1","","-14.8","","32.8","","0.0","","","","","","7.7","","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-28","2025","01","28","","-20.5","","-34.8","","-27.7","","45.7","","0.0","","","","","","","M","","","","M","","M"
"-71.11","51.53","LAC BENOIT","706I001","2025-01-29","2025","01","29","","-22.6","","-41.9","","-32.3","","50.3","","0.0","","","","","","0.3","","","","","M","","M"
