"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-01","2025","01","01","","-5.1","","-10.0","","-7.5","","25.5","","0.0","","","","","","1.9","","15","","21","","35",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-02","2025","01","02","","-4.2","","-6.5","","-5.3","","23.3","","0.0","","","","","","7.4","","17","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-03","2025","01","03","","-2.7","","-6.5","","-4.6","","22.6","","0.0","","","","","","9.1","","27","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-04","2025","01","04","","","M","","M","","M","","M","","M","","","","","","M","34","","","M","","M"
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-05","2025","01","05","","-17.3","","-26.6","","-21.9","","39.9","","0.0","","","","","","0.0","","34","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-06","2025","01","06","","-8.5","","-26.2","","-17.3","","35.3","","0.0","","","","","","0.1","","33","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-07","2025","01","07","","-6.7","","-9.7","","-8.2","","26.2","","0.0","","","","","","2.2","","32","","34","","32",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-08","2025","01","08","","-6.7","","-10.8","","-8.7","","26.7","","0.0","","","","","","1.3","","34","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-09","2025","01","09","","-8.3","","-11.1","","-9.7","","27.7","","0.0","","","","","","0.3","","33","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-10","2025","01","10","","-10.4","","-19.4","","-14.9","","32.9","","0.0","","","","","","0.1","","33","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-11","2025","01","11","","-9.5","","-18.9","","-14.2","","32.2","","0.0","","","","","","0.0","","32","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-12","2025","01","12","","-10.0","","-15.1","","-12.6","","30.6","","0.0","","","","","","0.0","","32","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-13","2025","01","13","","-11.9","","-15.3","","-13.6","","31.6","","0.0","","","","","","0.0","","31","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-14","2025","01","14","","-9.8","","-13.5","","-11.7","","29.7","","0.0","","","","","","0.3","","31","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-15","2025","01","15","","-10.4","","-18.0","","-14.2","","32.2","","0.0","","","","","","0.0","","34","","17","","32",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-16","2025","01","16","","-10.4","","-16.6","","-13.5","","31.5","","0.0","","","","","","0.4","","33","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-17","2025","01","17","","-10.0","","-14.2","","-12.1","","30.1","","0.0","","","","","","1.3","","35","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-18","2025","01","18","","-2.0","","-22.9","","-12.4","","30.4","","0.0","","","","","","3.1","","38","","24","","52",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-19","2025","01","19","","-22.9","","-30.7","","-26.8","","44.8","","0.0","","","","","","0.0","","30","","23","","42",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-20","2025","01","20","","-28.0","","-35.8","","-31.9","","49.9","","0.0","","","","","","0.0","","29","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-21","2025","01","21","","-31.1","","-34.6","","-32.9","","50.9","","0.0","","","","","","0.0","","30","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-22","2025","01","22","","-20.6","","-34.3","","-27.4","","45.4","","0.0","","","","","","0.0","","29","","","","",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-23","2025","01","23","","-16.5","","-21.5","","-19.0","","37.0","","0.0","","","","","","0.1","","30","","24","","38",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-24","2025","01","24","","-16.7","","-20.9","","-18.8","","36.8","","0.0","","","","","","0.0","","29","","25","","37",""
"-73.68","53.76","LA GRANDE IV","7093GJ5","2025-01-25","2025","01","25","","-12.7","","-19.6","","-16.2","","34.2","","0.0","","","","","","0.0","","29","","21","","47",""
