"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-01","2025","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-02","2025","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-03","2025","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-04","2025","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-05","2025","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-06","2025","01","06","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-07","2025","01","07","","-5.6","","-10.8","","-8.2","","26.2","","0.0","","","","","","","M","","","1","","59",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-08","2025","01","08","","-10.0","","-13.3","","-11.7","","29.7","","0.0","","","","","","","M","","","34","","35",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-09","2025","01","09","","-7.8","","-13.3","","-10.6","","28.6","","0.0","","","","","","","M","","","","M","","M"
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-10","2025","01","10","","-8.5","","-14.4","","-11.5","","29.5","","0.0","","","","","","","M","","","8","","46",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-11","2025","01","11","","-5.4","","-11.2","","-8.3","","26.3","","0.0","","","","","","","M","","","7","","56",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-12","2025","01","12","","-8.1","","-15.4","","-11.8","","29.8","","0.0","","","","","","","M","","","10","","52",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-13","2025","01","13","","-6.9","","-9.1","","-8.0","","26.0","","0.0","","","","","","","M","","","","M","","M"
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-14","2025","01","14","","-7.7","","-14.2","","-11.0","","29.0","","0.0","","","","","","","M","","","7","","39",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-15","2025","01","15","","-7.4","","-13.6","","-10.5","","28.5","","0.0","","","","","","","M","","","21","","59",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-16","2025","01","16","","-9.8","","-14.3","","-12.1","","30.1","","0.0","","","","","","","M","","","17","","49",""
"-76.52","56.54","UMIUJAQ A","7108564","2025-01-17","2025","01","17","","-7.5","","-12.5","","-10.0","","28.0","","0.0","","","","","","","M","","","24","","70",""
