"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-103.80","49.70","WEYBURN","401HP5R","2025-01-01","2025","01","01","","-13.0","","-19.8","","-16.4","","34.4","","0.0","","","","","","0.0","","19","","31","","37",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-02","2025","01","02","","-19.7","","-26.4","","-23.1","","41.1","","0.0","","","","","","0.0","","19","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-03","2025","01","03","","-25.8","","-31.2","","-28.5","","46.5","","0.0","","","","","","0.0","","19","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-04","2025","01","04","","-23.1","","-30.1","","-26.6","","44.6","","0.0","","","","","","0.0","","19","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-05","2025","01","05","","-19.0","","-26.7","","-22.9","","40.9","","0.0","","","","","","0.0","","19","","14","","34",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-06","2025","01","06","","-15.2","","-21.2","","-18.2","","36.2","","0.0","","","","","","0.2","","19","","35","","35",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-07","2025","01","07","","-9.7","","-17.1","","-13.4","","31.4","","0.0","","","","","","0.0","","24","","","","",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-08","2025","01","08","","0.4","","-13.9","","-6.7","","24.7","","0.0","","","","","","0.0","","23","","34","","47",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-09","2025","01","09","","-4.2","","-12.6","","-8.4","","26.4","","0.0","","","","","","0.0","","21","","31","","45",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-10","2025","01","10","","-4.8","","-19.0","","-11.9","","29.9","","0.0","","","","","","0.4","","21","","16","","41",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-11","2025","01","11","","-3.5","","-21.5","","-12.5","","30.5","","0.0","","","","","","2.5","","26","","36","","53",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-12","2025","01","12","","-19.2","","-27.9","","-23.6","","41.6","","0.0","","","","","","0.0","","29","","32","","45",""
"-103.80","49.70","WEYBURN","401HP5R","2025-01-13","2025","01","13","","-20.6","","-30.4","","-25.5","","43.5","","0.0","","","","","","0.0","","28","","","","",""
