"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-01","2025","01","01","","-11.8","","-20.2","","-16.0","","34.0","","0.0","","","","","","0.0","","","","30","","32",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-02","2025","01","02","","-15.5","","-22.3","","-18.9","","36.9","","0.0","","","","","","0.2","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-03","2025","01","03","","-19.8","","-28.3","","-24.0","","42.0","","0.0","","","","","","0.4","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-04","2025","01","04","","-19.4","","-24.7","","-22.1","","40.1","","0.0","","","","","","0.0","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-05","2025","01","05","","-12.8","","-21.0","","-16.9","","34.9","","0.0","","","","","","0.0","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-06","2025","01","06","","-11.3","","-17.2","","-14.3","","32.3","","0.0","","","","","","0.0","","","","33","","34",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-07","2025","01","07","","-8.0","","-17.4","","-12.7","","30.7","","0.0","","","","","","0.2","","","","23","","33",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-08","2025","01","08","","2.2","","-11.8","","-4.8","","22.8","","0.0","","","","","","0.0","","","","32","","58",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-09","2025","01","09","","-2.0","","-11.1","","-6.5","","24.5","","0.0","","","","","","0.0","","","","32","","47",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-10","2025","01","10","","0.5","","-17.4","","-8.5","","26.5","","0.0","","","","","","0.2","","","","31","","49",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-11","2025","01","11","","1.2","","-18.5","","-8.7","","26.7","","0.0","","","","","","0.2","","","","33","","57",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-12","2025","01","12","","-17.3","","-28.6","","-22.9","","40.9","","0.0","","","","","","0.2","","","","33","","44",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-13","2025","01","13","","-9.9","","-29.1","","-19.5","","37.5","","0.0","","","","","","1.2","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-14","2025","01","14","","-1.1","","-18.8","","-9.9","","27.9","","0.0","","","","","","0.4","","1","","23","","36",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-15","2025","01","15","","3.1","","-5.1","","-1.0","","19.0","","0.0","","","","","","0.0","","1","","29","","51",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-16","2025","01","16","","5.0","","-7.0","","-1.0","","19.0","","0.0","","","","","","0.0","","","","29","","63",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-17","2025","01","17","","0.4","","-16.7","","-8.2","","26.2","","0.0","","","","","","0.0","","","","29","","69",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-18","2025","01","18","","-16.7","","-29.0","","-22.8","","40.8","","0.0","","","","","","0.0","","","","32","","48",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-19","2025","01","19","","-22.1","","-33.0","","-27.5","","45.5","","0.0","","","","","","0.5","","","","31","","51",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-20","2025","01","20","","-19.7","","-32.5","","-26.1","","44.1","","0.0","","","","","","0.0","","","","31","","36",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-21","2025","01","21","","-1.4","","-19.9","","-10.7","","28.7","","0.0","","","","","","0.0","","","","29","","55",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-22","2025","01","22","","-3.4","","-11.9","","-7.6","","25.6","","0.0","","","","","","0.0","","","","31","","52",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-23","2025","01","23","","-2.1","","-10.8","","-6.4","","24.4","","0.0","","","","","","0.0","","","","33","","46",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-24","2025","01","24","","-1.3","","-11.5","","-6.4","","24.4","","0.0","","","","","","0.2","","","","32","","72",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-25","2025","01","25","","-6.7","","-16.0","","-11.3","","29.3","","0.0","","","","","","0.2","","","","31","","53",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-26","2025","01","26","","-3.8","","-12.8","","-8.3","","26.3","","0.0","","","","","","0.0","","","","24","","52",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-27","2025","01","27","","2.0","","-5.2","","-1.6","","19.6","","0.0","","","","","","0.0","","","","25","","52",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-28","2025","01","28","","2.9","","-2.6","","0.2","","17.8","","0.0","","","","","","0.0","","","","27","","59",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-29","2025","01","29","","0.8","","-10.2","","-4.7","","22.7","","0.0","","","","","","0.0","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-30","2025","01","30","","0.8","","-13.1","","-6.2","","24.2","","0.0","","","","","","0.0","","","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-01-31","2025","01","31","","-5.9","","-11.0","","-8.4","","26.4","","0.0","","","","","","0.0","","","","12","","49",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-01","2025","02","01","","2.9","","-15.8","","-6.4","","24.4","","0.0","","","","","","0.2","","","","30","","58",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-02","2025","02","02","","-15.6","","-25.0","","-20.3","","38.3","","0.0","","","","","","0.2","","","","31","","48",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-03","2025","02","03","","-23.2","","-29.1","","-26.1","","44.1","","0.0","","","","","","0.2","","","","31","","51",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-04","2025","02","04","","-17.2","","-24.1","","-20.7","","38.7","","0.0","","","","","","3.0","","","","12","","33",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-05","2025","02","05","","-16.6","","-27.4","","-22.0","","40.0","","0.0","","","","","","5.7","","3","","29","","36",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-06","2025","02","06","","-14.2","","-27.5","","-20.8","","38.8","","0.0","","","","","","0.0","","18","","29","","52",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-07","2025","02","07","","","M","","M","","M","","M","","M","","","","","","M","18","","","M","","M"
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-08","2025","02","08","","-14.1","","-23.4","","-18.8","","36.8","","0.0","","","","","","0.0","","17","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-09","2025","02","09","","-13.9","","-26.4","","-20.2","","38.2","","0.0","","","","","","0.2","","17","","30","","47",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-10","2025","02","10","","-24.3","","-33.2","","-28.7","","46.7","","0.0","","","","","","0.0","","15","","29","","48",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-11","2025","02","11","","-18.9","","-32.6","","-25.8","","43.8","","0.0","","","","","","0.3","","14","","21","","40",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-12","2025","02","12","","-21.4","","-34.2","","-27.8","","45.8","","0.0","","","","","","0.0","","14","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-13","2025","02","13","","-16.7","","-25.6","","-21.2","","39.2","","0.0","","","","","","0.0","","14","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-14","2025","02","14","","-19.6","","-23.2","","-21.4","","39.4","","0.0","","","","","","0.3","","14","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-15","2025","02","15","","","M","","M","","M","","M","","M","","","","","","M","15","","","M","","M"
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-16","2025","02","16","","-23.6","","-35.0","","-29.3","","47.3","","0.0","","","","","","0.0","","16","","29","","35",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-17","2025","02","17","","-26.7","","-39.8","","-33.3","","51.3","","0.0","","","","","","0.6","","16","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-18","2025","02","18","","-26.1","","-41.1","","-33.6","","51.6","","0.0","","","","","","0.0","","16","","","","",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-19","2025","02","19","","-22.5","","-38.2","","-30.4","","48.4","","0.0","","","","","","0.0","","16","","14","","31",""
"-105.48","49.05","CORONACH SPC","40318MN","2025-02-20","2025","02","20","","-15.6","","-29.9","","-22.8","","40.8","","0.0","","","","","","0.0","","16","","16","","31",""
