"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-01","2025","01","01","","-17.5","","-23.8","","-20.6","","38.6","","0.0","","","","","","0.0","","19","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-02","2025","01","02","","-18.7","","-34.1","","-26.4","","44.4","","0.0","","","","","","0.1","","21","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-03","2025","01","03","","-25.8","","-37.9","","-31.8","","49.8","","0.0","","","","","","0.0","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-04","2025","01","04","","-18.8","","-37.8","","-28.3","","46.3","","0.0","","","","","","0.0","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-05","2025","01","05","","-15.7","","-23.3","","-19.5","","37.5","","0.0","","","","","","0.0","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-06","2025","01","06","","-14.4","","-32.1","","-23.3","","41.3","","0.0","","","","","","0.0","","18","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-07","2025","01","07","","1.4","","-20.2","","-9.4","","27.4","","0.0","","","","","","0.0","","21","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-08","2025","01","08","","3.4","","-3.3","","0.1","","17.9","","0.0","","","","","","0.0","","19","","27","","49",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-09","2025","01","09","","-1.2","","-18.3","","-9.8","","27.8","","0.0","","","","","","0.0","","19","","26","","32",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-10","2025","01","10","","0.2","","-10.7","","-5.3","","23.3","","0.0","","","","","","1.7","","20","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-11","2025","01","11","","0.2","","-29.2","","-14.5","","32.5","","0.0","","","","","","","M","19","","35","","39",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-12","2025","01","12","","-13.2","","-31.2","","-22.2","","40.2","","0.0","","","","","","0.2","","19","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-13","2025","01","13","","-7.7","","-13.2","","-10.4","","28.4","","0.0","","","","","","0.1","","19","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-14","2025","01","14","","1.6","","-12.1","","-5.3","","23.3","","0.0","","","","","","0.0","","19","","23","","48",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-15","2025","01","15","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-16","2025","01","16","","0.4","","-8.5","","-4.1","","22.1","","0.0","","","","","","4.3","","18","","2","","54",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-17","2025","01","17","","-8.5","","-24.9","","-16.7","","34.7","","0.0","","","","","","0.0","","18","","36","","43",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-18","2025","01","18","","-22.7","","-32.2","","-27.4","","45.4","","0.0","","","","","","0.0","","18","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-19","2025","01","19","","-24.4","","-36.3","","-30.4","","48.4","","0.0","","","","","","0.0","","17","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-20","2025","01","20","","-13.7","","-39.2","","-26.4","","44.4","","0.0","","","","","","0.0","","17","","22","","45",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-21","2025","01","21","","-1.4","","-13.7","","-7.5","","25.5","","0.0","","","","","","0.0","","18","","28","","53",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-22","2025","01","22","","-6.3","","-13.4","","-9.9","","27.9","","0.0","","","","","","0.0","","18","","31","","41",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-23","2025","01","23","","0.6","","-12.9","","-6.2","","24.2","","0.0","","","","","","0.9","","17","","23","","48",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-24","2025","01","24","","-0.6","","-11.8","","-6.2","","24.2","","0.0","","","","","","0.2","","18","","32","","66",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-25","2025","01","25","","-4.5","","-14.7","","-9.6","","27.6","","0.0","","","","","","0.0","","17","","23","","31",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-26","2025","01","26","","1.2","","-10.2","","-4.5","","22.5","","0.0","","","","","","0.0","","17","","24","","36",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-27","2025","01","27","","4.1","","-3.8","","0.1","","17.9","","0.0","","","","","","0.0","","17","","25","","41",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-28","2025","01","28","","4.4","","-5.2","","-0.4","","18.4","","0.0","","","","","","0.0","","17","","28","","55",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-29","2025","01","29","","-0.7","","-7.6","","-4.2","","22.2","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-30","2025","01","30","","-2.0","","-22.5","","-12.3","","30.3","","0.0","","","","","","0.0","","16","","1","","39",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-01-31","2025","01","31","","-15.6","","-22.6","","-19.1","","37.1","","0.0","","","","","","1.9","","16","","11","","40",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-01","2025","02","01","","-16.2","","-21.2","","-18.7","","36.7","","0.0","","","","","","2.5","","24","","30","","42",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-02","2025","02","02","","-21.1","","-31.2","","-26.2","","44.2","","0.0","","","","","","0.0","","16","","28","","35",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-03","2025","02","03","","-23.8","","-34.5","","-29.1","","47.1","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-04","2025","02","04","","-19.7","","-37.2","","-28.5","","46.5","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-05","2025","02","05","","-17.3","","-27.3","","-22.3","","40.3","","0.0","","","","","","0.0","","15","","25","","32",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-06","2025","02","06","","-10.5","","-19.8","","-15.1","","33.1","","0.0","","","","","","0.2","","16","","34","","37",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-07","2025","02","07","","-14.8","","-23.8","","-19.3","","37.3","","0.0","","","","","","0.0","","16","","34","","39",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-08","2025","02","08","","-13.5","","-26.8","","-20.2","","38.2","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-09","2025","02","09","","-16.8","","-32.2","","-24.5","","42.5","","0.0","","","","","","0.2","","16","","31","","40",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-10","2025","02","10","","-18.7","","-31.8","","-25.3","","43.3","","0.0","","","","","","0.0","","16","","23","","33",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-11","2025","02","11","","-19.6","","-33.7","","-26.7","","44.7","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-12","2025","02","12","","-16.8","","-33.5","","-25.2","","43.2","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-13","2025","02","13","","-19.7","","-30.5","","-25.1","","43.1","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-14","2025","02","14","","-23.0","","-36.2","","-29.6","","47.6","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-15","2025","02","15","","-17.6","","-40.9","","-29.2","","47.2","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-16","2025","02","16","","-24.6","","-39.2","","-31.9","","49.9","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-17","2025","02","17","","-22.2","","-39.9","","-31.0","","49.0","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-18","2025","02","18","","-20.5","","-42.7","","-31.6","","49.6","","0.0","","","","","","0.0","","16","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-19","2025","02","19","","-14.3","","-42.3","","-28.3","","46.3","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-20","2025","02","20","","-12.4","","-30.6","","-21.5","","39.5","","0.0","","","","","","0.0","","16","","23","","35",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-21","2025","02","21","","2.0","","-19.6","","-8.8","","26.8","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-22","2025","02","22","","3.2","","-12.0","","-4.4","","22.4","","0.0","","","","","","0.0","","15","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-23","2025","02","23","","8.0","","-11.0","","-1.5","","19.5","","0.0","","","","","","0.0","","15","","27","","65",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-24","2025","02","24","","2.8","","-7.5","","-2.3","","20.3","","0.0","","","","","","0.0","","8","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-25","2025","02","25","","2.1","","-7.8","","-2.8","","20.8","","0.0","","","","","","0.0","","7","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-26","2025","02","26","","6.8","","-3.8","","1.5","","16.5","","0.0","","","","","","0.0","","7","","26","","33",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-27","2025","02","27","","7.7","","-2.7","","2.5","","15.5","","0.0","","","","","","0.0","","6","","29","","53",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-02-28","2025","02","28","","0.4","","-7.6","","-3.6","","21.6","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-01","2025","03","01","","5.3","","-10.5","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-02","2025","03","02","","9.7","","-2.8","","3.5","","14.5","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-03","2025","03","03","","0.8","","-3.6","","-1.4","","19.4","","0.0","","","","","","0.0","","","","34","","33",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-04","2025","03","04","","3.2","","-6.0","","-1.4","","19.4","","0.0","","","","","","0.0","","","","23","","34",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-05","2025","03","05","","-0.3","","-7.8","","-4.0","","22.0","","0.0","","","","","","0.1","","","","34","","41",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-06","2025","03","06","","3.8","","-9.3","","-2.7","","20.7","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-07","2025","03","07","","7.4","","-3.9","","1.7","","16.3","","0.0","","","","","","0.0","","","","25","","32",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-08","2025","03","08","","10.1","","-0.6","","4.7","","13.3","","0.0","","","","","","0.0","","","","26","","37",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-09","2025","03","09","","-0.3","","-16.9","","-8.6","","26.6","","0.0","","","","","","0.3","","","","3","","31",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-10","2025","03","10","","-9.8","","-20.5","","-15.2","","33.2","","0.0","","","","","","0.2","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-11","2025","03","11","","-0.4","","-9.9","","-5.1","","23.1","","0.0","","","","","","0.6","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-12","2025","03","12","","-5.0","","-10.6","","-7.8","","25.8","","0.0","","","","","","0.1","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-13","2025","03","13","","-8.4","","-12.7","","-10.5","","28.5","","0.0","","","","","","2.1","","","","8","","43",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-14","2025","03","14","","-9.9","","-13.3","","-11.6","","29.6","","0.0","","","","","","0.3","","2","","33","","33",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-15","2025","03","15","","-8.0","","-20.0","","-14.0","","32.0","","0.0","","","","","","0.0","","3","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-16","2025","03","16","","-7.7","","-22.4","","-15.1","","33.1","","0.0","","","","","","0.0","","2","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-17","2025","03","17","","-2.1","","-17.3","","-9.7","","27.7","","0.0","","","","","","0.1","","3","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-18","2025","03","18","","-1.4","","-10.1","","-5.7","","23.7","","0.0","","","","","","0.0","","1","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-19","2025","03","19","","6.3","","-12.0","","-2.9","","20.9","","0.0","","","","","","0.0","","1","","23","","35",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-20","2025","03","20","","0.5","","-9.5","","-4.5","","22.5","","0.0","","","","","","0.0","","","","3","","34",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-21","2025","03","21","","-0.4","","-14.8","","-7.6","","25.6","","0.0","","","","","","0.0","","","","11","","33",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-22","2025","03","22","","1.1","","-9.8","","-4.4","","22.4","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-23","2025","03","23","","8.5","","-5.1","","1.7","","16.3","","0.0","","","","","","0.0","","","","","","",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-24","2025","03","24","","7.3","","-5.3","","1.0","","17.0","","0.0","","","","","","0.0","","","","31","","47",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-25","2025","03","25","","10.1","","-1.8","","4.1","","13.9","","0.0","","","","","","0.0","","","","26","","35",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-26","2025","03","26","","2.2","","-3.8","","-0.8","","18.8","","0.0","","","","","","0.0","","","","2","","31",""
"-108.52","54.13","MEADOW LAKE","406N0NM","2025-03-27","2025","03","27","","-2.1","","-6.2","","-4.1","","22.1","","0.0","","","","","","2.1","","","","4","","38",""
