source_file,climate_id,station_name,lon,lat,n_rows_source,n_days_expected,n_days_scored,missing_tmax,missing_tmin,missing_prcp,n_quality_flagged,n_trace_precip,n_duplicate_dates,status,reason,stndata_file
climate_daily_AB_3010815_2026_P1D.csv,3010815,BRETON,-114.48,53.17,365,365,365,365,365,354,218,11,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/354),transformed/bad/2026_CAE03010815.stndata
climate_daily_AB_3011120_2026_P1D.csv,3011120,CALMAR,-113.86,53.29,365,365,365,365,365,364,4,1,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/364),transformed/bad/2026_CAE03011120.stndata
climate_daily_AB_3011240_2026_P1D.csv,3011240,CAMROSE,-112.82,53.05,365,365,365,106,106,106,0,0,0,GOOD,,transformed/good/2026_CAE03011240.stndata
climate_daily_AB_3011887_2026_P1D.csv,3011887,CORONATION CLIMATE,-111.45,52.07,365,365,365,112,112,153,0,0,0,GOOD,,transformed/good/2026_CAE03011887.stndata
climate_daily_AB_3011953_2026_P1D.csv,3011953,DAKOTA WEST,-113.95,52.75,365,365,365,365,365,355,96,10,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/355),transformed/bad/2026_CAE03011953.stndata
climate_daily_AB_3012206_2026_P1D.csv,3012206,EDMONTON INTERNATIONAL CS,-113.61,53.31,365,365,365,115,115,115,0,0,0,GOOD,,transformed/good/2026_CAE03012206.stndata
climate_daily_AB_3012209_2026_P1D.csv,3012209,EDMONTON BLATCHFORD,-113.52,53.57,365,365,365,111,111,111,0,0,0,GOOD,,transformed/good/2026_CAE03012209.stndata
climate_daily_AB_3012216_2026_P1D.csv,3012216,EDMONTON INTL A,-113.58,53.31,365,365,365,106,106,105,0,62,0,GOOD,,transformed/good/2026_CAE03012216.stndata
climate_daily_AB_3012229_2026_P1D.csv,3012229,EDMONTON VILLENEUVE A,-113.86,53.67,365,365,365,107,107,106,0,0,0,GOOD,,transformed/good/2026_CAE03012229.stndata
climate_daily_AB_301222F_2026_P1D.csv,301222F,EDMONTON STONY PLAIN UA,-114.11,53.55,365,365,365,365,365,356,111,9,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/356),transformed/bad/2026_CAE0301222F.stndata
climate_daily_AB_3012275_2026_P1D.csv,3012275,ELK ISLAND NAT PARK,-112.87,53.68,365,365,365,106,106,107,0,0,0,GOOD,,transformed/good/2026_CAE03012275.stndata
climate_daily_AB_3012515_2026_P1D.csv,3012515,FABYAN,-111.0,52.97,365,365,365,365,365,354,255,11,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/354),transformed/bad/2026_CAE03012515.stndata
climate_daily_AB_3012710_2026_P1D.csv,3012710,FORT SASKATCHEWAN,-113.18,53.72,365,365,365,365,365,362,101,3,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/362),transformed/bad/2026_CAE03012710.stndata
climate_daily_AB_3013959_2026_P1D.csv,3013959,LLOYDMINSTER,-110.07,53.31,365,365,365,105,105,106,0,0,0,GOOD,,transformed/good/2026_CAE03013959.stndata
climate_daily_AB_3013961_2026_P1D.csv,3013961,LLOYDMINSTER A,-110.07,53.31,365,365,365,365,365,346,256,19,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/346),transformed/bad/2026_CAE03013961.stndata
climate_daily_AB_3014600_2026_P1D.csv,3014600,MONITOR,-110.55,52.02,365,365,365,365,365,362,258,3,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/362),transformed/bad/2026_CAE03014600.stndata
climate_daily_AB_3015401_2026_P1D.csv,3015401,RANFURLY AUTO,-111.73,53.42,365,365,365,106,106,106,0,0,0,GOOD,,transformed/good/2026_CAE03015401.stndata
climate_daily_AB_3015523_2026_P1D.csv,3015523,ROCKY MTN HOUSE (AUT),-114.91,52.42,365,365,365,105,105,105,0,0,0,GOOD,,transformed/good/2026_CAE03015523.stndata
climate_daily_AB_3016650_2026_P1D.csv,3016650,UNCAS,-113.03,53.5,365,365,365,365,365,333,259,32,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/333),transformed/bad/2026_CAE03016650.stndata
climate_daily_AB_3016GF0_2026_P1D.csv,3016GF0,VEGREVILLE,-112.1,53.51,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE03016GF0.stndata
climate_daily_AB_301A001_2026_P1D.csv,301A001,EDMONTON STONY PLAIN CS,-114.11,53.55,365,365,365,105,105,105,0,0,0,GOOD,,transformed/good/2026_CAE0301A001.stndata
climate_daily_AB_301B460_2026_P1D.csv,301B460,ESTHER 1,-110.21,51.67,365,365,365,112,112,113,0,0,0,GOOD,,transformed/good/2026_CAE0301B460.stndata
climate_daily_AB_301S001_2026_P1D.csv,301S001,WAINWRIGHT CFB AIRFIELD 21,-111.1,52.83,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE0301S001.stndata
climate_daily_AB_30221LG_2026_P1D.csv,30221LG,DRUMHELLER EAST,-112.68,51.45,365,365,365,105,105,105,0,0,0,GOOD,,transformed/good/2026_CAE030221LG.stndata
climate_daily_AB_3023722_2026_P1D.csv,3023722,LACOMBE CDA 2,-113.76,52.45,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE03023722.stndata
climate_daily_AB_3025484_2026_P1D.csv,3025484,RED DEER REGIONAL A,-113.89,52.18,365,365,365,114,114,116,0,0,0,GOOD,,transformed/good/2026_CAE03025484.stndata
climate_daily_AB_3026KNQ_2026_P1D.csv,3026KNQ,SUNDRE A,-114.68,51.78,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE03026KNQ.stndata
climate_daily_AB_3030768_2026_P1D.csv,3030768,BOW ISLAND,-111.45,49.73,365,365,365,106,106,106,0,0,0,GOOD,,transformed/good/2026_CAE03030768.stndata
climate_daily_AB_3030QLP_2026_P1D.csv,3030QLP,BROOKS,-111.85,50.56,365,365,365,108,108,108,0,0,0,GOOD,,transformed/good/2026_CAE03030QLP.stndata
climate_daily_AB_3031092_2026_P1D.csv,3031092,CALGARY INTL A,-114.01,51.12,365,365,365,120,120,107,0,45,0,GOOD,,transformed/good/2026_CAE03031092.stndata
climate_daily_AB_3031094_2026_P1D.csv,3031094,CALGARY INT'L CS,-114.0,51.11,365,365,365,108,108,108,0,0,0,GOOD,,transformed/good/2026_CAE03031094.stndata
climate_daily_AB_3031109_2026_P1D.csv,3031109,CALGARY SPRINGBANK A,-114.37,51.11,365,365,365,106,106,127,0,0,0,GOOD,,transformed/good/2026_CAE03031109.stndata
climate_daily_AB_3031322_2026_P1D.csv,3031322,CARDSTON,-113.29,49.2,365,365,365,111,111,267,0,0,0,GOOD,,transformed/good/2026_CAE03031322.stndata
climate_daily_AB_3031402_2026_P1D.csv,3031402,CARWAY,-113.38,49.0,365,365,365,106,106,106,0,0,0,GOOD,,transformed/good/2026_CAE03031402.stndata
climate_daily_AB_3031640_2026_P1D.csv,3031640,CLARESHOLM,-113.64,50.0,365,365,365,130,130,130,0,0,0,GOOD,,transformed/good/2026_CAE03031640.stndata
climate_daily_AB_3031875_2026_P1D.csv,3031875,COP UPPER,-114.22,51.08,365,365,365,106,106,106,0,0,0,GOOD,,transformed/good/2026_CAE03031875.stndata
climate_daily_AB_3033875_2026_P1D.csv,3033875,LETHBRIDGE,-112.8,49.63,365,365,365,105,105,106,0,0,0,GOOD,,transformed/good/2026_CAE03033875.stndata
climate_daily_AB_3033890_2026_P1D.csv,3033890,LETHBRIDGE CDA,-112.77,49.7,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE03033890.stndata
climate_daily_AB_3033892_2026_P1D.csv,3033892,LETHBRIDGE CDA 2,-112.78,49.7,365,365,365,365,365,361,143,4,0,BAD,tmax/tmin/prcp all missing >= 180 days (365/365/361),transformed/bad/2026_CAE03033892.stndata
climate_daily_AB_3034479_2026_P1D.csv,3034479,MEDICINE HAT,-110.72,50.02,365,365,365,107,107,107,0,0,0,GOOD,,transformed/good/2026_CAE03034479.stndata
