"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-01","2026","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-02","2026","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-03","2026","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-04","2026","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-05","2026","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-06","2026","01","06","¿","","M","-21.0","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-07","2026","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-08","2026","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-09","2026","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-10","2026","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-11","2026","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-12","2026","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-13","2026","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-14","2026","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-15","2026","01","15","¿","0.0","","-14.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-16","2026","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-17","2026","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-18","2026","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-19","2026","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-113.18","53.72","FORT SASKATCHEWAN","3012710","2026-01-20","2026","01","20","","","","","","","","","","","","","","","","","","","","","","",""
