"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-01","2026","01","01","","-6.5","","-14.6","","-10.6","","28.6","","0.0","","","","","","4.7","","32","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-02","2026","01","02","","-14.6","","-17.2","","-15.9","","33.9","","0.0","","","","","","1.4","","37","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-03","2026","01","03","","-15.8","","-19.3","","-17.5","","35.5","","0.0","","","","","","1.2","","37","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-04","2026","01","04","","-17.4","","-20.8","","-19.1","","37.1","","0.0","","","","","","0.9","","40","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-05","2026","01","05","","-14.1","","-19.8","","-17.0","","35.0","","0.0","","","","","","0.2","","39","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-06","2026","01","06","","-2.9","","-18.0","","-10.4","","28.4","","0.0","","","","","","0.0","","38","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-07","2026","01","07","","-2.0","","-8.9","","-5.4","","23.4","","0.0","","","","","","0.0","","38","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-08","2026","01","08","","-2.8","","-9.7","","-6.2","","24.2","","0.0","","","","","","0.0","","37","","36","","37",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-09","2026","01","09","","-2.1","","-10.3","","-6.2","","24.2","","0.0","","","","","","0.0","","37","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-10","2026","01","10","","7.4","","-2.2","","2.6","","15.4","","0.0","","","","","","0.0","","37","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-11","2026","01","11","","6.6","","-1.6","","2.5","","15.5","","0.0","","","","","","0.0","","36","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-12","2026","01","12","","10.8","","1.3","","6.0","","12.0","","0.0","","","","","","0.0","","35","","27","","49",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-13","2026","01","13","","9.2","","3.5","","6.3","","11.7","","0.0","","","","","","0.0","","28","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-14","2026","01","14","","12.5","","1.8","","7.2","","10.8","","0.0","","","","","","0.0","","27","","30","","43",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-15","2026","01","15","","6.8","","-3.3","","1.7","","16.3","","0.0","","","","","","0.0","","26","","30","","69",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-16","2026","01","16","","-2.2","","-9.8","","-6.0","","24.0","","0.0","","","","","","0.0","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-17","2026","01","17","","7.7","","-9.9","","-1.1","","19.1","","0.0","","","","","","0.0","","25","","30","","49",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-18","2026","01","18","","3.4","","-10.8","","-3.7","","21.7","","0.0","","","","","","0.0","","25","","34","","42",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-19","2026","01","19","","-2.8","","-12.1","","-7.5","","25.5","","0.0","","","","","","0.3","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-20","2026","01","20","","0.5","","-5.1","","-2.3","","20.3","","0.0","","","","","","0.7","","25","","33","","58",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-21","2026","01","21","","-4.9","","-17.0","","-10.9","","28.9","","0.0","","","","","","0.0","","25","","29","","50",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-22","2026","01","22","","-16.7","","-27.3","","-22.0","","40.0","","0.0","","","","","","0.0","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-23","2026","01","23","","-14.5","","-28.3","","-21.4","","39.4","","0.0","","","","","","0.1","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-24","2026","01","24","","-14.5","","-19.2","","-16.9","","34.9","","0.0","","","","","","1.4","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-25","2026","01","25","","-3.0","","-22.4","","-12.7","","30.7","","0.0","","","","","","0.0","","25","","27","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-26","2026","01","26","","-11.7","","-16.8","","-14.2","","32.2","","0.0","","","","","","0.6","","26","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-27","2026","01","27","","0.1","","-12.3","","-6.1","","24.1","","0.0","","","","","","0.0","","26","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-28","2026","01","28","","-5.9","","-10.1","","-8.0","","26.0","","0.0","","","","","","0.0","","27","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-29","2026","01","29","","3.0","","-11.1","","-4.0","","22.0","","0.0","","","","","","0.0","","27","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-30","2026","01","30","","1.0","","-6.0","","-2.5","","20.5","","0.0","","","","","","0.0","","26","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-01-31","2026","01","31","","6.2","","-3.5","","1.4","","16.6","","0.0","","","","","","0.6","","26","","31","","48",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-01","2026","02","01","","-3.4","","-5.7","","-4.5","","22.5","","0.0","","","","","","1.1","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-02","2026","02","02","","5.9","","-3.7","","1.1","","16.9","","0.0","","","","","","0.5","","26","","27","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-03","2026","02","03","","5.1","","-1.2","","2.0","","16.0","","0.0","","","","","","0.0","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-04","2026","02","04","","10.1","","0.6","","5.3","","12.7","","0.0","","","","","","0.0","","25","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-05","2026","02","05","","11.0","","3.3","","7.2","","10.8","","0.0","","","","","","0.0","","23","","36","","38",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-06","2026","02","06","","6.0","","-1.9","","2.1","","15.9","","0.0","","","","","","0.0","","18","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-07","2026","02","07","","7.8","","0.3","","4.0","","14.0","","0.0","","","","","","0.0","","18","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-08","2026","02","08","","7.2","","0.9","","4.1","","13.9","","0.0","","","","","","0.2","","17","","27","","51",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-09","2026","02","09","","5.6","","-5.0","","0.3","","17.7","","0.0","","","","","","0.0","","15","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-10","2026","02","10","","6.0","","-3.3","","1.3","","16.7","","0.0","","","","","","0.0","","15","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-11","2026","02","11","","5.5","","-4.1","","0.7","","17.3","","0.0","","","","","","0.0","","16","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-12","2026","02","12","","6.1","","-2.5","","1.8","","16.2","","0.0","","","","","","0.0","","16","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-13","2026","02","13","","5.9","","-1.1","","2.4","","15.6","","0.0","","","","","","0.0","","15","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-14","2026","02","14","","2.8","","-3.7","","-0.4","","18.4","","0.0","","","","","","0.0","","15","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-15","2026","02","15","","1.1","","-7.4","","-3.1","","21.1","","0.0","","","","","","0.3","","15","","2","","31",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-16","2026","02","16","","-3.6","","-13.5","","-8.6","","26.6","","0.0","","","","","","1.8","","15","","7","","39",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-17","2026","02","17","","-13.5","","-23.5","","-18.5","","36.5","","0.0","","","","","","10.8","","29","","1","","41",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-18","2026","02","18","","-23.4","","-28.5","","-26.0","","44.0","","0.0","","","","","","0.2","","38","","31","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-19","2026","02","19","","-17.2","","-31.6","","-24.4","","42.4","","0.0","","","","","","0.0","","35","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-20","2026","02","20","","-13.5","","-25.5","","-19.5","","37.5","","0.0","","","","","","0.0","","33","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-21","2026","02","21","","-15.2","","-23.6","","-19.4","","37.4","","0.0","","","","","","0.0","","32","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-22","2026","02","22","","-14.9","","-18.8","","-16.9","","34.9","","0.0","","","","","","0.4","","32","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-23","2026","02","23","","-12.0","","-20.8","","-16.4","","34.4","","0.0","","","","","","2.3","","31","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-24","2026","02","24","","-2.0","","-14.4","","-8.2","","26.2","","0.0","","","","","","0.3","","33","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-25","2026","02","25","","5.9","","-3.9","","1.0","","17.0","","0.0","","","","","","0.0","","32","","27","","50",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-26","2026","02","26","","6.6","","-11.6","","-2.5","","20.5","","0.0","","","","","","0.4","","30","","29","","67",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-27","2026","02","27","","-11.6","","-19.0","","-15.3","","33.3","","0.0","","","","","","1.0","","29","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-02-28","2026","02","28","","-9.6","","-21.2","","-15.4","","33.4","","0.0","","","","","","0.0","","31","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-01","2026","03","01","","6.0","","-13.7","","-3.9","","21.9","","0.0","","","","","","0.0","","31","","2","","32",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-02","2026","03","02","","-2.9","","-14.4","","-8.6","","26.6","","0.0","","","","","","0.0","","30","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-03","2026","03","03","","-5.1","","-16.0","","-10.6","","28.6","","0.0","","","","","","0.5","","30","","4","","33",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-04","2026","03","04","","-9.9","","-16.9","","-13.4","","31.4","","0.0","","","","","","0.0","","31","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-05","2026","03","05","","5.2","","-13.7","","-4.3","","22.3","","0.0","","","","","","0.0","","30","","28","","42",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-06","2026","03","06","","7.3","","-2.6","","2.3","","15.7","","0.0","","","","","","0.0","","29","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-07","2026","03","07","","10.1","","2.7","","6.4","","11.6","","0.0","","","","","","0.1","","26","","31","","63",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-08","2026","03","08","","5.7","","-5.1","","0.3","","17.7","","0.0","","","","","","0.0","","18","","30","","85",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-09","2026","03","09","","0.0","","-8.0","","-4.0","","22.0","","0.0","","","","","","0.0","","17","","29","","36",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-10","2026","03","10","","-0.4","","-12.0","","-6.2","","24.2","","0.0","","","","","","0.0","","17","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-11","2026","03","11","","2.9","","-6.2","","-1.7","","19.7","","0.0","","","","","","0.0","","16","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-12","2026","03","12","","-3.2","","-15.2","","-9.2","","27.2","","0.0","","","","","","1.3","","16","","5","","31",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-13","2026","03","13","","-7.7","","-19.1","","-13.4","","31.4","","0.0","","","","","","0.0","","18","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-14","2026","03","14","","-10.9","","-17.4","","-14.2","","32.2","","0.0","","","","","","0.0","","19","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-15","2026","03","15","","-0.8","","-16.0","","-8.4","","26.4","","0.0","","","","","","0.0","","19","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-16","2026","03","16","","1.1","","-7.3","","-3.1","","21.1","","0.0","","","","","","2.4","","19","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-17","2026","03","17","","15.9","","0.4","","8.1","","9.9","","0.0","","","","","","0.2","","17","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-18","2026","03","18","","10.1","","1.9","","6.0","","12.0","","0.0","","","","","","0.0","","11","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-19","2026","03","19","","10.0","","0.6","","5.3","","12.7","","0.0","","","","","","12.2","","7","","1","","38",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-20","2026","03","20","","0.8","","-3.4","","-1.3","","19.3","","0.0","","","","","","3.3","","2","","8","","40",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-21","2026","03","21","","0.9","","-5.0","","-2.1","","20.1","","0.0","","","","","","1.1","","6","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-22","2026","03","22","","2.5","","-7.5","","-2.5","","20.5","","0.0","","","","","","0.0","","4","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-23","2026","03","23","","4.8","","-7.2","","-1.2","","19.2","","0.0","","","","","","0.0","","3","","34","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-24","2026","03","24","","-4.5","","-12.5","","-8.5","","26.5","","0.0","","","","","","1.8","","3","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-25","2026","03","25","","-10.6","","-13.9","","-12.2","","30.2","","0.0","","","","","","3.2","","7","","6","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-26","2026","03","26","","-8.2","","-15.3","","-11.7","","29.7","","0.0","","","","","","1.0","","11","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-27","2026","03","27","","1.1","","-16.0","","-7.4","","25.4","","0.0","","","","","","0.0","","10","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-28","2026","03","28","","-3.9","","-10.0","","-6.9","","24.9","","0.0","","","","","","0.0","","8","","36","","34",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-29","2026","03","29","","-6.2","","-12.2","","-9.2","","27.2","","0.0","","","","","","1.8","","8","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-30","2026","03","30","","-0.5","","-11.8","","-6.1","","24.1","","0.0","","","","","","0.1","","11","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-03-31","2026","03","31","","1.8","","-10.0","","-4.1","","22.1","","0.0","","","","","","0.0","","10","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-01","2026","04","01","","2.0","","-8.1","","-3.1","","21.1","","0.0","","","","","","0.0","","9","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-02","2026","04","02","","-0.3","","-3.0","","-1.6","","19.6","","0.0","","","","","","2.8","","8","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-03","2026","04","03","","6.2","","-3.5","","1.3","","16.7","","0.0","","","","","","0.1","","11","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-04","2026","04","04","","7.9","","-2.6","","2.6","","15.4","","0.0","","","","","","0.0","","6","","29","","41",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-05","2026","04","05","","1.1","","-3.5","","-1.2","","19.2","","0.0","","","","","","0.0","","3","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-06","2026","04","06","","1.8","","-2.0","","-0.1","","18.1","","0.0","","","","","","0.0","","2","","15","","46",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-07","2026","04","07","","3.4","","-2.3","","0.6","","17.4","","0.0","","","","","","4.0","","2","","32","","51",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-08","2026","04","08","","6.2","","-2.5","","1.8","","16.2","","0.0","","","","","","0.3","","4","","28","","33",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-09","2026","04","09","","7.7","","-2.5","","2.6","","15.4","","0.0","","","","","","0.0","","0","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-10","2026","04","10","","12.5","","-1.9","","5.3","","12.7","","0.0","","","","","","0.0","","","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-11","2026","04","11","","12.2","","-1.1","","5.5","","12.5","","0.0","","","","","","0.0","","0","","33","","33",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-12","2026","04","12","","2.4","","-1.5","","0.5","","17.5","","0.0","","","","","","0.0","","0","","34","","37",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-13","2026","04","13","","15.0","","-3.4","","5.8","","12.2","","0.0","","","","","","0.0","","0","","34","","56",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-14","2026","04","14","","5.1","","0.1","","2.6","","15.4","","0.0","","","","","","19.1","","0","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-15","2026","04","15","","0.2","","-7.4","","-3.6","","21.6","","0.0","","","","","","0.5","","2","","4","","32",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-16","2026","04","16","","-0.8","","-9.6","","-5.2","","23.2","","0.0","","","","","","0.3","","4","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-17","2026","04","17","","7.6","","-6.2","","0.7","","17.3","","0.0","","","","","","0.0","","2","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-18","2026","04","18","","12.9","","-0.9","","6.0","","12.0","","0.0","","","","","","0.0","","0","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-19","2026","04","19","","18.6","","0.2","","9.4","","8.6","","0.0","","","","","","0.0","","0","","27","","46",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-20","2026","04","20","","22.0","","4.8","","13.4","","4.6","","0.0","","","","","","0.0","","0","","24","","36",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-21","2026","04","21","","19.8","","6.1","","13.0","","5.0","","0.0","","","","","","0.0","","0","","6","","31",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-22","2026","04","22","","11.3","","0.8","","6.1","","11.9","","0.0","","","","","","0.0","","0","","32","","49",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-23","2026","04","23","","2.8","","-1.1","","0.9","","17.1","","0.0","","","","","","0.0","","0","","31","","65",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-24","2026","04","24","","2.4","","-3.9","","-0.8","","18.8","","0.0","","","","","","0.1","","0","","2","","64",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-25","2026","04","25","","-2.3","","-6.8","","-4.6","","22.6","","0.0","","","","","","3.9","","0","","35","","35",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-26","2026","04","26","","-0.2","","-6.8","","-3.5","","21.5","","0.0","","","","","","0.3","","6","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-27","2026","04","27","","7.8","","-8.8","","-0.5","","18.5","","0.0","","","","","","0.0","","2","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-28","2026","04","28","","12.3","","-3.7","","4.3","","13.7","","0.0","","","","","","0.0","","0","","","","",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-29","2026","04","29","","17.8","","0.3","","9.1","","8.9","","0.0","","","","","","0.0","","","","31","","32",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-04-30","2026","04","30","","22.6","","3.5","","13.1","","4.9","","0.0","","","","","","0.0","","","","23","","31",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-05-01","2026","05","01","","18.5","","8.0","","13.3","","4.7","","0.0","","","","","","0.0","","","","34","","36",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-05-02","2026","05","02","","21.8","","4.8","","13.3","","4.7","","0.0","","","","","","0.0","","","","27","","43",""
"-114.11","53.55","EDMONTON STONY PLAIN CS","301A001","2026-05-03","2026","05","03","","18.5","","7.2","","12.8","","5.2","","0.0","","","","","","0.0","","","","33","","54",""
