"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.21","51.67","ESTHER 1","301B460","2026-01-01","2026","01","01","","-9.0","","-15.2","","-12.1","","30.1","","0.0","","","","","","0.1","","12","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-02","2026","01","02","","-14.4","","-16.5","","-15.4","","33.4","","0.0","","","","","","0.0","","11","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-03","2026","01","03","","-12.6","","-18.6","","-15.6","","33.6","","0.0","","","","","","0.0","","11","","11","","41",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-04","2026","01","04","","-12.6","","-15.8","","-14.2","","32.2","","0.0","","","","","","0.0","","11","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-05","2026","01","05","","-13.6","","-21.9","","-17.8","","35.8","","0.0","","","","","","0.0","","10","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-06","2026","01","06","","-4.5","","-23.6","","-14.1","","32.1","","0.0","","","","","","0.0","","11","","24","","37",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-07","2026","01","07","","-3.8","","-15.4","","-9.6","","27.6","","0.0","","","","","","0.0","","11","","23","","37",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-08","2026","01","08","","-5.6","","-21.8","","-13.7","","31.7","","0.0","","","","","","0.0","","11","","23","","39",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-09","2026","01","09","","-6.6","","-14.4","","-10.5","","28.5","","0.0","","","","","","0.0","","10","","28","","33",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-10","2026","01","10","","3.7","","-7.0","","-1.6","","19.6","","0.0","","","","","","0.0","","11","","23","","41",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-11","2026","01","11","","3.9","","-3.2","","0.3","","17.7","","0.0","","","","","","0.0","","11","","24","","38",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-12","2026","01","12","","5.7","","-4.0","","0.8","","17.2","","0.0","","","","","","0.0","","11","","24","","46",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-13","2026","01","13","","5.5","","-0.1","","2.7","","15.3","","0.0","","","","","","0.0","","8","","26","","38",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-14","2026","01","14","","7.4","","-3.9","","1.7","","16.3","","0.0","","","","","","0.0","","7","","22","","35",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-15","2026","01","15","","3.6","","-3.8","","-0.1","","18.1","","0.0","","","","","","0.0","","7","","32","","98",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-16","2026","01","16","","-3.8","","-17.1","","-10.5","","28.5","","0.0","","","","","","0.0","","7","","32","","60",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-17","2026","01","17","","4.9","","-16.5","","-5.8","","23.8","","0.0","","","","","","0.0","","6","","21","","58",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-18","2026","01","18","","3.0","","-14.5","","-5.8","","23.8","","0.0","","","","","","0.0","","6","","34","","79",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-19","2026","01","19","","-8.9","","-16.0","","-12.4","","30.4","","0.0","","","","","","0.0","","5","","23","","32",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-20","2026","01","20","","-2.1","","-9.1","","-5.6","","23.6","","0.0","","","","","","0.5","","5","","32","","79",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-21","2026","01","21","","-4.9","","-14.2","","-9.5","","27.5","","0.0","","","","","","0.0","","5","","35","","64",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-22","2026","01","22","","-14.2","","-33.5","","-23.8","","41.8","","0.0","","","","","","0.0","","5","","36","","33",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-23","2026","01","23","","-20.9","","-36.4","","-28.7","","46.7","","0.0","","","","","","0.2","","5","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-24","2026","01","24","","-19.9","","-30.5","","-25.2","","43.2","","0.0","","","","","","0.1","","5","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-25","2026","01","25","","-8.0","","-32.9","","-20.4","","38.4","","0.0","","","","","","0.0","","5","","18","","55",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-26","2026","01","26","","-9.8","","-16.4","","-13.1","","31.1","","0.0","","","","","","0.0","","5","","33","","36",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-27","2026","01","27","","-6.8","","-17.1","","-12.0","","30.0","","0.0","","","","","","0.0","","5","","15","","31",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-28","2026","01","28","","-6.9","","-16.5","","-11.7","","29.7","","0.0","","","","","","0.0","","5","","12","","32",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-29","2026","01","29","","-3.6","","-10.2","","-6.9","","24.9","","0.0","","","","","","0.0","","5","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-30","2026","01","30","","0.1","","-9.5","","-4.7","","22.7","","0.0","","","","","","0.0","","5","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-01-31","2026","01","31","","5.5","","-3.5","","1.0","","17.0","","0.0","","","","","","1.1","","5","","30","","45",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-01","2026","02","01","","-0.6","","-6.2","","-3.4","","21.4","","0.0","","","","","","0.0","","4","","12","","46",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-02","2026","02","02","","4.9","","-5.5","","-0.3","","18.3","","0.0","","","","","","0.3","","4","","25","","33",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-03","2026","02","03","","4.9","","-7.1","","-1.1","","19.1","","0.0","","","","","","0.0","","1","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-04","2026","02","04","","8.8","","-2.8","","3.0","","15.0","","0.0","","","","","","0.0","","0","","22","","42",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-05","2026","02","05","","10.1","","0.7","","5.4","","12.6","","0.0","","","","","","0.0","","0","","22","","37",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-06","2026","02","06","","6.2","","-3.1","","1.6","","16.4","","0.0","","","","","","0.0","","0","","14","","35",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-07","2026","02","07","","11.7","","-0.8","","5.4","","12.6","","0.0","","","","","","0.0","","0","","16","","32",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-08","2026","02","08","","5.7","","-0.9","","2.4","","15.6","","0.0","","","","","","0.4","","0","","23","","42",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-09","2026","02","09","","5.0","","-5.4","","-0.2","","18.2","","0.0","","","","","","0.0","","0","","26","","31",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-10","2026","02","10","","6.0","","-7.5","","-0.8","","18.8","","0.0","","","","","","0.0","","0","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-11","2026","02","11","","6.7","","-5.3","","0.7","","17.3","","0.0","","","","","","0.0","","0","","23","","32",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-12","2026","02","12","","9.6","","-6.2","","1.7","","16.3","","0.0","","","","","","0.0","","0","","23","","33",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-13","2026","02","13","","5.8","","-6.5","","-0.4","","18.4","","0.0","","","","","","0.0","","0","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-14","2026","02","14","","4.4","","-6.1","","-0.9","","18.9","","0.0","","","","","","0.0","","0","","28","","34",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-15","2026","02","15","","3.9","","-7.2","","-1.7","","19.7","","0.0","","","","","","0.0","","0","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-16","2026","02","16","","1.2","","-10.4","","-4.6","","22.6","","0.0","","","","","","0.0","","0","","9","","59",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-17","2026","02","17","","-6.9","","-19.5","","-13.2","","31.2","","0.0","","","","","","0.6","","","","8","","53",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-18","2026","02","18","","-19.5","","-26.8","","-23.2","","41.2","","0.0","","","","","","0.0","","1","","32","","46",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-19","2026","02","19","","-17.9","","-27.2","","-22.5","","40.5","","0.0","","","","","","0.0","","1","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-20","2026","02","20","","-15.1","","-27.5","","-21.3","","39.3","","0.0","","","","","","0.0","","1","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-21","2026","02","21","","-11.1","","-26.0","","-18.6","","36.6","","0.0","","","","","","0.0","","1","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-22","2026","02","22","","-11.3","","-22.9","","-17.1","","35.1","","0.0","","","","","","0.0","","0","","","M","","M"
"-110.21","51.67","ESTHER 1","301B460","2026-02-23","2026","02","23","","-11.3","","-18.1","","-14.7","","32.7","","0.0","","","","","","0.2","","0","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-24","2026","02","24","","-2.9","","-14.1","","-8.5","","26.5","","0.0","","","","","","0.8","","1","","27","","32",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-25","2026","02","25","","6.2","","-6.7","","-0.3","","18.3","","0.0","","","","","","0.0","","1","","25","","41",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-26","2026","02","26","","10.1","","-6.9","","1.6","","16.4","","0.0","","","","","","0.0","","","","25","","63",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-27","2026","02","27","","-1.7","","-14.8","","-8.3","","26.3","","0.0","","","","","","0.5","","0","","32","","52",""
"-110.21","51.67","ESTHER 1","301B460","2026-02-28","2026","02","28","","-10.5","","-20.1","","-15.3","","33.3","","0.0","","","","","","1.0","","1","","","","",""
"-110.21","51.67","ESTHER 1","301B460","2026-03-01","2026","03","01","","0.6","","-20.6","","-10.0","","28.0","","0.0","","","","","","0.0","","","","24","","35",""
"-110.21","51.67","ESTHER 1","301B460","2026-03-02","2026","03","02","","-1.8","","-13.3","","-7.6","","25.6","","0.0","","","","","","0.0","","0","","10","","43",""
"-110.21","51.67","ESTHER 1","301B460","2026-03-03","2026","03","03","","-0.8","","-14.5","","-7.7","","25.7","","0.0","","","","","","0.0","","0","","6","","44",""
