"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-01","2026","01","01","","-9.5","","-15.5","","-12.5","","30.5","","0.0","","","","","","0.2","","9","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-02","2026","01","02","","-13.7","","-15.8","","-14.8","","32.8","","0.0","","","","","","0.5","","9","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-03","2026","01","03","","-15.6","","-18.5","","-17.0","","35.0","","0.0","","","","","","1.9","","9","","10","","33",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-04","2026","01","04","","-15.0","","-17.4","","-16.2","","34.2","","0.0","","","","","","0.0","","12","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-05","2026","01","05","","-15.2","","-22.6","","-18.9","","36.9","","0.0","","","","","","0.2","","11","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-06","2026","01","06","","-6.6","","-22.0","","-14.3","","32.3","","0.0","","","","","","0.0","","12","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-07","2026","01","07","","-5.0","","-17.2","","-11.1","","29.1","","0.0","","","","","","0.0","","11","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-08","2026","01","08","","-5.1","","-17.7","","-11.4","","29.4","","0.0","","","","","","0.0","","11","","29","","36",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-09","2026","01","09","","-6.0","","-13.7","","-9.9","","27.9","","0.0","","","","","","0.0","","11","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-10","2026","01","10","","2.9","","-7.3","","-2.2","","20.2","","0.0","","","","","","0.0","","12","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-11","2026","01","11","","3.7","","-4.1","","-0.2","","18.2","","0.0","","","","","","0.0","","12","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-12","2026","01","12","","7.6","","-4.2","","1.7","","16.3","","0.0","","","","","","0.0","","12","","27","","48",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-13","2026","01","13","","6.4","","0.1","","3.3","","14.7","","0.0","","","","","","0.0","","8","","31","","45",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-14","2026","01","14","","9.5","","-1.6","","3.9","","14.1","","0.0","","","","","","0.0","","6","","33","","60",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-15","2026","01","15","","5.8","","-4.2","","0.8","","17.2","","0.0","","","","","","0.0","","6","","32","","74",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-16","2026","01","16","","-4.1","","-17.1","","-10.6","","28.6","","0.0","","","","","","0.2","","6","","32","","50",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-17","2026","01","17","","5.0","","-15.1","","-5.0","","23.0","","0.0","","","","","","0.0","","6","","31","","54",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-18","2026","01","18","","2.9","","-15.5","","-6.3","","24.3","","0.0","","","","","","0.0","","4","","35","","58",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-19","2026","01","19","","-8.7","","-18.6","","-13.6","","31.6","","0.0","","","","","","0.0","","4","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-20","2026","01","20","","-2.2","","-8.7","","-5.4","","23.4","","0.0","","","","","","1.3","","4","","31","","61",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-21","2026","01","21","","-7.3","","-16.4","","-11.8","","29.8","","0.0","","","","","","0.2","","4","","34","","50",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-22","2026","01","22","","-16.2","","-32.6","","-24.4","","42.4","","0.0","","","","","","0.4","","4","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-23","2026","01","23","","-22.2","","-34.3","","-28.3","","46.3","","0.0","","","","","","0.2","","4","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-24","2026","01","24","","-21.1","","-29.6","","-25.3","","43.3","","0.0","","","","","","0.4","","4","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-25","2026","01","25","","-10.3","","-31.8","","-21.1","","39.1","","0.0","","","","","","0.0","","4","","21","","42",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-26","2026","01","26","","-11.7","","-16.8","","-14.2","","32.2","","0.0","","","","","","0.0","","3","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-27","2026","01","27","","-6.1","","-15.9","","-11.0","","29.0","","0.0","","","","","","0.0","","3","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-28","2026","01","28","","-7.1","","-11.2","","-9.2","","27.2","","0.0","","","","","","0.0","","3","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-29","2026","01","29","","-1.3","","-10.9","","-6.1","","24.1","","0.0","","","","","","0.0","","4","","","","",""
"-111.10","52.83","WAINWRIGHT CFB AIRFIELD 21","301S001","2026-01-30","2026","01","30","","-1.3","","-8.7","","-5.0","","23.0","","0.0","","","","","","0.0","","4","","","","",""
