"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-01","2026","01","01","","-2.7","","-11.3","","-7.0","","25.0","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-02","2026","01","02","","-6.3","","-12.9","","-9.6","","27.6","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-03","2026","01","03","","-9.9","","-14.4","","-12.1","","30.1","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-04","2026","01","04","","-12.9","","-20.8","","-16.9","","34.9","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-05","2026","01","05","","-11.6","","-22.0","","-16.8","","34.8","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-06","2026","01","06","","3.1","","-17.7","","-7.3","","25.3","","0.0","","","","","","0.0","","7","","24","","39",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-07","2026","01","07","","1.1","","-14.3","","-6.6","","24.6","","0.0","","","","","","0.2","","6","","21","","35",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-08","2026","01","08","","-0.7","","-19.8","","-10.3","","28.3","","0.0","","","","","","0.2","","6","","35","","52",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-09","2026","01","09","","-3.3","","-21.2","","-12.2","","30.2","","0.0","","","","","","0.0","","6","","","","",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-10","2026","01","10","","10.3","","-6.7","","1.8","","16.2","","0.0","","","","","","0.0","","6","","23","","44",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-11","2026","01","11","","7.9","","1.8","","4.8","","13.2","","0.0","","","","","","0.0","","5","","23","","45",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-12","2026","01","12","","10.8","","-1.4","","4.7","","13.3","","0.0","","","","","","0.0","","5","","24","","45",""
"-114.68","51.78","SUNDRE A","3026KNQ","2026-01-13","2026","01","13","","10.3","","-1.9","","4.2","","13.8","","0.0","","","","","","0.0","","","","25","","46",""
