"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-01","2026","01","01","","2.8","","-13.3","","-5.3","","23.3","","0.0","","","","","","","M","","","28","","45",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-02","2026","01","02","","4.0","","-3.8","","0.1","","17.9","","0.0","","","","","","","M","","","31","","58",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-03","2026","01","03","","5.9","","-8.1","","-1.1","","19.1","","0.0","","","","","","","M","","","29","","46",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-04","2026","01","04","","5.1","","0.4","","2.7","","15.3","","0.0","","","","","","3.8","","","","29","","47",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-05","2026","01","05","","3.4","","-0.5","","1.5","","16.5","","0.0","","","","","","","M","","","29","","60",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-06","2026","01","06","","0.6","","-2.4","","-0.9","","18.9","","0.0","","","","","","","","","","30","","70",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-07","2026","01","07","","0.7","","-3.8","","-1.6","","19.6","","0.0","","","","","","","","","","27","","48",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-08","2026","01","08","","-1.2","","-7.2","","-4.2","","22.2","","0.0","","","","","","","","","","28","","47",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-09","2026","01","09","","1.1","","-4.7","","-1.8","","19.8","","0.0","","","","","","","M","","","31","","55",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-10","2026","01","10","","5.1","","-0.3","","2.4","","15.6","","0.0","","","","","","","M","","","30","","71",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-11","2026","01","11","","4.4","","1.9","","3.2","","14.8","","0.0","","","","","","0.0","","","","31","","70",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-12","2026","01","12","","5.4","","2.0","","3.7","","14.3","","0.0","","","","","","0.2","","","","31","","81",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-13","2026","01","13","","8.6","","4.4","","6.5","","11.5","","0.0","","","","","","0.0","","","","31","","49",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-14","2026","01","14","","10.9","","6.2","","8.6","","9.4","","0.0","","","","","","0.0","","","","30","","59",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-15","2026","01","15","","7.4","","-7.3","","0.0","","18.0","","0.0","","","","","","","M","","","30","","49",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-16","2026","01","16","","0.8","","-11.5","","-5.4","","23.4","","0.0","","","","","","","","","","","","",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-17","2026","01","17","","3.9","","-10.3","","-3.2","","21.2","","0.0","","","","","","","M","","","28","","46",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-18","2026","01","18","","-2.3","","-10.1","","-6.2","","24.2","","0.0","","","","","","","","","","","","",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-19","2026","01","19","","-0.4","","-12.4","","-6.4","","24.4","","0.0","","","","","","","","","","29","","41",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-20","2026","01","20","","-1.3","","-10.4","","-5.8","","23.8","","0.0","","","","","","","","","","28","","46",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-21","2026","01","21","","-4.2","","-14.4","","-9.3","","27.3","","0.0","","","","","","","","","","28","","41",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-22","2026","01","22","","-7.4","","-17.1","","-12.3","","30.3","","0.0","","","","","","","","","","14","","41",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-23","2026","01","23","","-8.6","","-19.3","","-14.0","","32.0","","0.0","","","","","","","","","","","","",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-24","2026","01","24","","-6.5","","-17.1","","-11.8","","29.8","","0.0","","","","","","","","","","32","","35",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-25","2026","01","25","","-4.6","","-20.8","","-12.7","","30.7","","0.0","","","","","","","","","","29","","52",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-26","2026","01","26","","-1.0","","-6.3","","-3.6","","21.6","","0.0","","","","","","","","","","30","","65",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-27","2026","01","27","","2.8","","-5.3","","-1.3","","19.3","","0.0","","","","","","","M","","","29","","48",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-28","2026","01","28","","2.8","","-2.8","","0.0","","18.0","","0.0","","","","","","","M","","","30","","43",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-29","2026","01","29","","5.6","","0.6","","3.1","","14.9","","0.0","","","","","","0.0","","","","30","","55",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-30","2026","01","30","","7.5","","3.6","","5.5","","12.5","","0.0","","","","","","0.0","","","","29","","80",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-01-31","2026","01","31","","7.5","","4.3","","5.9","","12.1","","0.0","","","","","","0.0","","","","30","","66",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-02-01","2026","02","01","","10.3","","-2.1","","4.1","","13.9","","0.0","","","","","","","M","","","30","","54",""
"-114.48","49.63","CROWSNEST","3051R4R","2026-02-02","2026","02","02","","4.9","","2.4","","3.7","","14.3","","0.0","","","","","","0.0","","","","28","","51",""
