"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-01","2026","01","01","","0.7","","-3.6","","-1.5","","19.5","","0.0","","","","","","","","","","25","","71",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-02","2026","01","02","","-2.6","","-6.1","","-4.3","","22.3","","0.0","","","","","","","","","","23","","120",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-03","2026","01","03","","-0.3","","-5.4","","-2.9","","20.9","","0.0","","","","","","","","","","21","","149",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-04","2026","01","04","","-3.2","","-6.4","","-4.8","","22.8","","0.0","","","","","","","","","","23","","128",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-05","2026","01","05","","-5.8","","-10.3","","-8.0","","26.0","","0.0","","","","","","","","","","24","","131",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-06","2026","01","06","","-9.7","","-11.3","","-10.5","","28.5","","0.0","","","","","","","","","","24","","185",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-07","2026","01","07","","-9.9","","-12.6","","-11.2","","29.2","","0.0","","","","","","","","","","22","","128",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-08","2026","01","08","","-11.9","","-14.2","","-13.1","","31.1","","0.0","","","","","","","","","","22","","103",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-09","2026","01","09","","-6.4","","-13.8","","-10.1","","28.1","","0.0","","","","","","","","","","25","","120",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-10","2026","01","10","","-2.2","","-6.8","","-4.5","","22.5","","0.0","","","","","","","","","","23","","178",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-11","2026","01","11","","-1.5","","-5.7","","-3.6","","21.6","","0.0","","","","","","","","","","23","","144",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-12","2026","01","12","","-0.8","","-3.8","","-2.3","","20.3","","0.0","","","","","","","","","","24","","171",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-13","2026","01","13","","2.5","","-2.6","","0.0","","18.0","","0.0","","","","","","","","","","25","","105",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-14","2026","01","14","","6.0","","-1.0","","2.5","","15.5","","0.0","","","","","","","","","","25","","137",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-15","2026","01","15","","-0.9","","-9.1","","-5.0","","23.0","","0.0","","","","","","","","","","24","","109",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-16","2026","01","16","","-1.8","","-12.7","","-7.2","","25.2","","0.0","","","","","","","","","","28","","33",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-17","2026","01","17","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-18","2026","01","18","","-5.2","","-9.1","","-7.1","","25.1","","0.0","","","","","","","","","","6","","39",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-19","2026","01","19","","-1.9","","-8.1","","-5.0","","23.0","","0.0","","","","","","","","","","23","","57",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-20","2026","01","20","","-6.1","","-10.4","","-8.3","","26.3","","0.0","","","","","","","","","","24","","82",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-21","2026","01","21","","-6.6","","-16.0","","-11.3","","29.3","","0.0","","","","","","","","","","21","","37",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-22","2026","01","22","","-13.9","","-21.1","","-17.5","","35.5","","0.0","","","","","","","","","","","M","","M"
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-23","2026","01","23","","-12.6","","-22.5","","-17.5","","35.5","","0.0","","","","","","","","","","23","","42",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-24","2026","01","24","","-13.2","","-16.9","","-15.0","","33.0","","0.0","","","","","","","","","","24","","34",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-25","2026","01","25","","-6.7","","-17.2","","-12.0","","30.0","","0.0","","","","","","","","","","24","","100",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-26","2026","01","26","","-5.6","","-9.4","","-7.5","","25.5","","0.0","","","","","","","","","","23","","94",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-27","2026","01","27","","-4.1","","-9.8","","-7.0","","25.0","","0.0","","","","","","","","","","22","","77",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-28","2026","01","28","","-2.8","","-7.0","","-4.9","","22.9","","0.0","","","","","","","","","","26","","82",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-29","2026","01","29","","-2.0","","-6.9","","-4.4","","22.4","","0.0","","","","","","","","","","23","","87",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-30","2026","01","30","","-1.5","","-4.5","","-3.0","","21.0","","0.0","","","","","","","","","","24","","167",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-01-31","2026","01","31","","-1.6","","-4.6","","-3.1","","21.1","","0.0","","","","","","","","","","23","","118",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-02-01","2026","02","01","","1.1","","-4.2","","-1.6","","19.6","","0.0","","","","","","","","","","25","","149",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-02-02","2026","02","02","","-3.3","","-5.8","","-4.6","","22.6","","0.0","","","","","","","","","","25","","106",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-02-03","2026","02","03","","1.6","","-5.8","","-2.1","","20.1","","0.0","","","","","","","","","","24","","110",""
"-115.19","50.94","NAKISKA RIDGETOP","305MGFF","2026-02-04","2026","02","04","","5.3","","-1.1","","2.1","","15.9","","0.0","","","","","","","","","","25","","143",""
