"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-01","2026","01","01","","-22.2","","-26.5","","-24.3","","42.3","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-02","2026","01","02","","-21.8","","-25.2","","-23.5","","41.5","","0.0","","","","","","","","42","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-03","2026","01","03","","-23.3","","-27.9","","-25.6","","43.6","","0.0","","","","","","","","41","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-04","2026","01","04","","-20.5","","-23.3","","-21.9","","39.9","","0.0","","","","","","","","39","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-05","2026","01","05","","-21.5","","-31.2","","-26.3","","44.3","","0.0","","","","","","","","46","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-06","2026","01","06","","-16.6","","-29.4","","-23.0","","41.0","","0.0","","","","","","","","45","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-07","2026","01","07","","-16.9","","-22.5","","-19.7","","37.7","","0.0","","","","","","","","45","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-08","2026","01","08","","-21.5","","-22.9","","-22.2","","40.2","","0.0","","","","","","","","44","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-09","2026","01","09","","-21.5","","-30.7","","-26.1","","44.1","","0.0","","","","","","","","45","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-10","2026","01","10","","-4.5","","-27.0","","-15.7","","33.7","","0.0","","","","","","","","45","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-11","2026","01","11","","-0.8","","-10.7","","-5.8","","23.8","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-12","2026","01","12","","0.2","","-12.0","","-5.9","","23.9","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-13","2026","01","13","","-9.2","","-14.4","","-11.8","","29.8","","0.0","","","","","","","","41","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-14","2026","01","14","","7.7","","-12.6","","-2.4","","20.4","","0.0","","","","","","","","41","","30","","38",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-15","2026","01","15","","5.8","","-22.5","","-8.3","","26.3","","0.0","","","","","","","","42","","35","","53",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-16","2026","01","16","","-20.6","","-27.7","","-24.1","","42.1","","0.0","","","","","","","","42","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-17","2026","01","17","","-10.8","","-20.6","","-15.7","","33.7","","0.0","","","","","","","","42","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-18","2026","01","18","","-18.2","","-30.8","","-24.5","","42.5","","0.0","","","","","","","","41","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-19","2026","01","19","","-14.5","","-23.3","","-18.9","","36.9","","0.0","","","","","","","","41","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-20","2026","01","20","","-3.0","","-23.3","","-13.1","","31.1","","0.0","","","","","","","","38","","34","","60",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-21","2026","01","21","","-13.9","","-28.1","","-21.0","","39.0","","0.0","","","","","","","","44","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-22","2026","01","22","","-27.8","","-38.9","","-33.4","","51.4","","0.0","","","","","","","","42","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-23","2026","01","23","","-23.2","","-39.2","","-31.2","","49.2","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-24","2026","01","24","","-26.1","","-36.4","","-31.3","","49.3","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-25","2026","01","25","","-15.4","","-29.8","","-22.6","","40.6","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-26","2026","01","26","","-19.9","","-33.1","","-26.5","","44.5","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-27","2026","01","27","","-17.1","","-31.0","","-24.0","","42.0","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-28","2026","01","28","","-12.1","","-17.1","","-14.6","","32.6","","0.0","","","","","","","","43","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-29","2026","01","29","","-5.8","","-17.3","","-11.6","","29.6","","0.0","","","","","","","","47","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-30","2026","01","30","","-7.9","","-10.0","","-8.9","","26.9","","0.0","","","","","","","","47","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-01-31","2026","01","31","","-9.6","","-12.9","","-11.2","","29.2","","0.0","","","","","","","","47","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-01","2026","02","01","","-10.9","","-17.0","","-13.9","","31.9","","0.0","","","","","","","","49","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-02","2026","02","02","","-6.4","","-13.6","","-10.0","","28.0","","0.0","","","","","","","","49","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-03","2026","02","03","","-8.7","","-11.9","","-10.3","","28.3","","0.0","","","","","","","","51","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-04","2026","02","04","","2.6","","-13.3","","-5.4","","23.4","","0.0","","","","","","","","51","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-05","2026","02","05","","-13.3","","-17.6","","-15.4","","33.4","","0.0","","","","","","","","56","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-06","2026","02","06","","-11.8","","-18.0","","-14.9","","32.9","","0.0","","","","","","","","58","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-07","2026","02","07","","-13.9","","-18.1","","-16.0","","34.0","","0.0","","","","","","","","56","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-08","2026","02","08","","-12.9","","-17.8","","-15.4","","33.4","","0.0","","","","","","","","56","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-09","2026","02","09","","-15.3","","-22.2","","-18.8","","36.8","","0.0","","","","","","","","56","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-10","2026","02","10","","-11.1","","-21.3","","-16.2","","34.2","","0.0","","","","","","","","56","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-11","2026","02","11","","-9.8","","-19.1","","-14.4","","32.4","","0.0","","","","","","","","55","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-12","2026","02","12","","-6.2","","-16.8","","-11.5","","29.5","","0.0","","","","","","","","54","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-13","2026","02","13","","-3.8","","-15.3","","-9.5","","27.5","","0.0","","","","","","","","54","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-14","2026","02","14","","-9.3","","-17.7","","-13.5","","31.5","","0.0","","","","","","","","53","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-15","2026","02","15","","-15.1","","-29.5","","-22.3","","40.3","","0.0","","","","","","","","52","","","","",""
"-113.87","58.71","GARDEN RIVER","307KPFP","2026-02-16","2026","02","16","","-17.6","","-35.3","","-26.4","","44.4","","0.0","","","","","","","","51","","","","",""
