"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-01","2026","01","01","","2.5","","-2.6","","0.0","","18.0","","0.0","","","","","","0.0","","11","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-02","2026","01","02","","3.7","","0.6","","2.1","","15.9","","0.0","","","","","","3.8","","12","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-03","2026","01","03","","3.7","","1.6","","2.6","","15.4","","0.0","","","","","","41.9","","9","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-04","2026","01","04","","7.7","","1.6","","4.7","","13.3","","0.0","","","","","","12.8","","7","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-05","2026","01","05","","5.1","","0.6","","2.9","","15.1","","0.0","","","","","","1.2","","2","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-06","2026","01","06","","4.6","","0.4","","2.5","","15.5","","0.0","","","","","","64.4","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-07","2026","01","07","","3.3","","0.2","","1.8","","16.2","","0.0","","","","","","6.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-08","2026","01","08","","4.3","","0.3","","2.3","","15.7","","0.0","","","","","","1.9","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-09","2026","01","09","","4.2","","1.2","","2.7","","15.3","","0.0","","","","","","8.2","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-10","2026","01","10","","3.4","","1.2","","2.3","","15.7","","0.0","","","","","","37.6","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-11","2026","01","11","","4.3","","2.1","","3.2","","14.8","","0.0","","","","","","37.7","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-12","2026","01","12","","7.5","","4.0","","5.7","","12.3","","0.0","","","","","","98.5","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-13","2026","01","13","","8.5","","5.1","","6.8","","11.2","","0.0","","","","","","11.9","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-14","2026","01","14","","6.7","","0.5","","3.6","","14.4","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-15","2026","01","15","","9.2","","0.0","","4.6","","13.4","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-16","2026","01","16","","11.3","","1.1","","6.2","","11.8","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-17","2026","01","17","","10.9","","-0.3","","5.3","","12.7","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-18","2026","01","18","","12.6","","-0.7","","6.0","","12.0","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-19","2026","01","19","","10.8","","-0.7","","5.1","","12.9","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-20","2026","01","20","","13.4","","-0.9","","6.3","","11.7","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-21","2026","01","21","","10.5","","-1.2","","4.6","","13.4","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-22","2026","01","22","","6.3","","-2.7","","1.8","","16.2","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-23","2026","01","23","","10.5","","-3.5","","3.5","","14.5","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-24","2026","01","24","","7.1","","-5.0","","1.1","","16.9","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-25","2026","01","25","","5.9","","-5.2","","0.3","","17.7","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-26","2026","01","26","","4.0","","-2.7","","0.7","","17.3","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-27","2026","01","27","","8.0","","0.3","","4.2","","13.8","","0.0","","","","","","0.0","","","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-28","2026","01","28","","6.1","","2.7","","4.4","","13.6","","0.0","","","","","","27.2","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-29","2026","01","29","","7.2","","4.2","","5.7","","12.3","","0.0","","","","","","27.1","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-30","2026","01","30","","7.9","","5.2","","6.6","","11.4","","0.0","","","","","","36.1","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-01-31","2026","01","31","","6.8","","5.6","","6.2","","11.8","","0.0","","","","","","15.3","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-02-01","2026","02","01","","8.9","","5.4","","7.2","","10.8","","0.0","","","","","","25.9","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-02-02","2026","02","02","","9.0","","5.9","","7.5","","10.5","","0.0","","","","","","16.0","","0","","","","",""
"-123.16","49.78","SQUAMISH AIRPORT","10476F0","2026-02-03","2026","02","03","","9.5","","5.1","","7.3","","10.7","","0.0","","","","","","7.9","","","","","","",""
