"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-01","2026","01","01","","5.2","","2.5","","3.9","","14.1","","0.0","","","","","","0.2","","","","36","","33",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-02","2026","01","02","","7.8","","2.4","","5.1","","12.9","","0.0","","","","","","0.2","","","","31","","32",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-03","2026","01","03","","3.6","","1.4","","2.5","","15.5","","0.0","","","","","","0.0","","","","36","","49",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-04","2026","01","04","","2.9","","0.5","","1.7","","16.3","","0.0","","","","","","","M","","","36","","45",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-05","2026","01","05","","7.6","","0.5","","4.1","","13.9","","0.0","","","","","","5.2","","","","17","","93",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-06","2026","01","06","","7.4","","4.0","","5.7","","12.3","","0.0","","","","","","1.8","","","","26","","52",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-07","2026","01","07","","6.3","","1.0","","3.6","","14.4","","0.0","","","","","","2.0","","","","29","","61",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-08","2026","01","08","","7.6","","1.5","","4.6","","13.4","","0.0","","","","","","4.8","","","","17","","70",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-09","2026","01","09","","9.0","","7.2","","8.1","","9.9","","0.0","","","","","","29.4","","","","14","","113",""
"-130.64","53.49","BONILLA ISLAND (AUT)","1060R0K","2026-01-10","2026","01","10","","9.2","","7.6","","8.4","","9.6","","0.0","","","","","","2.2","","","","17","","111",""
