"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-01","2026","01","01","","3.6","","-0.8","","1.4","","16.6","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-02","2026","01","02","","7.6","","2.5","","5.1","","12.9","","0.0","","","","","","","M","","","","","",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-03","2026","01","03","","10.0","","5.6","","7.8","","10.2","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-04","2026","01","04","","9.8","","4.4","","7.1","","10.9","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-05","2026","01","05","","7.1","","2.0","","4.6","","13.4","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-06","2026","01","06","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-07","2026","01","07","","5.6","","1.9","","3.8","","14.2","","0.0","","","","","","","M","","","15","","37",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-08","2026","01","08","","5.6","","0.9","","3.3","","14.7","","0.0","","","","","","","M","","","","","",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-09","2026","01","09","","7.1","","4.5","","5.8","","12.2","","0.0","","","","","","","M","","","","","",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-10","2026","01","10","","7.7","","3.2","","5.5","","12.5","","0.0","","","","","","","M","","","3","","42",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-11","2026","01","11","","7.0","","5.2","","6.1","","11.9","","0.0","","","","","","","M","","","4","","39",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-12","2026","01","12","","10.1","","6.7","","8.4","","9.6","","0.0","","","","","","","M","","","18","","31",""
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-13","2026","01","13","","13.1","","7.8","","10.5","","7.5","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-14","2026","01","14","","9.6","","7.5","","8.6","","9.4","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-15","2026","01","15","","11.3","","1.6","","6.5","","11.5","","0.0","","","","","","","M","","","","M","","M"
"-122.71","49.22","PITT MEADOWS","110617P","2026-01-16","2026","01","16","","10.4","","-1.3","","4.6","","13.4","","0.0","","","","","","","M","","","","M","","M"
