"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-01","2026","01","01","¿","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-02","2026","01","02","¿","9.0","","2.5","","5.8","","12.2","","0.0","","24.0","","0.0","","24.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-03","2026","01","03","¿","9.0","","6.0","","7.5","","10.5","","0.0","","25.8","","0.0","","25.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-04","2026","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-05","2026","01","05","¿","6.0","","1.0","","3.5","","14.5","","0.0","","15.0","","0.0","","15.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-06","2026","01","06","¿","5.5","","2.0","","3.8","","14.2","","0.0","","28.0","","0.0","","28.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-07","2026","01","07","¿","4.0","","0.5","","2.3","","15.7","","0.0","","14.8","","0.0","","14.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-08","2026","01","08","¿","5.0","","-1.0","","2.0","","16.0","","0.0","","8.0","","0.0","","8.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-09","2026","01","09","¿","6.5","","3.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-10","2026","01","10","¿","8.0","","3.0","","5.5","","12.5","","0.0","","16.0","","0.0","","16.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-11","2026","01","11","¿","10.0","","6.0","","8.0","","10.0","","0.0","","66.0","","0.0","","66.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-12","2026","01","12","¿","10.0","","6.0","","8.0","","10.0","","0.0","","50.0","","0.0","","50.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-13","2026","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-14","2026","01","14","¿","11.0","","7.0","","9.0","","9.0","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-15","2026","01","15","¿","10.0","","4.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-16","2026","01","16","¿","10.5","","1.0","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-17","2026","01","17","¿","10.0","","0.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-18","2026","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-19","2026","01","19","¿","10.0","","1.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-20","2026","01","20","¿","11.5","","-0.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-21","2026","01","21","¿","8.0","","-2.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-22","2026","01","22","¿","7.0","","-1.5","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-23","2026","01","23","¿","7.0","","-2.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-24","2026","01","24","¿","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-25","2026","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-26","2026","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-27","2026","01","27","¿","12.0","","4.5","","8.3","","9.7","","0.0","","6.0","","0.0","","6.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-28","2026","01","28","¿","9.0","","4.0","","6.5","","11.5","","0.0","","18.0","","0.0","","18.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-29","2026","01","29","¿","11.0","","6.0","","8.5","","9.5","","0.0","","18.0","","0.0","","18.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-30","2026","01","30","¿","11.0","","6.0","","8.5","","9.5","","0.0","","34.0","","0.0","","34.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-01-31","2026","01","31","¿","12.0","","5.0","","8.5","","9.5","","0.0","","23.0","","0.0","","23.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-01","2026","02","01","¿","9.5","","6.5","","8.0","","10.0","","0.0","","14.8","","0.0","","14.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-02","2026","02","02","¿","10.0","","6.0","","8.0","","10.0","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-03","2026","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-04","2026","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-05","2026","02","05","¿","15.0","","4.0","","9.5","","8.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-06","2026","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-07","2026","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-08","2026","02","08","¿","12.5","","2.0","","7.3","","10.7","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2026-02-09","2026","02","09","¿","10.0","","3.5","","6.8","","11.2","","0.0","","25.0","","0.0","","25.0","","0","","","","",""
