"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-01","2026","01","01","¿","-0.5","","-3.5","","-2.0","","20.0","","0.0","","0.0","","3.6","","3.6","","9","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-02","2026","01","02","¿","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","T","2.8","","2.8","","12","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-03","2026","01","03","¿","1.5","","-1.5","","0.0","","18.0","","0.0","","12.8","","1.0","","13.8","","15","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-04","2026","01","04","¿","2.0","","0.0","","1.0","","17.0","","0.0","","6.6","","0.0","","6.6","","13","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-05","2026","01","05","¿","5.0","","0.5","","2.8","","15.2","","0.0","","0.6","","4.8","","5.4","","13","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-06","2026","01","06","¿","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","11.0","","11.0","","16","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-07","2026","01","07","¿","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","1.2","","1.2","","24","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-08","2026","01","08","¿","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.8","","0.8","","24","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-09","2026","01","09","¿","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","3.6","","3.6","","23","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-10","2026","01","10","¿","2.5","","-2.5","","0.0","","18.0","","0.0","","0.0","","11.8","","11.8","","23","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-11","2026","01","11","¿","1.0","","-0.5","","0.3","","17.7","","0.0","","7.2","","0.8","","8.0","","35","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-12","2026","01","12","¿","2.0","","0.0","","1.0","","17.0","","0.0","","6.8","","0.0","","6.8","","30","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-13","2026","01","13","¿","3.5","","0.5","","2.0","","16.0","","0.0","","0.6","","0.0","","0.6","","26","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-14","2026","01","14","¿","4.0","","-0.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-15","2026","01","15","¿","8.0","","0.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-16","2026","01","16","¿","4.0","","-3.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-17","2026","01","17","¿","-1.5","","-5.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-18","2026","01","18","¿","-0.5","","-3.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-19","2026","01","19","¿","-2.5","","-4.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-20","2026","01","20","¿","-1.5","","-4.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-21","2026","01","21","¿","-2.5","","-4.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-22","2026","01","22","¿","-3.5","","-5.0","","-4.3","","22.3","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-23","2026","01","23","¿","-2.5","","-5.5","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-117.40","49.51","NELSON RIXEN CREEK","114EMDM","2026-01-24","2026","01","24","¿","-1.5","","-8.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
