"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-01","2026","01","01","","-3.0","","-10.7","","-6.9","","24.9","","0.0","","","","","","0.0","","54","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-02","2026","01","02","","-3.1","","-9.4","","-6.3","","24.3","","0.0","","","","","","0.3","","52","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-03","2026","01","03","","0.2","","-3.2","","-1.5","","19.5","","0.0","","","","","","","M","55","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-04","2026","01","04","","0.6","","-0.1","","0.2","","17.8","","0.0","","","","","","4.3","","60","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-05","2026","01","05","","0.2","","-6.4","","-3.1","","21.1","","0.0","","","","","","0.8","","56","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-06","2026","01","06","","-0.8","","-5.7","","-3.3","","21.3","","0.0","","","","","","5.9","","55","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-07","2026","01","07","","0.0","","-9.4","","-4.7","","22.7","","0.0","","","","","","0.0","","62","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-08","2026","01","08","","-0.7","","-7.0","","-3.8","","21.8","","0.0","","","","","","0.2","","59","","22","","37",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-09","2026","01","09","","-0.5","","-5.2","","-2.8","","20.8","","0.0","","","","","","3.7","","63","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-10","2026","01","10","","0.0","","-5.1","","-2.5","","20.5","","0.0","","","","","","","M","69","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-11","2026","01","11","","0.3","","-0.9","","-0.3","","18.3","","0.0","","","","","","5.1","","70","","","M","","M"
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-12","2026","01","12","","0.9","","0.1","","0.5","","17.5","","0.0","","","","","","13.3","","67","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-13","2026","01","13","","1.4","","0.1","","0.8","","17.2","","0.0","","","","","","5.3","","62","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-14","2026","01","14","","2.2","","0.0","","1.1","","16.9","","0.0","","","","","","0.0","","58","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-15","2026","01","15","","3.0","","-0.9","","1.1","","16.9","","0.0","","","","","","0.0","","56","","","","",""
"-119.29","52.13","BLUE RIVER CS","1160H99","2026-01-16","2026","01","16","","0.2","","-4.1","","-2.0","","20.0","","0.0","","","","","","0.0","","54","","","","",""
