"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-01","2026","01","01","","0.1","","-6.4","","-3.1","","21.1","","0.0","","","","","","0.0","","5","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-02","2026","01","02","","2.9","","-2.0","","0.4","","17.6","","0.0","","","","","","0.0","","5","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-03","2026","01","03","","2.7","","0.3","","1.5","","16.5","","0.0","","","","","","6.2","","4","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-04","2026","01","04","","4.6","","0.7","","2.6","","15.4","","0.0","","","","","","1.3","","4","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-05","2026","01","05","","5.3","","-1.6","","1.8","","16.2","","0.0","","","","","","0.0","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-06","2026","01","06","","3.6","","-1.4","","1.1","","16.9","","0.0","","","","","","1.0","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-07","2026","01","07","","0.9","","-1.6","","-0.3","","18.3","","0.0","","","","","","0.6","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-08","2026","01","08","","3.5","","-3.4","","0.1","","17.9","","0.0","","","","","","0.0","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-09","2026","01","09","","3.3","","-2.4","","0.5","","17.5","","0.0","","","","","","0.1","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-10","2026","01","10","","4.8","","-0.5","","2.1","","15.9","","0.0","","","","","","0.0","","2","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-11","2026","01","11","","3.7","","0.5","","2.1","","15.9","","0.0","","","","","","5.0","","3","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-12","2026","01","12","","5.6","","2.5","","4.1","","13.9","","0.0","","","","","","5.1","","1","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-13","2026","01","13","","5.8","","2.4","","4.1","","13.9","","0.0","","","","","","3.1","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-14","2026","01","14","","7.1","","3.0","","5.1","","12.9","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-15","2026","01","15","","7.7","","-2.1","","2.8","","15.2","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-16","2026","01","16","","3.8","","-2.8","","0.5","","17.5","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-17","2026","01","17","","1.1","","-1.3","","-0.1","","18.1","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-18","2026","01","18","","0.5","","-0.7","","-0.1","","18.1","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-19","2026","01","19","","-0.5","","-1.3","","-0.9","","18.9","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-20","2026","01","20","","0.5","","-1.1","","-0.3","","18.3","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-21","2026","01","21","","0.1","","-1.3","","-0.6","","18.6","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-22","2026","01","22","","-0.9","","-1.8","","-1.3","","19.3","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-23","2026","01","23","","-1.4","","-6.2","","-3.8","","21.8","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-24","2026","01","24","","-2.1","","-10.8","","-6.4","","24.4","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-25","2026","01","25","","-0.8","","-11.1","","-5.9","","23.9","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-26","2026","01","26","","0.6","","-8.0","","-3.7","","21.7","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-27","2026","01","27","","2.4","","-4.9","","-1.3","","19.3","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-28","2026","01","28","","7.0","","-1.8","","2.6","","15.4","","0.0","","","","","","0.2","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-29","2026","01","29","","4.5","","1.3","","2.9","","15.1","","0.0","","","","","","3.1","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-30","2026","01","30","","4.0","","1.6","","2.8","","15.2","","0.0","","","","","","13.7","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-01-31","2026","01","31","","6.1","","0.4","","3.3","","14.7","","0.0","","","","","","2.6","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-01","2026","02","01","","6.9","","1.0","","3.9","","14.1","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-02","2026","02","02","","5.6","","-1.1","","2.3","","15.7","","0.0","","","","","","0.2","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-03","2026","02","03","","7.2","","2.4","","4.8","","13.2","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-04","2026","02","04","","7.0","","2.4","","4.7","","13.3","","0.0","","","","","","0.1","","1","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-05","2026","02","05","","6.3","","1.1","","3.7","","14.3","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-06","2026","02","06","","6.4","","3.5","","4.9","","13.1","","0.0","","","","","","0.0","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-07","2026","02","07","","5.8","","3.7","","4.8","","13.2","","0.0","","","","","","1.7","","0","","","","",""
"-119.29","50.70","SALMON ARM CS","116FRMN","2026-02-08","2026","02","08","","9.3","","-1.4","","4.0","","14.0","","0.0","","","","","","0.6","","0","","","","",""
