"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-01","2026","01","01","","-18.9","","-27.1","","-23.0","","41.0","","0.0","","","","","","0.0","","37","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-02","2026","01","02","","-19.0","","-29.6","","-24.3","","42.3","","0.0","","","","","","0.0","","36","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-03","2026","01","03","","-22.5","","-26.9","","-24.7","","42.7","","0.0","","","","","","1.4","","37","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-04","2026","01","04","","-23.2","","-29.8","","-26.5","","44.5","","0.0","","","","","","0.0","","38","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-05","2026","01","05","","-18.7","","-30.0","","-24.4","","42.4","","0.0","","","","","","0.7","","38","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-06","2026","01","06","","-6.7","","-19.6","","-13.1","","31.1","","0.0","","","","","","0.0","","38","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-07","2026","01","07","","-4.3","","-17.8","","-11.1","","29.1","","0.0","","","","","","1.2","","38","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-08","2026","01","08","","-8.9","","-21.1","","-15.0","","33.0","","0.0","","","","","","0.0","","37","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-09","2026","01","09","","-9.6","","-14.6","","-12.1","","30.1","","0.0","","","","","","3.0","","39","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-10","2026","01","10","","-2.5","","-14.2","","-8.4","","26.4","","0.0","","","","","","2.3","","42","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-11","2026","01","11","","3.7","","-13.7","","-5.0","","23.0","","0.0","","","","","","0.2","","40","","","","",""
"-130.03","58.43","DEASE LAKE (AUT)","119BLM0","2026-01-12","2026","01","12","","4.5","","-3.4","","0.5","","17.5","","0.0","","","","","","0.0","","41","","","","",""
