"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-01","2026","01","01","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","46","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-02","2026","01","02","¿","","","","","","","","","","","0.0","","2.0","","2.0","","46","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-03","2026","01","03","¿","","","","","","","","","","","0.0","","0.6","","0.6","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-04","2026","01","04","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-05","2026","01","05","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-06","2026","01","06","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-07","2026","01","07","¿","","","","","","","","","","","0.0","","0.0","","0.0","","46","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-08","2026","01","08","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-09","2026","01","09","¿","","","","","","","","","","","0.0","","3.6","","3.6","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-10","2026","01","10","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-11","2026","01","11","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-12","2026","01","12","¿","","","","","","","","","","","0.0","T","0.0","","0.0","T","47","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-13","2026","01","13","¿","","","","","","","","","","","0.0","","0.0","","0.0","","43","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-14","2026","01","14","¿","","","","","","","","","","","0.0","","0.0","","0.0","","42","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-15","2026","01","15","¿","","","","","","","","","","","0.0","","1.0","","1.0","","42","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-16","2026","01","16","¿","","","","","","","","","","","0.0","","1.6","","1.6","","43","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-17","2026","01","17","¿","","","","","","","","","","","0.0","","3.0","","3.0","","44","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-18","2026","01","18","¿","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-19","2026","01","19","¿","","","","","","","","","","","0.0","","0.0","","0.0","","47","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-20","2026","01","20","¿","","","","","","","","","","","0.0","","1.0","","1.0","","47","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-21","2026","01","21","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-22","2026","01","22","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-23","2026","01","23","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-24","2026","01","24","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-25","2026","01","25","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-26","2026","01","26","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-27","2026","01","27","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-28","2026","01","28","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-29","2026","01","29","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-30","2026","01","30","¿","","","","","","","","","","","0.0","","0.0","","0.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-01-31","2026","01","31","¿","","","","","","","","","","","0.0","","1.6","","1.6","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-01","2026","02","01","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","49","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-02","2026","02","02","¿","","","","","","","","","","","0.0","","0.2","","0.2","","49","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-03","2026","02","03","¿","","","","","","","","","","","0.0","","0.0","","0.0","","49","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-04","2026","02","04","¿","","","","","","","","","","","0.0","","0.0","","0.0","","49","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-05","2026","02","05","¿","","","","","","","","","","","0.0","","0.0","","0.0","","49","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-06","2026","02","06","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-07","2026","02","07","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-08","2026","02","08","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-09","2026","02","09","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-10","2026","02","10","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-11","2026","02","11","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-12","2026","02","12","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-13","2026","02","13","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-14","2026","02","14","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-15","2026","02","15","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-16","2026","02","16","¿","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-17","2026","02","17","¿","","","","","","","","","","","0.0","","3.0","","3.0","","45","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-18","2026","02","18","¿","","","","","","","","","","","0.0","","5.0","","5.0","","48","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-19","2026","02","19","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","53","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-20","2026","02","20","¿","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-21","2026","02","21","¿","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-22","2026","02","22","¿","","","","","","","","","","","0.0","","0.0","","0.0","","53","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-23","2026","02","23","¿","","","","","","","","","","","0.0","","1.0","","1.0","","53","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-24","2026","02","24","¿","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-25","2026","02","25","¿","","","","","","","","","","","0.0","","0.6","","0.6","","54","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-26","2026","02","26","¿","","","","","","","","","","","0.0","","0.0","","0.0","","54","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-27","2026","02","27","¿","","","","","","","","","","","0.0","","0.0","T","0.0","T","54","","","","",""
"-100.18","50.11","RIVERS PETTAPIECE","501BMMA","2026-02-28","2026","02","28","¿","","","","","","","","","","","0.0","","0.6","","0.6","","54","","","","",""
